Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,33.82,34.005,32.735,33.015,103700,33.015
2016-10-26,34.30,34.39,33.65,33.75,28800,33.75
2016-10-25,34.425,34.77,34.18,34.455,48900,34.455
2016-10-24,34.725,34.80,34.15,34.22,35500,34.22
2016-10-21,34.65,34.665,34.15,34.505,34600,34.505
2016-10-20,34.58,34.59,34.035,34.52,38000,34.52
2016-10-19,34.90,34.90,34.25,34.415,29500,34.415
2016-10-18,34.12,34.795,34.02,34.715,60100,34.715
2016-10-17,34.195,34.275,33.70,33.94,23500,33.94
2016-10-14,34.055,34.485,33.66,34.39,41100,34.39
2016-10-13,33.77,33.905,33.595,33.895,27300,33.895
2016-10-12,34.44,34.44,33.76,33.87,36100,33.87
2016-10-11,34.325,34.485,34.025,34.485,44800,34.485
2016-10-10,34.10,34.52,33.72,34.47,51200,34.47
2016-10-07,33.85,34.20,33.52,33.80,21500,33.80
2016-10-06,34.12,34.295,33.90,34.045,17900,34.045
2016-10-05,34.355,34.99,34.01,34.14,62000,34.14
2016-10-04,34.03,34.82,34.03,34.765,47300,34.765
2016-10-03,34.03,34.03,34.03,34.03,000,34.03
2016-09-30,33.90,34.03,33.535,34.03,39300,34.03
2016-09-29,34.47,34.77,33.965,34.07,39300,34.07
2016-09-28,33.575,34.575,33.45,34.39,71300,34.39
2016-09-27,33.58,33.63,33.065,33.335,48600,33.335
2016-09-26,33.96,34.015,33.30,33.31,56100,33.31
2016-09-23,34.77,34.77,33.80,34.07,41700,34.07
2016-09-22,34.57,34.775,34.525,34.66,42700,34.66
2016-09-21,34.47,34.49,34.245,34.44,39200,34.44
2016-09-20,34.215,34.47,34.10,34.30,22100,34.30
2016-09-19,34.05,34.465,33.86,34.30,39800,34.30
2016-09-16,33.98,34.19,33.58,33.975,64500,33.975
2016-09-15,33.80,34.15,33.555,34.01,47900,34.01
2016-09-14,32.60,33.825,32.60,33.70,49000,33.70
2016-09-13,33.105,33.19,32.60,32.70,41300,32.70
