Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,4.754,4.80,4.505,4.51,528300,4.51
2016-10-26,5.22,5.22,4.693,4.754,1057900,4.754
2016-10-25,5.09,5.18,5.003,5.164,459900,5.164
2016-10-24,5.32,5.601,4.953,5.028,995800,5.028
2016-10-21,5.799,5.837,5.65,5.80,258100,5.80
2016-10-20,5.85,5.89,5.755,5.755,326300,5.755
2016-10-19,5.786,5.85,5.78,5.814,185600,5.814
2016-10-18,5.785,5.829,5.752,5.805,315100,5.805
2016-10-17,5.83,5.85,5.775,5.812,300700,5.812
2016-10-14,5.789,5.87,5.76,5.84,485400,5.84
2016-10-13,5.77,5.79,5.756,5.77,220000,5.77
2016-10-12,5.71,5.789,5.71,5.77,143400,5.77
2016-10-11,5.763,5.801,5.72,5.75,296800,5.75
2016-10-10,5.78,5.789,5.725,5.76,269100,5.76
2016-10-07,5.71,5.788,5.62,5.76,670700,5.76
2016-10-06,5.351,5.699,5.284,5.65,1044800,5.65
2016-10-05,5.39,5.398,5.189,5.321,485500,5.321
2016-10-04,5.378,5.479,5.365,5.38,543200,5.38
2016-10-03,5.408,5.408,5.408,5.408,000,5.408
2016-09-30,5.43,5.476,5.312,5.408,450400,5.408
2016-09-29,5.485,5.507,5.418,5.431,331300,5.431
2016-09-28,5.49,5.50,5.467,5.477,234000,5.477
2016-09-27,5.471,5.501,5.469,5.48,227800,5.48
2016-09-26,5.53,5.533,5.475,5.481,142000,5.481
2016-09-23,5.54,5.549,5.488,5.50,224900,5.50
2016-09-22,5.58,5.58,5.495,5.535,234500,5.535
2016-09-21,5.599,5.609,5.549,5.549,142300,5.549
2016-09-20,5.537,5.62,5.537,5.562,229600,5.562
2016-09-19,5.49,5.585,5.49,5.56,361500,5.56
2016-09-16,5.495,5.518,5.485,5.50,393500,5.50
2016-09-15,5.48,5.515,5.47,5.501,348100,5.501
2016-09-14,5.496,5.523,5.487,5.491,389800,5.491
2016-09-13,5.49,5.53,5.476,5.50,463800,5.50
2016-09-12,5.46,5.549,5.431,5.49,539400,5.49
2016-09-09,5.491,5.53,5.483,5.50,286300,5.50
2016-09-08,5.471,5.51,5.47,5.496,432300,5.496
2016-09-07,5.509,5.52,5.474,5.50,370300,5.50
2016-09-06,5.465,5.55,5.465,5.51,254900,5.51
2016-09-05,5.49,5.518,5.451,5.469,239700,5.469
2016-09-02,5.531,5.538,5.469,5.498,274300,5.498
2016-09-01,5.50,5.553,5.499,5.54,322800,5.54
2016-08-31,5.55,5.551,5.488,5.535,258800,5.535
2016-08-30,5.45,5.592,5.44,5.559,468600,5.559
2016-08-29,5.485,5.497,5.429,5.464,143100,5.464
2016-08-26,5.487,5.532,5.487,5.50,143200,5.50
2016-08-25,5.529,5.529,5.458,5.51,286600,5.51
2016-08-24,5.54,5.577,5.511,5.511,101700,5.511
2016-08-23,5.501,5.593,5.479,5.56,328500,5.56
2016-08-22,5.51,5.56,5.47,5.50,239800,5.50
