Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,31.40,33.215,31.07,31.195,571400,31.195
2016-10-26,36.06,37.94,35.505,37.40,52900,37.40
2016-10-25,34.97,36.185,34.55,36.10,45300,36.10
2016-10-24,34.90,36.24,34.60,35.50,255300,35.50
2016-10-21,37.97,37.99,34.24,36.325,841400,36.325
2016-10-20,39.555,39.97,39.45,39.535,134400,39.535
2016-10-19,39.71,39.935,39.515,39.60,99300,39.60
2016-10-18,40.01,40.375,39.55,39.65,105100,39.65
2016-10-17,41.10,41.10,40.05,40.24,39100,40.24
2016-10-14,41.00,41.19,40.50,40.765,25000,40.765
2016-10-13,40.00,41.37,39.60,40.80,101900,40.80
2016-10-12,40.00,40.49,39.70,40.00,110900,40.00
2016-10-11,39.70,41.395,39.50,40.20,150800,40.20
2016-10-10,39.565,40.475,39.50,39.85,74200,39.85
2016-10-07,39.55,40.05,39.32,39.75,116600,39.75
2016-10-06,40.895,40.895,39.50,39.785,167300,39.785
2016-10-05,40.80,41.25,40.115,40.605,136600,40.605
2016-10-04,42.04,42.12,41.255,41.385,83200,41.385
2016-10-03,42.12,42.12,42.12,42.12,000,42.12
2016-09-30,41.85,42.47,41.535,42.12,58900,42.12
2016-09-29,42.80,42.80,42.30,42.37,42800,42.37
2016-09-28,42.99,43.00,42.335,42.69,53400,42.69
2016-09-27,42.355,43.82,41.995,42.70,99000,42.70
2016-09-26,42.195,42.22,41.885,42.02,84400,42.02
2016-09-23,42.20,42.76,42.00,42.50,55500,42.50
2016-09-22,42.04,42.57,42.03,42.19,58100,42.19
2016-09-21,42.00,42.14,41.77,42.05,88100,42.05
2016-09-20,41.80,42.575,41.615,42.08,74600,42.08
2016-09-19,42.865,42.865,41.10,42.10,116300,42.10
2016-09-16,43.00,43.775,41.63,42.51,154900,42.51
2016-09-15,42.86,44.30,42.86,43.195,76500,43.195
2016-09-14,41.69,43.65,41.69,43.00,154100,43.00
2016-09-13,41.71,42.48,41.50,42.05,171300,42.05
2016-09-12,41.00,42.255,40.50,42.00,170600,42.00
2016-09-09,40.91,41.96,40.245,41.00,154200,41.00
2016-09-08,39.90,43.685,39.75,41.18,314800,41.18
2016-09-07,38.80,39.895,38.75,39.75,482000,39.75
2016-09-06,38.01,39.25,38.01,39.155,1744100,39.155
2016-09-05,27.73,28.20,27.73,27.80,47600,27.80
2016-09-02,27.55,27.61,27.075,27.34,28000,27.34
2016-09-01,27.22,27.95,26.90,27.425,75700,27.425
2016-08-31,28.11,28.15,26.45,27.21,50200,27.21
2016-08-30,27.78,28.20,27.655,28.10,43200,28.10
2016-08-29,27.65,27.74,27.105,27.65,21900,27.65
2016-08-26,27.02,27.585,27.02,27.35,22800,27.35
2016-08-25,27.355,27.475,26.245,27.00,50000,27.00
2016-08-24,27.55,27.595,26.95,27.43,38600,27.43
2016-08-23,27.955,28.17,27.52,27.64,46700,27.64
2016-08-22,27.32,27.99,26.915,27.695,38300,27.695
2016-08-19,27.805,28.00,26.675,27.28,43800,27.28
2016-08-18,27.30,28.00,27.30,27.575,97800,27.575
2016-08-17,26.68,27.80,26.63,27.28,62800,27.28
2016-08-16,27.815,27.985,26.61,26.735,48100,26.735
2016-08-15,27.90,27.985,27.32,27.92,41700,27.92
2016-08-12,27.695,28.00,27.14,27.85,80800,27.85
2016-08-11,26.31,27.80,26.235,27.70,127900,27.70
2016-08-10,25.60,26.77,25.50,26.655,116500,26.655
2016-08-09,25.69,25.85,24.53,25.58,60000,25.58
2016-08-08,25.36,25.91,25.005,25.91,136500,25.91
2016-08-05,24.50,25.22,24.50,25.105,80400,25.105
2016-08-04,23.025,23.685,22.90,23.67,29400,23.67
2016-08-02,23.76,23.76,23.02,23.02,41900,23.02
2016-08-01,24.97,25.11,23.43,23.84,83500,23.84
2016-07-29,25.20,25.21,24.805,24.805,13600,24.805
2016-07-28,25.00,25.10,24.50,25.08,23300,25.08
2016-07-27,25.015,25.20,24.62,24.995,24200,24.995
2016-07-26,24.98,25.195,24.62,24.795,20900,24.795
2016-07-25,24.69,24.97,24.55,24.97,14900,24.97
2016-07-22,24.75,24.845,24.15,24.40,22900,24.40
2016-07-21,24.995,25.00,24.69,24.925,15900,24.925
2016-07-20,25.055,25.20,24.87,24.98,36800,24.98
2016-07-19,24.815,25.00,24.575,24.94,17600,24.94
2016-07-18,24.89,25.205,24.77,24.945,46900,24.945
2016-07-15,24.77,24.915,24.155,24.80,33500,24.80
2016-07-14,24.405,25.50,24.405,24.805,83800,24.805
2016-07-13,24.055,24.51,24.055,24.25,19900,24.25
2016-07-12,24.20,24.345,24.05,24.05,22800,24.05
2016-07-11,23.985,24.30,23.80,24.115,24400,24.115
2016-07-08,23.35,24.065,23.26,23.73,17600,23.73
2016-07-07,23.365,23.635,22.85,23.50,19700,23.50
2016-07-06,23.40,23.40,22.55,23.045,42600,23.045
2016-07-05,24.15,24.715,23.35,23.50,35800,23.50
2016-07-04,24.20,24.895,24.045,24.29,30600,24.29
2016-07-01,23.575,23.90,23.44,23.72,20900,23.72
2016-06-30,22.80,23.46,22.50,23.40,39500,23.40
2016-06-29,22.50,23.145,22.50,22.755,41300,22.755
2016-06-28,22.05,22.355,21.90,22.00,40000,22.00
2016-06-27,23.20,23.20,21.785,21.785,55800,21.785
2016-06-24,21.25,23.50,20.25,22.935,98900,22.935
2016-06-23,24.27,24.49,23.33,23.44,33400,23.44
2016-06-22,24.25,24.34,23.91,24.16,28100,24.16
2016-06-21,23.765,24.145,23.565,23.60,27900,23.60
2016-06-20,22.585,23.865,22.585,23.72,57400,23.72
2016-06-17,22.655,23.045,22.10,22.29,30200,22.29
2016-06-16,23.26,23.42,22.415,22.44,40300,22.44
2016-06-15,23.03,23.65,22.61,23.37,51400,23.37
2016-06-14,22.805,22.85,22.25,22.85,46500,22.85
2016-06-13,23.53,23.53,22.05,22.85,120000,22.85
2016-06-10,25.00,25.00,23.89,24.095,44000,24.095
2016-06-09,25.18,25.35,24.70,25.20,28200,25.20
2016-06-08,25.25,25.265,25.02,25.20,30700,25.20
2016-06-07,25.35,25.35,25.185,25.22,17900,25.22
2016-06-06,25.20,25.395,25.045,25.355,26300,25.355
2016-06-03,25.495,25.50,24.565,25.005,40700,25.005
2016-06-02,25.345,25.50,25.15,25.50,68200,25.50
2016-06-01,25.35,25.45,24.835,25.35,106300,25.35
2016-05-31,24.775,25.35,24.58,25.35,63100,25.35
2016-05-30,25.325,25.35,24.60,24.685,31700,24.685
2016-05-27,25.165,25.35,25.015,25.35,32300,25.35
2016-05-26,25.10,25.35,24.74,25.15,33300,25.15
2016-05-25,24.86,25.12,24.38,25.10,22800,25.10
2016-05-24,24.775,25.25,24.415,24.65,33300,24.65
2016-05-23,23.89,25.15,23.85,25.00,72400,25.00
2016-05-20,23.905,24.00,23.71,23.85,23200,23.85
2016-05-19,23.485,24.105,23.08,23.80,51100,23.80
2016-05-18,23.71,24.035,23.615,23.615,27600,23.615
2016-05-17,24.105,24.515,23.75,23.86,22300,23.86
2016-05-16,24.015,24.015,24.015,24.015,000,24.015
2016-05-13,23.90,24.105,23.04,24.015,97000,24.015
2016-05-12,24.90,24.925,24.00,24.00,81300,24.00
2016-05-11,25.05,25.195,24.575,24.64,65200,24.64
2016-05-10,24.285,25.00,24.17,24.775,37800,24.775
2016-05-09,24.82,25.085,24.22,24.22,36600,24.22
2016-05-06,24.975,25.19,24.61,24.62,22900,24.62
2016-05-05,24.85,25.26,24.78,25.00,10900,25.00
2016-05-04,25.10,25.48,24.20,24.68,48900,24.68
2016-05-03,25.50,25.50,24.86,25.14,27500,25.14
2016-05-02,25.055,25.755,25.00,25.31,34300,25.31
2016-04-29,25.185,25.37,24.79,24.79,72700,24.79
2016-04-28,25.97,25.97,24.80,25.00,64900,25.00
2016-04-27,26.00,26.265,25.685,26.00,128200,26.00
2016-04-26,25.05,25.945,25.00,25.90,111000,25.90
2016-04-25,24.70,25.00,24.70,24.90,33000,24.90
2016-04-22,24.50,24.995,24.50,24.62,30100,24.62
2016-04-21,25.25,25.95,23.845,24.735,167600,24.735
2016-04-20,25.50,25.645,25.03,25.165,56000,25.165
2016-04-19,25.55,25.575,25.22,25.485,38100,25.485
2016-04-18,25.33,25.63,25.025,25.35,42400,25.35
2016-04-15,25.575,25.585,24.82,25.215,51100,25.215
2016-04-14,25.79,25.85,25.20,25.40,63300,25.40
2016-04-13,25.99,26.00,24.90,25.565,116100,25.565
2016-04-12,25.975,26.00,24.61,26.00,121300,26.00
2016-04-11,25.40,26.00,24.55,25.85,152400,25.85
