Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,99.00,99.42,95.65,95.79,13800,95.79
2016-10-26,98.00,98.12,96.68,97.44,20900,97.44
2016-10-25,98.50,99.00,97.50,97.92,20600,97.92
2016-10-24,99.88,100.00,98.34,98.42,11600,98.42
2016-10-21,99.90,99.90,98.71,98.87,9900,98.87
2016-10-20,99.98,100.00,98.96,99.73,14200,99.73
2016-10-19,100.30,100.50,99.16,100.10,7200,100.10
2016-10-18,99.78,100.90,98.44,100.45,20900,100.45
2016-10-17,99.60,100.10,98.64,98.64,11000,98.64
2016-10-14,99.55,100.85,99.00,100.00,14300,100.00
2016-10-13,100.15,100.45,98.59,99.34,17900,99.34
2016-10-12,100.40,100.95,99.92,99.97,8700,99.97
2016-10-11,101.20,101.20,100.40,101.00,14400,101.00
2016-10-10,101.40,102.00,100.00,100.85,24700,100.85
2016-10-07,103.40,103.40,101.40,101.55,20300,101.55
2016-10-06,102.85,103.40,101.95,102.50,16700,102.50
2016-10-05,103.75,103.75,102.15,102.40,25200,102.40
2016-10-04,103.70,104.30,102.10,104.10,28800,104.10
2016-10-03,103.00,103.00,103.00,103.00,000,103.00
2016-09-30,102.50,103.05,100.55,103.00,32000,103.00
2016-09-29,103.05,103.45,102.05,102.30,13400,102.30
2016-09-28,100.85,103.55,100.85,102.35,18400,102.35
2016-09-27,102.30,102.30,99.52,101.15,13600,101.15
2016-09-26,102.95,102.95,101.35,101.90,13100,101.90
2016-09-23,102.60,102.60,101.30,102.05,10700,102.05
2016-09-22,102.85,103.60,102.50,103.10,16100,103.10
2016-09-21,102.00,102.70,101.65,102.25,16100,102.25
2016-09-20,101.15,101.85,101.10,101.25,15000,101.25
2016-09-19,100.25,102.15,100.00,102.15,23400,102.15
2016-09-16,100.15,100.65,98.90,99.37,27500,99.37
2016-09-15,99.49,100.20,98.10,99.95,13500,99.95
2016-09-14,99.00,101.00,98.25,99.71,15800,99.71
2016-09-13,100.50,101.80,99.13,99.21,18600,99.21
2016-09-12,100.00,100.90,99.26,100.45,31300,100.45
2016-09-09,101.15,101.60,100.40,101.00,18700,101.00
2016-09-08,100.50,102.40,100.50,101.65,16400,101.65
2016-09-07,100.75,102.35,100.40,102.10,23600,102.10
2016-09-06,100.90,102.00,100.45,100.60,13200,100.60
2016-09-05,102.05,102.15,100.90,100.90,24000,100.90
2016-09-02,101.00,101.80,100.85,101.55,10700,101.55
2016-09-01,100.25,101.20,100.15,100.90,16500,100.90
2016-08-31,100.70,101.30,99.86,100.05,18800,100.05
2016-08-30,101.90,102.65,101.05,101.15,20600,101.15
2016-08-29,102.00,102.30,100.05,101.75,15700,101.75
2016-08-26,102.70,102.70,101.45,101.85,8200,101.85
2016-08-25,101.50,102.50,101.40,102.50,24500,102.50
2016-08-24,101.15,102.50,99.23,102.20,27500,102.20
2016-08-23,101.95,102.20,101.20,101.60,8200,101.60
2016-08-22,101.80,102.30,99.52,101.15,15200,101.15
2016-08-19,101.30,102.35,100.40,102.05,18000,102.05
2016-08-18,100.00,102.40,99.81,101.35,23900,101.35
2016-08-17,99.91,100.70,99.10,99.77,25400,99.77
2016-08-16,101.25,101.25,99.54,100.05,19100,100.05
2016-08-15,101.40,102.80,101.05,101.95,24700,101.95
2016-08-12,101.75,101.75,100.05,101.70,30900,101.70
2016-08-11,102.50,102.55,101.00,101.40,26200,101.40
2016-08-10,101.95,102.65,101.70,102.20,13100,102.20
2016-08-09,101.40,102.70,101.20,102.35,13600,102.35
2016-08-08,102.80,102.90,100.60,101.65,19400,101.65
2016-08-05,101.15,102.80,101.00,102.45,27600,102.45
2016-08-04,101.00,101.95,100.15,101.30,26800,101.30
2016-08-03,102.05,102.30,100.70,100.70,19200,100.70
2016-08-02,104.75,104.75,101.80,101.85,32600,101.85
2016-08-01,104.00,104.85,103.70,104.55,26500,104.55
2016-07-29,102.10,103.95,101.85,103.40,61400,103.40
2016-07-28,101.50,101.60,100.35,100.80,38700,100.80
2016-07-27,101.00,101.40,100.25,101.25,37800,101.25
2016-07-26,100.70,100.90,100.15,100.85,37600,100.85
2016-07-25,100.90,100.90,100.00,100.50,20600,100.50
2016-07-22,99.29,100.50,99.08,100.30,23600,100.30
2016-07-21,101.10,101.30,99.11,99.75,13500,99.75
2016-07-20,99.93,100.80,99.60,100.60,32400,100.60
2016-07-19,99.53,99.70,98.54,98.92,18400,98.92
2016-07-18,97.87,99.68,97.48,99.27,18700,99.27
2016-07-15,98.00,98.06,96.84,97.49,16900,97.49
2016-07-14,99.50,99.69,98.23,99.05,18100,99.05
2016-07-13,98.83,99.51,98.00,99.25,20300,99.25
2016-07-12,99.39,99.69,98.37,98.75,23700,98.75
2016-07-11,98.07,100.15,98.00,99.24,27200,99.24
2016-07-08,96.80,97.86,96.50,97.71,30400,97.71
2016-07-07,95.56,97.69,95.42,96.57,35500,96.57
2016-07-06,94.39,94.93,93.60,94.84,26500,94.84
2016-07-05,94.41,94.82,93.50,94.67,33000,94.67
2016-07-04,95.60,95.99,93.75,94.38,21800,94.38
2016-07-01,95.30,96.00,94.37,95.68,20900,95.68
2016-06-30,94.51,95.85,94.12,94.42,30800,94.42
2016-06-29,94.37,94.55,93.50,94.25,20500,94.25
2016-06-28,91.50,93.86,91.12,93.11,33600,93.11
2016-06-27,93.90,94.34,90.75,90.99,35400,90.99
2016-06-24,91.00,95.40,87.00,94.00,51800,94.00
2016-06-23,97.49,98.77,96.59,97.40,18900,97.40
2016-06-22,98.44,98.50,96.06,96.91,20600,96.91
2016-06-21,97.70,98.07,96.46,97.60,26600,97.60
