Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,44.09,44.90,43.365,43.58,84700,43.58
2016-10-26,44.00,44.185,43.295,44.185,79800,44.185
2016-10-25,45.52,45.705,43.775,43.90,144700,43.90
2016-10-24,44.01,46.045,44.01,45.405,325300,45.405
2016-10-21,43.895,43.925,43.41,43.605,33300,43.605
2016-10-20,43.89,44.11,43.10,43.475,75600,43.475
2016-10-19,44.36,44.495,43.35,43.88,67700,43.88
2016-10-18,43.895,44.455,43.895,44.255,59900,44.255
2016-10-17,44.07,44.32,43.03,43.59,86600,43.59
2016-10-14,44.735,44.86,43.84,44.11,101000,44.11
2016-10-13,44.56,44.68,44.205,44.505,49800,44.505
2016-10-12,45.165,45.195,44.465,44.61,71100,44.61
2016-10-11,45.72,45.755,44.765,45.05,75200,45.05
2016-10-10,45.69,45.945,45.28,45.685,55500,45.685
2016-10-07,46.28,46.42,45.745,45.76,50300,45.76
2016-10-06,47.00,47.00,46.19,46.325,67100,46.325
2016-10-05,47.35,47.35,46.405,46.695,63200,46.695
2016-10-04,46.925,47.60,46.68,47.535,100900,47.535
2016-10-03,46.475,46.475,46.475,46.475,000,46.475
2016-09-30,45.50,46.55,45.07,46.475,91000,46.475
2016-09-29,46.50,46.505,45.485,45.735,64500,45.735
2016-09-28,45.35,46.985,45.305,46.27,78600,46.27
2016-09-27,45.805,45.805,44.615,45.315,46700,45.315
2016-09-26,45.61,45.87,45.405,45.48,35600,45.48
2016-09-23,45.855,45.925,45.405,45.735,61200,45.735
2016-09-22,45.59,45.875,45.45,45.79,52100,45.79
2016-09-21,45.10,45.755,45.10,45.12,52400,45.12
2016-09-20,44.98,45.125,44.605,44.92,57000,44.92
2016-09-19,44.94,45.11,44.395,44.91,66500,44.91
2016-09-16,42.325,45.58,42.325,44.94,223500,44.94
2016-09-15,42.24,42.52,42.105,42.36,50200,42.36
2016-09-14,42.68,43.04,42.385,42.45,59900,42.45
2016-09-13,43.515,43.735,42.63,42.63,59400,42.63
2016-09-12,42.83,43.225,42.045,43.21,99700,43.21
2016-09-09,43.91,44.055,43.00,43.085,57000,43.085
2016-09-08,44.63,44.635,43.80,43.83,51800,43.83
2016-09-07,43.81,44.755,43.675,44.485,94000,44.485
2016-09-06,42.965,43.75,42.75,43.655,68100,43.655
2016-09-05,43.31,43.38,42.77,42.885,44700,42.885
