Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,41.55,41.58,41.005,41.58,16100,41.58
2016-10-26,42.15,42.15,41.55,41.66,14100,41.66
2016-10-25,42.605,42.605,41.66,41.775,23200,41.775
2016-10-24,41.87,42.94,41.82,42.395,49200,42.395
2016-10-21,41.01,41.78,40.74,41.72,28800,41.72
2016-10-20,40.12,41.075,39.595,41.075,20100,41.075
2016-10-19,40.265,40.395,39.80,40.13,10800,40.13
2016-10-18,40.13,40.59,40.115,40.19,13500,40.19
2016-10-17,40.045,40.045,39.595,40.00,13900,40.00
2016-10-14,40.19,40.39,39.755,40.045,28100,40.045
2016-10-13,39.75,40.21,39.335,40.20,19600,40.20
2016-10-12,41.045,41.045,39.355,39.98,40800,39.98
2016-10-11,41.11,41.25,40.785,40.945,27900,40.945
2016-10-10,41.22,41.23,40.68,41.105,26300,41.105
2016-10-07,41.29,41.29,40.245,40.42,19200,40.42
2016-10-06,41.805,41.805,40.94,41.22,17200,41.22
2016-10-05,41.70,41.70,40.90,41.415,32500,41.415
2016-10-04,41.15,41.84,41.13,41.74,40500,41.74
2016-10-03,41.035,41.035,41.035,41.035,000,41.035
2016-09-30,40.40,41.035,40.08,41.035,32300,41.035
2016-09-29,40.55,40.725,40.315,40.50,17900,40.50
2016-09-28,40.05,40.395,40.01,40.155,34800,40.155
2016-09-27,40.23,40.54,39.95,40.055,27900,40.055
2016-09-26,40.215,40.215,39.81,40.00,12500,40.00
2016-09-23,40.40,40.40,40.00,40.065,23500,40.065
2016-09-22,39.91,40.35,39.91,40.295,21500,40.295
2016-09-21,40.05,40.135,39.89,40.02,38000,40.02
2016-09-20,40.265,40.27,39.75,40.025,19700,40.025
2016-09-19,40.02,40.225,39.73,40.015,18300,40.015
2016-09-16,40.01,40.01,39.405,39.55,52000,39.55
2016-09-15,38.635,39.64,38.265,39.455,24000,39.455
2016-09-14,38.56,39.345,38.56,38.85,12800,38.85
2016-09-13,39.215,39.43,38.815,39.02,10900,39.02
2016-09-12,39.15,39.49,38.805,39.14,14500,39.14
2016-09-09,40.54,40.54,39.40,39.61,20900,39.61
2016-09-08,40.55,40.55,40.00,40.22,26200,40.22
2016-09-07,40.00,40.545,39.995,40.45,26800,40.45
2016-09-06,39.85,40.195,39.705,39.83,24100,39.83
2016-09-05,39.50,39.85,39.135,39.70,17300,39.70
2016-09-02,38.20,39.555,38.02,39.505,23400,39.505
2016-09-01,38.22,38.395,37.70,38.305,53100,38.305
2016-08-31,38.17,38.30,37.86,38.105,17500,38.105
2016-08-30,38.38,38.765,38.00,38.30,34200,38.30
2016-08-29,38.285,38.285,37.62,38.095,14900,38.095
2016-08-26,37.745,38.195,37.50,38.08,22900,38.08
2016-08-25,37.955,38.00,37.55,37.895,24100,37.895
2016-08-24,38.30,38.40,38.00,38.215,26400,38.215
2016-08-23,38.225,38.455,38.00,38.455,14100,38.455
2016-08-22,38.00,38.30,37.75,38.30,18600,38.30
2016-08-19,38.26,38.475,37.905,38.05,8000,38.05
2016-08-18,38.40,38.535,37.905,38.15,20100,38.15
2016-08-17,39.00,39.00,38.00,38.40,26900,38.40
2016-08-16,39.44,39.50,38.405,38.86,41200,38.86
