Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,36.00,37.315,35.81,37.20,373100,37.20
2016-10-26,35.24,36.70,35.04,36.005,652600,36.005
2016-10-25,36.89,36.89,35.88,36.08,503200,36.08
2016-10-24,37.47,37.61,36.30,36.55,328100,36.55
2016-10-21,37.00,37.75,36.68,37.265,454300,37.265
2016-10-20,37.555,37.60,36.94,37.00,291400,37.00
2016-10-19,37.12,37.465,36.975,37.30,287400,37.30
2016-10-18,37.29,37.355,36.925,37.34,322200,37.34
2016-10-17,37.30,37.335,36.70,37.105,284100,37.105
2016-10-14,37.23,37.74,37.145,37.37,336800,37.37
2016-10-13,37.70,38.15,37.055,37.055,455100,37.055
2016-10-12,38.29,38.835,37.81,37.905,474700,37.905
2016-10-11,38.93,39.30,38.055,38.45,578500,38.45
2016-10-10,38.04,39.205,38.04,38.925,645900,38.925
2016-10-07,37.50,38.68,37.50,38.04,882500,38.04
2016-10-06,36.20,37.195,35.73,37.00,1103700,37.00
2016-10-05,34.00,34.655,33.975,34.47,246900,34.47
2016-10-04,34.495,34.59,33.73,34.295,342700,34.295
2016-10-03,34.315,34.315,34.315,34.315,000,34.315
2016-09-30,32.75,34.58,32.75,34.315,675600,34.315
2016-09-29,34.14,34.395,32.805,32.895,367200,32.895
2016-09-28,33.99,34.22,33.61,33.925,384200,33.925
2016-09-27,34.13,34.42,33.405,33.735,348400,33.735
2016-09-26,34.34,34.34,33.395,33.715,542000,33.715
2016-09-23,34.82,35.06,34.50,34.77,243200,34.77
2016-09-22,34.495,35.17,34.335,34.85,289900,34.85
2016-09-21,34.725,34.90,34.155,34.275,317000,34.275
2016-09-20,34.305,34.78,33.795,34.75,351100,34.75
2016-09-19,33.75,34.205,33.72,34.10,222300,34.10
2016-09-16,33.785,34.42,33.455,33.58,553300,33.58
2016-09-15,33.25,34.23,32.595,33.755,824100,33.755
2016-09-14,32.01,33.065,32.01,32.885,759000,32.885
2016-09-13,30.865,32.44,30.80,31.83,657000,31.83
