Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,41.395,41.43,40.825,41.295,90500,41.295
2016-10-26,42.33,42.42,41.12,41.47,123400,41.47
2016-10-25,42.055,42.68,42.055,42.245,76800,42.245
2016-10-24,42.045,42.345,41.845,42.24,79300,42.24
2016-10-21,42.61,42.64,41.45,42.00,91200,42.00
2016-10-20,41.75,42.61,41.64,42.575,185500,42.575
2016-10-19,41.645,42.005,41.515,41.69,97600,41.69
2016-10-18,41.385,41.66,41.135,41.565,103500,41.565
2016-10-17,41.00,41.57,40.845,41.20,129100,41.20
2016-10-14,40.72,41.00,40.32,40.735,96600,40.735
2016-10-13,40.66,40.99,40.44,40.825,112900,40.825
2016-10-12,41.345,41.525,40.685,40.70,94800,40.70
2016-10-11,41.49,41.725,41.30,41.46,155100,41.46
2016-10-10,41.915,41.915,41.27,41.455,73600,41.455
2016-10-07,42.63,42.63,41.295,41.785,130800,41.785
2016-10-06,43.00,43.00,41.60,42.535,203300,42.535
2016-10-05,42.01,43.16,42.01,43.105,164800,43.105
2016-10-04,42.01,42.56,42.01,42.40,203800,42.40
2016-10-03,43.215,43.215,43.215,43.215,000,43.215
2016-09-30,41.16,43.265,41.15,43.215,183000,43.215
2016-09-29,42.00,42.835,41.46,41.565,229900,41.565
2016-09-28,41.825,41.955,41.095,41.575,138800,41.575
2016-09-27,42.225,42.36,41.38,41.52,206600,41.52
2016-09-26,42.675,42.815,41.93,42.095,149200,42.095
2016-09-23,44.20,44.20,42.555,42.99,228500,42.99
2016-09-22,43.745,44.65,43.745,44.23,268100,44.23
2016-09-21,42.99,43.745,42.99,43.745,182600,43.745
2016-09-20,42.18,43.055,42.18,42.80,124100,42.80
2016-09-19,42.435,42.45,42.265,42.405,88600,42.405
2016-09-16,42.00,42.375,41.765,42.30,332900,42.30
2016-09-15,41.05,41.99,40.695,41.99,142300,41.99
2016-09-14,41.31,41.31,40.66,41.005,82100,41.005
2016-09-13,41.545,41.84,41.13,41.175,112500,41.175
2016-09-12,41.085,41.40,40.45,41.255,222200,41.255
2016-09-09,41.785,42.00,41.38,41.755,95900,41.755
2016-09-08,42.10,42.22,41.63,41.92,101600,41.92
2016-09-07,42.025,42.335,41.725,42.065,117400,42.065
2016-09-06,42.25,42.25,41.90,42.04,104500,42.04
2016-09-05,41.95,42.24,41.89,42.055,146500,42.055
2016-09-02,42.04,42.22,41.64,41.905,131400,41.905
2016-09-01,41.715,42.03,41.44,41.94,162200,41.94
2016-08-31,41.25,41.79,41.155,41.355,128600,41.355
2016-08-30,41.00,41.435,40.70,41.35,130000,41.35
2016-08-29,40.625,41.25,40.23,41.045,110600,41.045
2016-08-26,40.665,40.85,40.24,40.605,89500,40.605
2016-08-25,40.365,40.935,39.925,40.67,83400,40.67
2016-08-24,40.53,40.89,40.33,40.505,70500,40.505
2016-08-23,40.565,40.87,40.39,40.58,91900,40.58
2016-08-22,40.46,40.84,40.40,40.60,96000,40.60
2016-08-19,40.50,40.975,40.275,40.56,187500,40.56
2016-08-18,39.585,40.855,39.535,40.59,130800,40.59
2016-08-17,40.675,40.765,38.755,39.19,258600,39.19
2016-08-16,40.41,40.885,40.22,40.785,226500,40.785
2016-08-15,40.49,42.685,40.045,40.70,375800,40.70
2016-08-12,38.80,40.865,38.80,40.70,575100,40.70
2016-08-11,37.70,38.84,37.47,38.80,305400,38.80
2016-08-10,36.72,37.87,36.72,37.25,280200,37.25
2016-08-09,36.51,36.515,36.035,36.51,157600,36.51
2016-08-08,36.60,37.11,36.19,36.39,114400,36.39
2016-08-05,36.02,36.535,36.005,36.385,93400,36.385
2016-08-04,35.82,36.31,35.77,36.025,92200,36.025
2016-08-03,35.965,35.965,35.55,35.815,65100,35.815
2016-08-02,36.00,36.05,35.67,35.815,101600,35.815
2016-08-01,35.885,36.11,35.65,36.025,89100,36.025
2016-07-29,36.04,36.20,35.355,35.525,130000,35.525
2016-07-28,36.555,36.91,35.955,35.955,129300,35.955
2016-07-27,35.935,36.895,35.85,36.675,194300,36.675
2016-07-26,35.685,36.21,35.50,35.635,147100,35.635
2016-07-25,35.505,35.845,35.49,35.78,178600,35.78
2016-07-22,35.84,36.07,35.415,35.77,210100,35.77
2016-07-21,34.95,36.78,34.95,36.11,634100,36.11
2016-07-20,33.83,33.90,32.41,33.60,338600,33.60
2016-07-19,34.03,34.03,33.205,33.815,170400,33.815
2016-07-18,34.35,34.385,33.85,33.915,182800,33.915
2016-07-15,34.70,34.93,33.36,34.19,299900,34.19
2016-07-14,35.565,35.745,34.70,35.00,105500,35.00
2016-07-13,34.95,35.29,34.605,35.285,103800,35.285
2016-07-12,35.575,35.76,34.92,34.98,95500,34.98
2016-07-11,35.25,35.775,35.035,35.505,92800,35.505
2016-07-08,34.345,35.23,34.345,34.98,128800,34.98
2016-07-07,34.06,34.60,33.87,34.60,149400,34.60
2016-07-06,34.13,34.215,33.45,33.77,126200,33.77
2016-07-05,34.35,34.48,33.94,34.35,168700,34.35
2016-07-04,35.00,35.00,34.40,34.505,82400,34.505
2016-07-01,34.72,35.15,34.40,34.94,147700,34.94
2016-06-30,35.28,35.60,34.15,34.44,235300,34.44
2016-06-29,35.57,36.26,34.32,35.45,317200,35.45
2016-06-28,35.00,35.75,34.895,35.02,186900,35.02
2016-06-27,35.40,36.09,33.77,34.555,263300,34.555
2016-06-24,33.50,36.55,32.60,35.34,398900,35.34
2016-06-23,37.90,38.35,35.50,37.33,566200,37.33
2016-06-22,36.45,38.50,36.185,37.945,445900,37.945
2016-06-21,34.85,36.65,34.715,36.29,293500,36.29
2016-06-20,34.92,34.92,34.43,34.84,90100,34.84
2016-06-17,33.76,34.65,33.565,34.17,265100,34.17
2016-06-16,34.30,34.32,33.20,33.515,181000,33.515
2016-06-15,34.04,34.92,33.57,33.96,177200,33.96
2016-06-14,34.805,34.97,33.95,33.975,188500,33.975
2016-06-13,34.965,35.46,34.30,35.165,215100,35.165
2016-06-10,36.20,36.205,35.30,35.495,140900,35.495
2016-06-09,37.03,37.07,36.15,36.24,103400,36.24
2016-06-08,37.175,37.40,37.055,37.105,79400,37.105
2016-06-07,36.665,37.34,36.61,37.25,107400,37.25
2016-06-06,36.195,36.775,36.10,36.54,76600,36.54
2016-06-03,37.025,37.20,35.80,36.25,179500,36.25
2016-06-02,36.845,37.145,36.80,36.80,126900,36.80
2016-06-01,36.80,37.125,36.80,37.00,134700,37.00
2016-05-31,37.34,37.43,36.805,36.805,186000,36.805
2016-05-30,37.025,37.54,36.785,37.365,114800,37.365
2016-05-27,36.505,37.26,36.505,37.135,112000,37.135
2016-05-26,36.80,36.93,36.50,36.655,78200,36.655
2016-05-25,37.265,37.39,36.55,36.72,160500,36.72
2016-05-24,38.59,38.65,37.00,37.00,184700,37.00
2016-05-23,37.95,38.20,37.50,37.99,172200,37.99
2016-05-20,37.40,38.175,37.305,37.62,209300,37.62
2016-05-19,38.37,39.685,38.005,39.01,220800,37.26
2016-05-18,39.00,39.075,38.115,38.63,279200,36.897
2016-05-17,38.68,39.40,38.30,38.97,289300,37.222
2016-05-16,38.645,38.645,38.645,38.645,000,36.911
2016-05-13,38.00,38.645,36.98,38.645,488000,36.911
2016-05-12,36.90,38.88,36.435,37.70,538500,36.009
2016-05-11,35.765,36.63,35.355,36.375,193300,34.743
2016-05-10,34.37,36.055,34.37,35.87,276400,34.261
2016-05-09,34.70,34.75,34.30,34.345,202800,32.804
2016-05-06,34.75,34.765,34.105,34.305,132600,32.766
2016-05-05,35.295,35.295,34.42,34.75,124700,33.191
2016-05-04,35.83,35.89,34.90,35.125,177400,33.549
2016-05-03,36.50,36.50,35.93,35.93,120400,34.318
2016-05-02,36.35,36.47,36.00,36.44,80300,34.805
2016-04-29,35.70,36.22,35.70,36.035,246500,34.418
2016-04-28,35.835,35.945,35.455,35.81,134300,34.204
2016-04-27,36.07,36.37,35.63,35.76,187800,34.156
2016-04-26,36.43,36.65,35.76,35.89,188600,34.28
2016-04-25,36.23,36.955,36.23,36.385,214000,34.753
2016-04-22,37.10,37.10,35.625,35.98,270700,34.366
2016-04-21,36.245,37.15,36.00,37.00,440600,35.34
2016-04-20,35.11,36.10,35.11,35.995,331500,34.38
2016-04-19,34.32,35.23,34.245,35.10,298800,33.525
2016-04-18,34.00,34.35,33.835,34.215,213500,32.68
2016-04-15,34.57,34.65,33.27,34.36,509600,32.819
2016-04-14,35.30,35.345,34.42,34.46,286000,32.914
2016-04-13,35.56,35.60,34.90,35.27,193700,33.688
2016-04-12,35.65,35.65,34.78,35.035,195000,33.463
2016-04-11,35.925,36.025,35.50,35.59,168300,33.993
2016-04-08,35.925,36.15,35.53,35.755,174100,34.151
2016-04-07,35.93,36.145,35.26,35.615,293300,34.017
2016-04-06,34.82,35.81,34.35,35.66,314900,34.06
2016-04-05,35.23,35.275,34.25,34.875,292700,33.31
2016-04-04,35.50,36.07,35.225,35.58,191900,33.984
2016-04-01,35.90,36.00,35.08,35.49,369300,33.898
2016-03-31,37.065,37.17,35.89,36.045,440200,34.428
2016-03-30,38.39,38.585,36.90,37.02,441400,35.359
2016-03-29,39.83,39.90,38.06,38.22,204900,36.505
2016-03-28,38.95,38.95,38.95,38.95,000,37.203
2016-03-25,38.95,38.95,38.95,38.95,000,37.203
2016-03-24,38.00,39.50,36.76,38.95,507300,37.203
2016-03-23,40.95,40.95,40.10,40.285,94200,38.478
2016-03-22,40.00,40.61,39.29,40.43,116700,38.616
2016-03-21,40.365,41.14,40.075,40.29,158800,38.483
2016-03-18,40.745,41.09,40.355,40.55,212700,38.731
2016-03-17,41.565,42.00,40.285,40.58,167900,38.76
2016-03-16,40.74,41.25,40.27,41.135,215800,39.29
2016-03-15,40.015,40.66,39.82,40.465,176500,38.65
2016-03-14,39.30,40.52,39.30,40.20,223800,38.397
2016-03-11,37.77,39.21,37.53,39.075,171400,37.322
2016-03-10,37.605,38.95,37.165,37.165,188600,35.498
2016-03-09,37.69,37.955,37.17,37.90,139200,36.20
2016-03-08,37.985,37.985,37.21,37.31,135400,35.636
2016-03-07,38.73,38.73,38.00,38.245,105800,36.529
2016-03-04,38.79,39.05,38.32,38.55,112600,36.821
2016-03-03,38.40,38.685,37.735,38.36,126800,36.639
2016-03-02,38.50,38.885,38.04,38.40,197800,36.677
2016-03-01,37.565,38.33,37.30,38.19,147700,36.477
2016-02-29,37.06,37.45,36.28,37.415,196600,35.737
2016-02-26,38.00,38.25,37.20,37.63,169600,35.942
2016-02-25,35.895,37.765,35.795,37.685,178100,35.994
2016-02-24,37.115,37.115,35.335,35.38,147400,33.793
2016-02-23,37.34,37.50,36.615,36.70,144400,35.054
2016-02-22,38.00,38.495,37.005,37.205,252900,35.536
2016-02-19,36.915,37.62,36.50,36.825,180900,35.173
2016-02-18,36.36,37.12,35.93,36.775,204500,35.125
2016-02-17,34.94,36.165,34.94,35.94,209700,34.328
2016-02-16,36.00,36.39,34.10,34.95,253100,33.382
2016-02-15,36.265,36.585,35.695,35.975,281600,34.361
2016-02-12,34.04,35.14,34.04,35.04,320200,33.468
2016-02-11,35.40,35.405,33.85,33.85,271300,32.331
2016-02-10,33.575,36.06,33.20,35.48,379000,33.888
2016-02-09,34.555,34.70,33.20,33.475,485200,31.973
2016-02-08,36.14,36.565,34.75,34.85,355300,33.287
2016-02-05,36.86,37.42,36.16,36.29,164100,34.662
2016-02-04,38.30,38.315,36.24,36.81,309200,35.159
2016-02-03,38.36,38.60,37.25,37.645,201600,35.956
2016-02-02,37.785,38.95,37.685,38.675,271600,36.94
2016-02-01,37.865,37.905,37.34,37.905,161200,36.205
2016-01-29,36.80,37.75,36.30,37.75,259900,36.057
2016-01-28,37.255,37.54,36.01,36.19,233700,34.567
2016-01-27,37.83,37.885,37.095,37.645,133900,35.956
2016-01-26,36.47,37.98,36.26,37.75,241000,36.057
2016-01-25,37.91,37.94,36.675,37.34,166600,35.665
2016-01-22,36.445,37.615,36.15,37.485,271500,35.803
2016-01-21,35.715,36.40,35.25,35.75,416700,34.146
2016-01-20,36.145,36.765,35.60,35.93,243900,34.318
2016-01-19,38.70,38.70,37.20,37.455,232000,35.775
2016-01-18,37.415,38.10,36.50,37.195,252500,35.526
2016-01-15,39.75,40.085,37.205,37.78,308900,36.085
2016-01-14,40.86,41.20,39.305,39.625,328500,37.847
2016-01-13,40.86,41.51,40.55,41.32,343800,39.466
2016-01-12,39.85,40.925,39.475,40.34,233700,38.53
2016-01-11,39.075,41.02,38.755,39.80,582800,38.015
2016-01-08,37.60,38.565,37.385,37.96,239600,36.257
2016-01-07,36.535,37.825,35.25,37.48,496100,35.799
2016-01-06,38.415,38.425,37.41,37.68,148100,35.99
2016-01-05,38.66,38.73,37.85,38.405,234900,36.682
2016-01-04,38.93,38.93,38.16,38.305,198800,36.587
2016-01-01,39.09,39.09,39.09,39.09,000,37.336
2015-12-31,39.09,39.09,39.09,39.09,000,37.336
2015-12-30,39.90,39.97,39.09,39.09,59300,37.336
2015-12-29,39.245,40.00,39.245,39.80,104000,38.015
2015-12-28,39.20,39.435,38.94,38.96,62900,37.212
2015-12-25,39.185,39.185,39.185,39.185,000,37.427
2015-12-24,39.185,39.185,39.185,39.185,000,37.427
2015-12-23,38.825,39.36,38.50,39.185,107000,37.427
2015-12-22,39.305,39.455,38.40,38.62,117800,36.887
2015-12-21,39.18,40.14,39.11,39.11,184900,37.356
2015-12-18,39.83,39.85,39.115,39.285,242200,37.523
2015-12-17,39.685,40.285,39.41,39.97,231200,38.177
2015-12-16,38.68,39.40,38.385,39.005,512100,37.255
2015-12-15,38.60,39.805,35.62,38.73,1482000,36.993
2015-12-14,40.45,40.615,38.29,38.36,408400,36.639
2015-12-11,41.50,41.76,40.15,40.70,219700,38.874
2015-12-10,40.795,41.62,40.50,41.45,190700,39.591
2015-12-09,41.70,41.925,40.925,41.395,212100,39.538
2015-12-08,41.90,42.60,41.525,41.705,242700,39.834
2015-12-07,41.35,42.565,41.265,41.87,222300,39.992
2015-12-04,41.315,41.485,40.705,41.21,174900,39.361
2015-12-03,41.90,42.10,40.86,41.195,211100,39.347
2015-12-02,41.15,42.175,41.15,41.905,201800,40.025
2015-12-01,42.34,42.49,41.18,41.21,282700,39.361
2015-11-30,42.57,42.90,42.345,42.35,158500,40.45
2015-11-27,42.435,42.71,42.195,42.555,141700,40.646
2015-11-26,42.20,42.815,42.10,42.49,208500,40.584
2015-11-25,42.365,42.60,41.96,42.24,168700,40.345
2015-11-24,42.80,43.14,42.125,42.505,211500,40.598
2015-11-23,43.365,43.40,42.50,42.88,198300,40.956
2015-11-20,42.455,43.945,42.45,43.25,382300,41.31
2015-11-19,42.01,42.53,41.69,42.36,300500,40.46
2015-11-18,42.30,42.30,41.00,41.855,391700,39.977
2015-11-17,42.90,43.21,41.825,42.59,353200,40.679
2015-11-16,42.465,43.36,42.03,42.685,327500,40.77
2015-11-13,44.63,44.63,41.77,43.215,1215800,41.276
2015-11-12,46.915,46.915,44.65,44.725,412400,42.719
2015-11-11,46.295,47.385,46.155,46.78,328300,44.681
2015-11-10,45.00,46.365,45.00,46.195,198400,44.123
2015-11-09,45.55,45.87,44.905,45.095,215800,43.072
2015-11-06,44.90,45.40,44.56,45.31,240100,43.277
2015-11-05,45.27,45.53,44.45,44.805,279800,42.795
2015-11-04,46.51,46.755,44.655,45.25,710400,43.22
2015-11-03,47.65,47.65,46.59,46.77,166300,44.672
2015-11-02,47.00,47.695,46.785,47.665,187600,45.527
2015-10-30,47.435,47.50,46.43,46.91,193600,44.806
2015-10-29,47.625,47.695,46.96,47.435,115800,45.307
2015-10-28,47.15,47.69,46.72,47.225,193200,45.106
2015-10-27,48.70,48.70,47.20,47.215,180000,45.097
2015-10-26,47.75,49.32,47.75,48.705,272700,46.52
2015-10-23,47.38,47.86,46.89,47.73,225800,45.589
2015-10-22,46.30,46.915,45.725,46.89,241400,44.786
2015-10-21,46.35,46.84,45.72,46.10,296100,44.032
2015-10-20,46.50,47.095,45.83,46.195,140300,44.123
2015-10-19,46.105,46.695,45.90,46.56,143900,44.471
2015-10-16,45.11,46.29,44.755,46.155,374300,44.084
2015-10-15,43.925,45.485,43.38,44.91,311800,42.895
2015-10-14,44.50,44.505,42.745,43.375,355600,41.429
2015-10-13,45.50,45.50,44.00,44.695,301000,42.69
2015-10-12,45.505,46.41,43.22,46.255,759500,44.18
2015-10-09,47.865,48.03,44.215,45.20,670800,43.172
2015-10-08,47.925,48.10,47.435,47.615,213900,45.479
2015-10-07,49.10,49.14,47.52,47.865,284900,45.718
2015-10-06,49.115,49.60,48.355,49.095,264200,46.893
2015-10-05,48.44,49.35,47.915,49.015,317500,46.816
2015-10-02,47.39,48.92,47.17,47.80,398600,45.656
2015-10-01,48.025,48.08,46.365,46.51,211500,44.424
2015-09-30,47.00,47.855,46.43,47.51,270300,45.379
2015-09-29,45.69,46.955,44.89,46.145,371500,44.075
2015-09-28,46.495,47.76,46.08,46.21,552000,44.137
2015-09-25,45.83,46.92,45.06,46.65,382500,44.557
2015-09-24,43.60,45.575,43.37,45.185,535200,43.158
2015-09-23,43.10,43.84,42.87,43.335,154700,41.391
2015-09-22,44.30,44.30,42.885,43.085,236500,41.152
2015-09-21,43.20,44.41,42.85,44.255,172000,42.27
2015-09-18,43.59,43.87,43.175,43.455,225600,41.506
2015-09-17,43.845,43.925,42.715,43.495,149400,41.544
2015-09-16,43.50,44.095,43.11,43.605,222400,41.649
2015-09-15,43.065,43.33,42.455,42.95,145200,41.023
2015-09-14,42.865,43.42,42.605,42.87,162900,40.947
2015-09-11,43.10,43.10,42.44,42.765,114900,40.847
2015-09-10,42.80,43.84,42.625,42.915,174100,40.99
2015-09-09,43.435,43.84,42.875,43.165,252700,41.229
2015-09-08,42.09,43.115,42.09,42.515,193600,40.608
2015-09-07,41.82,42.455,41.425,42.07,201000,40.183
2015-09-04,40.965,41.78,40.795,41.45,184600,39.591
2015-09-03,40.50,41.82,40.355,41.475,268200,39.614
2015-09-02,39.70,40.47,39.575,40.03,198600,38.234
2015-09-01,39.58,39.695,38.52,39.50,317000,37.728
2015-08-31,39.245,40.50,38.985,40.32,217100,38.511
2015-08-28,39.795,39.875,39.295,39.875,185000,38.086
2015-08-27,39.20,39.95,38.96,39.70,299800,37.919
2015-08-26,38.01,39.04,37.30,38.105,267200,36.396
2015-08-25,37.09,38.76,36.63,38.61,450600,36.878
2015-08-24,35.99,36.69,34.30,36.295,985800,34.667
2015-08-21,37.24,38.60,37.02,38.22,571200,36.505
2015-08-20,40.055,40.465,38.385,38.505,310100,36.778
2015-08-19,40.87,41.32,39.955,40.165,211900,38.363
2015-08-18,40.25,40.925,39.835,40.85,175000,39.017
2015-08-17,42.26,42.32,39.82,40.225,261200,38.42
2015-08-14,41.95,42.95,41.71,41.87,210400,39.992
2015-08-13,41.80,42.30,41.08,41.995,296200,40.111
2015-08-12,40.065,41.19,39.80,40.715,273300,38.889
2015-08-11,41.90,41.955,40.825,40.865,121700,39.032
2015-08-10,42.35,42.505,41.785,41.92,107700,40.039
2015-08-07,42.50,42.50,41.39,41.89,197400,40.011
2015-08-06,42.235,43.31,42.145,42.47,383100,40.565
2015-08-05,42.19,42.76,41.82,42.26,258400,40.364
2015-08-04,41.96,42.39,41.20,42.00,380100,40.116
2015-08-03,40.04,42.065,39.905,42.00,719800,40.116
2015-07-31,37.245,38.615,37.175,38.49,403500,36.763
2015-07-30,38.445,38.48,36.935,37.285,158900,35.612
2015-07-29,37.83,38.43,37.83,38.235,168100,36.52
2015-07-28,37.74,37.825,37.23,37.50,313500,35.818
2015-07-27,38.28,38.34,37.38,37.425,224400,35.746
2015-07-24,38.06,38.595,37.625,38.435,288200,36.711
2015-07-23,38.775,38.885,38.22,38.28,156300,36.563
2015-07-22,38.65,39.075,38.44,38.50,177200,36.773
2015-07-21,39.925,40.00,38.85,39.155,160700,37.398
2015-07-20,39.44,40.08,39.24,39.795,216400,38.01
2015-07-17,39.91,40.045,39.30,39.45,207100,37.68
2015-07-16,40.00,40.40,39.78,39.95,192500,38.158
2015-07-15,39.465,39.955,39.38,39.885,222900,38.096
2015-07-14,39.30,39.565,38.915,39.40,183700,37.633
2015-07-13,39.815,39.91,39.005,39.225,370700,37.465
2015-07-10,39.35,39.495,38.83,39.26,404300,37.499
2015-07-09,36.62,37.995,36.54,37.895,501000,36.195
2015-07-08,36.285,36.655,34.82,36.475,816000,34.839
2015-07-07,38.18,38.35,36.365,36.44,410700,34.805
2015-07-06,38.36,38.965,38.05,38.18,201500,36.467
2015-07-03,39.00,39.38,38.805,39.03,201400,37.279
2015-07-02,39.805,40.295,38.805,39.04,223600,37.289
2015-07-01,40.515,40.835,39.295,39.44,282800,37.671
2015-06-30,40.23,40.65,39.85,39.995,234300,38.201
2015-06-29,38.52,41.47,38.09,40.56,569400,38.74
2015-06-26,42.72,42.95,41.98,42.00,264800,40.116
2015-06-25,41.93,43.37,41.795,43.32,263700,41.377
2015-06-24,43.09,43.09,41.725,42.185,194700,40.293
2015-06-23,41.88,43.35,41.60,43.00,374100,41.071
2015-06-22,41.39,42.145,41.12,41.27,234000,39.419
2015-06-19,40.25,40.95,39.985,40.655,494400,38.831
2015-06-18,39.32,40.15,38.625,40.15,283500,38.349
2015-06-17,40.57,41.085,39.52,39.605,142600,37.828
2015-06-16,39.95,40.705,38.895,40.565,289500,38.745
2015-06-15,40.145,40.465,39.545,39.575,304100,37.80
2015-06-12,40.805,41.435,40.66,41.075,123800,39.232
2015-06-11,40.995,41.64,40.95,41.22,171100,39.371
2015-06-10,39.685,41.075,38.84,40.935,300100,39.099
2015-06-09,40.78,40.96,39.36,40.03,439400,38.234
2015-06-08,41.75,42.00,41.39,41.505,121200,39.643
2015-06-05,42.00,42.24,41.355,41.71,144000,39.839
2015-06-04,42.57,42.66,42.09,42.24,148200,40.345
2015-06-03,42.52,42.80,42.29,42.60,168700,40.689
2015-06-02,41.59,42.835,41.275,42.635,258100,40.722
2015-06-01,42.50,43.155,41.545,41.61,332600,39.743
2015-05-29,43.295,43.525,42.265,42.32,295400,40.422
2015-05-28,43.085,43.90,43.005,43.405,390400,41.458
2015-05-27,42.40,42.73,42.14,42.32,214400,40.422
2015-05-26,42.60,42.60,41.90,42.36,373900,40.46
2015-05-25,42.54,42.54,42.54,42.54,000,40.632
2015-05-22,42.855,42.945,42.215,42.54,304200,40.632
2015-05-21,44.50,44.70,44.055,44.275,214000,40.665
2015-05-20,45.00,45.30,44.30,44.765,242200,41.115
2015-05-19,43.45,45.145,43.30,45.00,407400,41.331
2015-05-18,43.60,43.675,42.30,43.47,274900,39.926
2015-05-15,43.23,43.48,43.095,43.295,160700,39.765
2015-05-14,42.79,42.95,42.255,42.91,80400,39.411
2015-05-13,43.00,43.43,42.445,42.785,254000,39.297
2015-05-12,42.57,42.95,42.10,42.725,258600,39.241
2015-05-11,42.81,43.06,42.59,42.94,241600,39.439
2015-05-08,41.425,42.825,41.425,42.795,665200,39.306
2015-05-07,40.84,40.93,39.30,40.88,517300,37.547
2015-05-06,41.37,41.545,40.54,40.80,439300,37.473
2015-05-05,42.51,42.80,41.16,41.235,290300,37.873
2015-05-04,41.99,42.805,41.70,42.56,258400,39.09
2015-05-01,41.37,41.37,41.37,41.37,000,37.997
2015-04-30,41.07,42.01,40.65,41.37,419200,37.997
2015-04-29,42.785,43.10,40.925,41.305,481600,37.937
2015-04-28,43.255,43.92,41.80,42.32,1007600,38.869
2015-04-27,40.25,43.915,39.85,43.45,1331500,39.907
2015-04-24,40.00,40.15,39.72,40.04,350400,36.775
2015-04-23,39.20,39.83,39.10,39.77,431500,36.527
2015-04-22,38.15,39.06,38.15,38.97,497200,35.793
2015-04-21,38.42,38.67,38.125,38.54,203300,35.398
2015-04-20,38.25,38.60,38.025,38.07,252100,34.966
2015-04-17,38.625,38.81,38.15,38.245,436200,35.127
2015-04-16,38.60,39.125,38.005,38.705,350900,35.549
2015-04-15,39.495,39.495,38.58,38.65,295700,35.499
2015-04-14,39.08,39.32,38.30,39.10,358600,35.912
2015-04-13,38.95,39.115,38.18,39.05,582100,35.866
2015-04-10,38.50,40.11,38.50,39.095,664700,35.907
2015-04-09,37.75,38.41,37.725,38.25,251700,35.131
2015-04-08,37.30,37.63,37.16,37.50,266200,34.442
2015-04-07,37.00,37.49,36.77,37.34,301400,34.296
2015-04-06,36.61,36.61,36.61,36.61,000,33.625
2015-04-03,36.61,36.61,36.61,36.61,000,33.625
2015-04-02,36.655,36.80,36.50,36.61,265900,33.625
2015-04-01,36.485,36.95,36.20,36.715,237800,33.721
2015-03-31,37.085,37.10,36.42,36.525,164500,33.547
2015-03-30,36.675,37.235,36.62,36.99,234700,33.974
2015-03-27,36.80,37.00,36.295,36.495,193800,33.519
2015-03-26,36.35,36.69,34.11,36.665,902900,33.676
2015-03-25,37.48,37.66,36.82,36.92,272900,33.91
2015-03-24,37.37,37.70,37.115,37.46,247900,34.406
2015-03-23,37.80,37.80,36.90,37.41,250600,34.36
2015-03-20,37.00,37.90,36.66,37.75,403000,34.672
2015-03-19,36.65,36.65,35.765,36.58,456700,33.597
2015-03-18,37.40,37.40,36.26,36.41,378500,33.441
2015-03-17,37.90,38.195,36.405,37.275,363900,34.236
2015-03-16,38.435,38.465,37.75,37.98,351300,34.883
2015-03-13,38.00,38.23,37.90,38.15,207400,35.039
2015-03-12,37.70,37.86,37.50,37.775,125000,34.695
2015-03-11,37.25,37.92,37.10,37.835,194200,34.75
2015-03-10,36.665,37.54,36.665,37.05,215800,34.029
2015-03-09,37.29,37.42,36.45,36.51,225200,33.533
2015-03-06,37.40,37.685,37.16,37.29,159000,34.25
2015-03-05,37.27,37.755,37.09,37.50,289700,34.442
2015-03-04,36.89,37.225,35.235,37.155,514700,34.126
2015-03-03,37.73,37.90,36.685,36.78,211400,33.781
2015-03-02,37.65,37.75,37.23,37.585,289600,34.521
2015-02-27,38.00,38.69,36.43,37.365,787600,34.318
2015-02-26,37.15,37.86,37.15,37.84,208800,34.755
2015-02-25,37.08,37.445,36.865,37.14,187900,34.112
2015-02-24,36.78,37.00,36.575,36.98,171300,33.965
2015-02-23,36.60,36.78,36.27,36.70,314800,33.708
2015-02-20,36.54,36.78,35.94,36.24,208200,33.285
2015-02-19,36.35,36.705,36.01,36.435,182400,33.464
2015-02-18,35.75,36.62,35.665,36.225,224200,33.271
2015-02-17,34.80,35.78,34.80,35.625,328400,32.72
2015-02-16,35.305,35.35,34.75,34.94,168800,32.091
2015-02-13,35.595,35.595,35.09,35.30,292100,32.422
2015-02-12,34.71,35.555,34.71,35.39,249900,32.505
2015-02-11,34.90,34.90,34.385,34.64,176600,31.816
2015-02-10,34.07,35.00,33.705,34.94,520300,32.091
2015-02-09,34.75,34.825,33.555,34.20,376900,31.412
2015-02-06,35.03,35.105,34.65,34.94,180700,32.091
2015-02-05,35.00,35.25,34.85,34.915,240900,32.068
2015-02-04,34.80,35.40,34.53,35.32,300200,32.44
2015-02-03,34.675,34.89,34.555,34.77,331500,31.935
2015-02-02,34.50,34.95,34.30,34.57,381300,31.751
2015-01-30,35.00,35.00,34.175,34.50,413000,31.687
2015-01-29,34.525,34.845,33.90,34.815,316500,31.976
2015-01-28,34.50,34.90,34.015,34.80,287900,31.963
2015-01-27,34.70,34.80,33.93,34.25,337800,31.457
2015-01-26,33.75,34.75,33.655,34.685,298500,31.857
2015-01-23,33.705,35.37,33.515,34.19,861200,31.402
2015-01-22,33.10,33.40,32.71,33.36,262300,30.64
2015-01-21,33.30,33.35,32.25,33.11,438300,30.41
2015-01-20,33.305,33.685,33.17,33.425,281800,30.70
2015-01-19,32.55,33.25,32.295,33.20,411500,30.493
