Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,61.40,62.09,60.92,61.95,11600,61.95
2016-10-26,61.29,61.80,61.00,61.50,10600,61.50
2016-10-25,62.29,62.61,61.35,61.67,16800,61.67
2016-10-24,61.61,62.65,61.61,62.03,22300,62.03
2016-10-21,61.87,61.90,61.26,61.26,13300,61.26
2016-10-20,61.66,62.19,61.28,61.70,15700,61.70
2016-10-19,61.42,62.23,61.42,61.78,24600,61.78
2016-10-18,62.13,62.95,60.61,62.11,60600,62.11
2016-10-17,62.64,62.79,61.46,61.75,23600,61.75
2016-10-14,61.20,63.13,61.10,62.64,16400,62.64
2016-10-13,62.66,62.85,61.10,61.95,24000,61.95
2016-10-12,63.20,63.77,62.55,62.91,12200,62.91
2016-10-11,63.97,64.09,63.32,63.85,18400,63.85
2016-10-10,64.06,64.06,62.33,63.69,19200,63.69
2016-10-07,63.63,63.63,62.00,62.63,24200,62.63
2016-10-06,64.42,64.80,63.00,63.28,16300,63.28
2016-10-05,64.11,64.68,64.01,64.36,9600,64.36
2016-10-04,64.00,64.72,63.80,64.55,11900,64.55
2016-10-03,63.76,63.76,63.76,63.76,000,63.76
2016-09-30,63.30,63.77,62.34,63.76,18900,63.76
2016-09-29,65.35,65.65,63.36,63.77,16300,63.77
2016-09-28,62.81,65.07,62.81,64.60,15900,64.60
2016-09-27,63.80,63.80,62.21,62.74,19700,62.74
2016-09-26,64.10,64.13,63.05,63.14,14400,63.14
2016-09-23,64.50,64.50,63.95,64.19,10300,64.19
2016-09-22,63.90,64.51,63.67,64.47,26900,64.47
2016-09-21,63.70,63.70,62.98,63.22,22300,63.22
2016-09-20,62.90,63.30,62.79,63.09,15300,63.09
2016-09-19,62.95,63.27,62.42,63.19,17200,63.19
2016-09-16,62.96,63.40,62.34,62.89,22700,62.89
2016-09-15,62.90,63.15,61.80,62.79,22100,62.79
2016-09-14,65.14,65.30,62.63,62.92,36200,62.92
2016-09-13,66.71,67.00,64.76,65.29,24400,65.29
2016-09-12,67.88,67.88,65.90,66.03,23100,66.03
2016-09-09,67.07,68.45,66.88,68.00,32700,68.00
2016-09-08,66.68,67.84,66.30,67.02,27200,67.02
2016-09-07,67.24,67.84,64.68,66.50,34500,66.50
2016-09-06,66.35,68.81,65.75,67.78,55800,67.78
2016-09-05,65.49,66.34,65.34,65.73,27400,65.73
2016-09-02,65.69,65.69,63.12,64.90,22800,64.90
2016-09-01,63.30,65.05,62.84,64.90,40100,64.90
2016-08-31,61.80,63.13,61.70,62.74,31700,62.74
2016-08-30,60.33,61.91,60.33,61.85,16600,61.85
2016-08-29,60.18,60.96,59.81,60.80,9200,60.80
2016-08-26,60.07,60.32,59.69,60.16,4600,60.16
2016-08-25,60.52,60.63,59.60,60.14,11800,60.14
2016-08-24,60.57,61.14,59.87,60.61,11600,60.61
2016-08-23,60.30,60.43,59.82,60.15,6100,60.15
2016-08-22,59.75,60.55,59.17,59.87,12800,59.87
2016-08-19,61.46,61.50,58.50,59.44,27200,59.44
2016-08-18,61.82,61.82,61.10,61.66,9100,61.66
2016-08-17,63.99,64.17,61.06,61.30,23300,61.30
2016-08-16,62.00,64.29,62.00,63.75,22800,63.75
2016-08-15,64.43,64.79,61.85,62.14,32100,62.14
2016-08-12,63.61,64.50,63.55,64.50,22500,64.50
2016-08-11,62.16,63.73,61.97,63.55,19200,63.55
2016-08-10,61.72,63.00,61.34,62.81,24000,62.81
2016-08-09,61.18,62.10,60.76,61.76,30600,61.76
2016-08-08,60.82,61.45,60.32,60.99,16000,60.99
2016-08-05,59.45,60.91,59.13,60.79,19300,60.79
2016-08-04,58.85,59.54,58.84,59.18,6000,59.18
2016-08-03,59.58,59.58,58.51,58.88,12200,58.88
2016-08-02,59.99,59.99,58.91,59.32,16500,59.32
2016-08-01,59.01,59.91,59.00,59.73,24800,59.73
2016-07-29,57.94,59.65,57.94,59.21,33400,59.21
2016-07-28,58.47,58.47,56.93,57.54,12200,57.54
2016-07-27,58.50,58.50,57.90,58.27,13200,58.27
2016-07-26,58.30,58.49,57.62,58.30,19200,58.30
2016-07-25,58.28,58.49,57.61,58.06,19300,58.06
2016-07-22,57.70,58.29,57.57,57.86,22500,57.86
2016-07-21,57.50,57.89,57.38,57.47,33100,57.47
2016-07-20,55.88,57.53,55.66,57.50,28200,57.50
2016-07-19,55.53,55.70,55.16,55.46,20900,55.46
2016-07-18,55.70,56.34,55.63,55.84,36600,55.84
2016-07-15,53.00,55.90,53.00,55.48,124700,55.48
2016-07-14,52.73,53.61,52.72,52.80,25500,52.80
2016-07-13,53.31,53.49,53.00,53.09,20500,53.09
2016-07-12,52.59,54.00,52.59,53.32,28100,53.32
2016-07-11,52.26,52.95,51.95,52.20,28900,52.20
2016-07-08,52.82,52.83,51.54,51.54,49600,51.54
2016-07-07,53.28,53.93,52.66,52.76,33100,52.76
2016-07-06,53.85,54.03,52.32,52.88,22100,52.88
2016-07-05,54.84,54.87,53.80,53.90,23800,53.90
2016-07-04,55.25,55.35,54.68,54.97,21900,54.97
2016-07-01,55.10,55.98,54.71,55.00,26400,55.00
2016-06-30,54.52,55.11,54.52,54.75,37900,54.75
2016-06-29,55.23,55.35,54.22,54.46,21900,54.46
2016-06-28,54.32,55.29,53.48,54.53,39400,54.53
2016-06-27,54.81,55.57,53.10,53.19,26400,53.19
2016-06-24,53.93,56.21,53.20,55.41,30600,55.41
2016-06-23,56.50,57.49,56.26,56.90,19800,56.90
2016-06-22,56.60,56.97,55.66,56.57,14800,56.57
2016-06-21,56.66,56.66,55.52,56.32,28100,56.32
2016-06-20,56.40,57.49,56.17,56.55,23100,56.55
2016-06-17,56.49,56.49,55.32,55.40,25700,55.40
2016-06-16,55.19,55.99,54.88,55.31,29000,55.31
2016-06-15,55.70,56.54,55.30,55.44,30000,55.44
2016-06-14,55.40,55.75,54.63,55.45,25300,55.45
2016-06-13,56.15,56.86,55.22,55.44,39600,55.44
2016-06-10,58.50,58.51,56.72,56.84,16000,56.84
2016-06-09,58.95,59.20,58.73,58.73,11900,58.73
2016-06-08,59.36,59.96,58.91,59.43,18400,59.43
2016-06-07,59.51,60.20,59.51,59.73,18300,59.73
2016-06-06,59.20,59.60,58.94,59.31,12400,59.31
2016-06-03,60.38,60.44,59.23,59.39,17800,59.39
2016-06-02,59.94,60.45,59.56,59.81,14500,59.81
2016-06-01,59.80,60.48,59.34,59.80,20400,59.80
2016-05-31,60.00,60.60,59.73,60.21,27800,60.21
2016-05-30,60.29,60.33,59.74,60.02,14000,60.02
2016-05-27,59.90,60.25,59.67,59.99,18400,59.99
2016-05-26,60.10,60.76,60.01,60.16,24000,60.16
2016-05-25,59.87,60.92,59.74,60.00,43400,60.00
2016-05-24,59.62,60.00,59.40,59.43,18200,59.43
2016-05-23,59.60,60.13,59.10,59.39,16200,59.39
2016-05-20,59.38,60.17,59.38,59.71,28200,59.71
2016-05-19,60.22,60.72,59.70,59.70,28800,59.70
2016-05-18,60.90,61.60,60.39,60.66,21500,60.66
2016-05-17,61.99,62.10,61.10,61.26,15500,61.26
2016-05-16,61.15,61.15,61.15,61.15,000,61.15
2016-05-13,61.65,62.69,60.93,61.15,21300,61.15
2016-05-12,63.00,63.20,60.99,61.63,38200,61.63
2016-05-11,60.12,63.51,60.12,63.20,26600,63.20
2016-05-10,61.00,61.29,60.29,60.83,12500,60.83
2016-05-09,59.17,61.88,58.79,60.78,25800,60.78
2016-05-06,58.73,60.72,58.73,59.71,19700,59.71
2016-05-05,57.64,58.77,57.64,58.77,8800,58.77
2016-05-04,57.83,58.42,57.14,57.61,11700,57.61
2016-05-03,58.40,58.53,57.80,57.98,23600,57.98
2016-05-02,58.10,58.49,57.42,58.45,19300,58.45
2016-04-29,58.60,59.22,57.77,57.93,18600,57.93
2016-04-28,58.05,59.37,57.29,59.08,14800,59.08
2016-04-27,57.92,58.96,57.40,58.77,16400,58.58
2016-04-26,57.96,58.10,57.22,57.93,11900,57.743
2016-04-25,57.92,57.94,57.00,57.27,12500,57.085
2016-04-22,59.00,59.23,57.06,57.57,18000,57.384
2016-04-21,57.43,59.22,57.43,59.15,25000,58.959
2016-04-20,57.85,57.99,56.75,57.75,21600,57.563
2016-04-19,56.45,57.91,56.27,57.65,33100,57.464
2016-04-18,56.01,56.19,55.20,56.10,41400,55.919
2016-04-15,56.00,57.50,55.26,55.99,79800,55.809
2016-04-14,60.28,60.75,59.67,59.67,12300,59.477
2016-04-13,60.00,61.00,59.82,60.28,19600,60.085
2016-04-12,60.38,60.39,59.20,59.68,9000,59.487
2016-04-11,59.36,60.74,58.89,59.67,11400,59.477
2016-04-08,58.00,59.60,57.77,58.81,15200,58.62
2016-04-07,57.60,58.83,57.16,57.76,26100,57.573
2016-04-06,59.03,59.03,56.89,57.21,34100,57.025
2016-04-05,59.70,59.70,58.16,58.62,20200,58.43
2016-04-04,59.39,61.15,58.71,60.37,16200,60.175
2016-04-01,59.20,59.59,58.07,59.16,20300,58.969
2016-03-31,60.20,60.88,59.42,59.70,13200,59.507
2016-03-30,58.23,60.83,58.20,60.07,27000,59.876
2016-03-29,58.63,58.63,57.00,57.73,19100,57.543
2016-03-28,58.13,58.13,58.13,58.13,000,57.942
2016-03-25,58.13,58.13,58.13,58.13,000,57.942
2016-03-24,59.22,59.33,58.11,58.13,15200,57.942
2016-03-23,57.49,60.50,57.49,59.40,26800,59.208
2016-03-22,58.48,58.64,57.50,57.71,24800,57.523
2016-03-21,60.04,60.37,58.25,58.35,25700,58.161
2016-03-18,60.32,60.35,59.00,59.26,56800,59.068
2016-03-17,61.50,61.50,58.93,59.80,36700,59.607
2016-03-16,63.01,63.64,60.77,61.21,28400,61.012
2016-03-15,65.08,65.58,62.58,63.00,29300,62.796
2016-03-14,62.02,66.20,62.02,65.84,20900,65.627
2016-03-11,61.52,63.51,60.67,61.57,34100,61.371
2016-03-10,61.80,64.57,60.69,61.00,37900,60.803
2016-03-09,63.51,63.51,61.48,61.53,16200,61.331
2016-03-08,62.50,63.68,61.43,62.79,15300,62.587
2016-03-07,62.23,63.20,62.10,62.91,16100,62.707
2016-03-04,63.76,64.73,62.75,63.10,18100,62.896
2016-03-03,62.89,63.99,62.11,63.14,22600,62.936
2016-03-02,62.91,64.00,62.11,63.62,24100,63.414
2016-03-01,62.34,64.27,61.66,62.37,22100,62.168
2016-02-29,61.72,62.00,60.61,61.78,19400,61.58
2016-02-26,59.00,61.58,59.00,61.48,34000,61.281
2016-02-25,60.71,61.12,59.43,59.72,11200,59.527
2016-02-24,60.00,60.85,59.20,60.00,37200,59.806
2016-02-23,62.00,62.00,59.85,60.22,21100,60.025
2016-02-22,58.11,62.07,57.82,61.53,31900,61.331
2016-02-19,59.33,59.36,57.00,58.03,22800,57.842
2016-02-18,59.23,60.68,59.22,59.84,16500,59.647
2016-02-17,57.40,58.85,57.01,58.54,18100,58.351
2016-02-16,59.28,60.00,57.10,57.36,33000,57.175
2016-02-15,55.47,59.97,54.00,59.34,53200,59.148
2016-02-12,53.00,55.14,52.14,54.96,29400,54.782
2016-02-11,54.30,54.30,52.20,52.58,23500,52.41
2016-02-10,54.59,55.42,54.34,54.63,27300,54.453
2016-02-09,54.60,56.06,53.90,54.49,60200,54.314
2016-02-08,54.20,54.88,53.90,54.34,40200,54.164
