Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,5.029,5.179,5.00,5.121,541800,5.121
2016-10-26,5.004,5.06,4.966,5.05,287300,5.05
2016-10-25,5.031,5.061,5.00,5.011,298200,5.011
2016-10-24,5.01,5.057,5.01,5.03,351300,5.03
2016-10-21,5.029,5.05,4.982,5.00,196300,5.00
2016-10-20,5.05,5.067,5.009,5.038,226200,5.038
2016-10-19,5.063,5.07,5.024,5.045,173200,5.045
2016-10-18,4.975,5.094,4.975,5.063,361200,5.063
2016-10-17,5.037,5.045,4.909,4.956,276700,4.956
2016-10-14,4.946,5.049,4.946,5.037,382600,5.037
2016-10-13,4.99,4.99,4.867,4.92,773900,4.92
2016-10-12,5.105,5.105,5.003,5.034,380600,5.034
2016-10-11,5.188,5.199,5.084,5.10,462600,5.10
2016-10-10,5.105,5.19,5.074,5.187,652100,5.187
2016-10-07,5.07,5.113,5.029,5.088,448000,5.088
2016-10-06,5.155,5.155,5.034,5.068,354500,5.068
2016-10-05,5.08,5.144,5.033,5.124,575400,5.124
2016-10-04,5.10,5.15,5.064,5.09,613000,5.09
2016-10-03,5.023,5.023,5.023,5.023,000,5.023
2016-09-30,4.93,5.023,4.835,5.023,685400,5.023
2016-09-29,5.00,5.068,4.941,4.972,690900,4.972
2016-09-28,4.90,4.978,4.90,4.964,690500,4.964
2016-09-27,4.94,4.95,4.823,4.88,504500,4.88
2016-09-26,4.90,4.969,4.883,4.89,612200,4.89
2016-09-23,4.867,4.93,4.794,4.912,464500,4.912
2016-09-22,4.799,4.89,4.762,4.86,781900,4.86
2016-09-21,4.76,4.80,4.672,4.791,1131200,4.791
2016-09-20,4.652,4.71,4.625,4.674,369600,4.674
2016-09-19,4.601,4.67,4.58,4.658,523200,4.658
2016-09-16,4.52,4.61,4.52,4.59,643900,4.59
2016-09-15,4.505,4.525,4.457,4.513,228100,4.513
2016-09-14,4.475,4.531,4.466,4.475,379900,4.475
2016-09-13,4.546,4.579,4.472,4.475,400300,4.475
2016-09-12,4.343,4.55,4.255,4.512,926100,4.512
2016-09-09,4.565,4.567,4.437,4.44,613900,4.44
2016-09-08,4.571,4.599,4.552,4.566,533100,4.566
2016-09-07,4.557,4.597,4.557,4.585,180700,4.585
2016-09-06,4.554,4.60,4.548,4.575,341300,4.575
2016-09-05,4.55,4.60,4.547,4.556,416400,4.556
2016-09-02,4.51,4.548,4.467,4.54,419600,4.54
2016-09-01,4.50,4.55,4.455,4.501,620400,4.501
2016-08-31,4.473,4.519,4.467,4.497,352400,4.497
2016-08-30,4.475,4.524,4.475,4.495,383000,4.495
2016-08-29,4.447,4.466,4.342,4.466,490100,4.466
2016-08-26,4.437,4.454,4.361,4.421,326500,4.421
2016-08-25,4.48,4.498,4.40,4.454,436500,4.454
2016-08-24,4.48,4.53,4.474,4.522,480500,4.522
2016-08-23,4.481,4.50,4.462,4.483,371400,4.483
2016-08-22,4.40,4.497,4.395,4.471,522600,4.471
2016-08-19,4.446,4.45,4.388,4.416,319400,4.416
2016-08-18,4.389,4.45,4.389,4.433,311400,4.433
2016-08-17,4.446,4.449,4.37,4.38,486300,4.38
2016-08-16,4.32,4.488,4.30,4.453,934500,4.453
2016-08-15,4.377,4.46,4.283,4.37,1309900,4.37
2016-08-12,4.21,4.389,4.201,4.389,1670700,4.389
2016-08-11,4.141,4.229,4.14,4.229,545900,4.229
2016-08-10,4.30,4.34,4.022,4.15,1254900,4.15
2016-08-09,4.21,4.29,4.184,4.285,660600,4.285
2016-08-08,4.229,4.232,4.167,4.20,362900,4.20
2016-08-05,4.161,4.221,4.155,4.219,340200,4.219
2016-08-04,4.178,4.195,4.13,4.195,359800,4.195
2016-08-02,4.191,4.243,4.142,4.146,763600,4.146
2016-08-01,4.12,4.21,4.096,4.191,776600,4.191
2016-07-29,4.08,4.119,4.074,4.092,309400,4.092
2016-07-28,4.059,4.118,4.044,4.08,336600,4.08
2016-07-27,4.062,4.07,4.038,4.059,219700,4.059
2016-07-26,4.059,4.089,4.033,4.04,253100,4.04
2016-07-25,4.049,4.081,4.03,4.068,361700,4.068
2016-07-22,4.025,4.063,4.012,4.041,185600,4.041
2016-07-21,4.089,4.118,4.004,4.044,580700,4.044
2016-07-20,4.10,4.10,4.02,4.087,587500,4.087
2016-07-19,3.893,4.10,3.86,4.094,1970000,4.094
2016-07-18,3.789,3.913,3.768,3.879,846400,3.879
2016-07-15,3.82,3.827,3.746,3.79,440300,3.79
2016-07-14,3.881,3.881,3.80,3.843,237000,3.843
2016-07-13,3.85,3.882,3.828,3.834,197100,3.834
2016-07-12,3.88,3.896,3.839,3.86,206000,3.86
2016-07-11,3.817,3.902,3.781,3.85,329000,3.85
2016-07-08,3.795,3.82,3.746,3.78,187200,3.78
2016-07-07,3.74,3.832,3.74,3.791,266800,3.791
2016-07-06,3.732,3.76,3.641,3.691,371900,3.691
2016-07-05,3.815,3.829,3.73,3.749,424100,3.749
2016-07-04,3.81,3.892,3.81,3.858,363200,3.858
2016-07-01,3.838,3.846,3.77,3.811,390000,3.811
2016-06-30,3.777,3.89,3.767,3.80,682000,3.80
2016-06-29,3.739,3.813,3.714,3.77,398000,3.77
2016-06-28,3.65,3.68,3.608,3.664,459900,3.664
2016-06-27,3.664,3.712,3.484,3.484,526500,3.484
2016-06-24,3.30,3.734,3.10,3.67,1474000,3.67
2016-06-23,3.738,3.788,3.702,3.765,554500,3.765
2016-06-22,3.723,3.745,3.662,3.714,383200,3.714
2016-06-21,3.734,3.734,3.689,3.704,256300,3.704
2016-06-20,3.71,3.758,3.678,3.72,361000,3.72
2016-06-17,3.56,3.664,3.56,3.641,470100,3.641
2016-06-16,3.651,3.677,3.515,3.515,900400,3.515
2016-06-15,3.68,3.749,3.679,3.688,286900,3.688
2016-06-14,3.70,3.744,3.65,3.657,450500,3.657
2016-06-13,3.66,3.809,3.611,3.758,922900,3.758
2016-06-10,3.914,3.935,3.713,3.746,540700,3.746
2016-06-09,3.983,3.993,3.828,3.953,596400,3.953
2016-06-08,4.037,4.075,3.991,4.004,230900,4.004
2016-06-07,4.02,4.09,4.01,4.05,317700,4.05
2016-06-06,4.037,4.054,4.011,4.011,249700,4.011
2016-06-03,4.00,4.119,3.981,4.016,522100,4.016
2016-06-02,4.00,4.038,3.99,4.021,553600,4.021
2016-06-01,4.00,4.03,3.958,3.989,474900,3.989
2016-05-31,3.951,4.035,3.94,4.01,508200,4.01
2016-05-30,3.983,4.00,3.945,3.956,213200,3.956
2016-05-27,3.99,3.998,3.93,3.971,346300,3.971
2016-05-26,3.958,4.049,3.958,3.99,370500,3.99
2016-05-25,3.98,3.99,3.941,3.967,297300,3.967
2016-05-24,3.946,3.979,3.894,3.954,424100,3.954
2016-05-23,3.849,3.94,3.835,3.915,391900,3.915
2016-05-20,3.85,3.88,3.831,3.856,177100,3.856
2016-05-19,3.85,3.869,3.805,3.826,332500,3.826
2016-05-18,3.81,3.88,3.792,3.847,444200,3.847
2016-05-17,3.801,3.83,3.775,3.82,392100,3.82
2016-05-16,3.757,3.757,3.757,3.757,000,3.757
2016-05-13,3.74,3.794,3.73,3.757,350700,3.757
2016-05-12,3.766,3.842,3.731,3.748,547300,3.748
2016-05-11,3.74,3.88,3.724,3.835,1357000,3.835
2016-05-10,3.58,3.755,3.57,3.736,1682400,3.736
2016-05-09,3.553,3.553,3.48,3.49,259700,3.49
2016-05-06,3.451,3.55,3.451,3.521,330400,3.521
2016-05-05,3.50,3.50,3.408,3.461,104700,3.461
2016-05-04,3.442,3.549,3.435,3.508,508800,3.508
2016-05-03,3.48,3.484,3.427,3.457,247400,3.457
2016-05-02,3.503,3.527,3.475,3.495,162900,3.495
2016-04-29,3.505,3.556,3.467,3.475,441400,3.475
2016-04-28,3.533,3.563,3.503,3.548,268300,3.548
2016-04-27,3.513,3.59,3.46,3.574,596300,3.574
2016-04-26,3.597,3.598,3.495,3.498,582900,3.498
2016-04-25,3.541,3.624,3.532,3.55,429500,3.55
2016-04-22,3.535,3.58,3.525,3.55,490800,3.55
2016-04-21,3.59,3.59,3.476,3.547,378300,3.547
2016-04-20,3.595,3.60,3.568,3.592,228000,3.592
2016-04-19,3.636,3.693,3.558,3.59,681400,3.59
2016-04-18,3.446,3.581,3.42,3.566,431700,3.566
2016-04-15,3.50,3.514,3.47,3.495,430300,3.495
2016-04-14,3.49,3.513,3.477,3.50,351900,3.50
2016-04-13,3.43,3.486,3.412,3.479,532400,3.479
2016-04-12,3.37,3.429,3.34,3.421,438400,3.421
2016-04-11,3.369,3.443,3.345,3.387,421700,3.387
2016-04-08,3.35,3.388,3.34,3.344,244400,3.344
2016-04-07,3.397,3.43,3.332,3.34,953800,3.34
2016-04-06,3.199,3.417,3.162,3.38,1391200,3.38
2016-04-05,3.19,3.191,3.106,3.179,563500,3.179
2016-04-04,3.187,3.239,3.165,3.215,447300,3.215
2016-04-01,3.149,3.176,3.10,3.16,511800,3.16
2016-03-31,3.14,3.173,3.116,3.168,561400,3.168
2016-03-30,3.061,3.149,3.046,3.126,1209300,3.126
2016-03-29,3.238,3.239,2.961,3.05,2085100,3.05
2016-03-28,3.21,3.21,3.21,3.21,000,3.21
2016-03-25,3.21,3.21,3.21,3.21,000,3.21
2016-03-24,3.314,3.314,3.182,3.21,846000,3.21
2016-03-23,3.39,3.406,3.301,3.305,788500,3.305
2016-03-22,3.38,3.42,3.255,3.377,1417300,3.377
2016-03-21,3.21,3.282,3.187,3.282,552500,3.282
2016-03-18,3.206,3.214,3.161,3.214,662000,3.214
2016-03-17,3.264,3.264,3.152,3.187,630900,3.187
2016-03-16,3.285,3.285,3.238,3.249,367300,3.249
2016-03-15,3.29,3.312,3.22,3.256,611000,3.256
2016-03-14,3.30,3.35,3.24,3.32,867000,3.32
2016-03-11,3.33,3.33,3.20,3.232,826300,3.232
2016-03-10,3.30,3.347,3.182,3.237,1414200,3.237
2016-03-09,3.233,3.248,3.19,3.196,333300,3.196
2016-03-08,3.235,3.26,3.188,3.189,428300,3.189
2016-03-07,3.245,3.288,3.235,3.264,289300,3.264
2016-03-04,3.28,3.305,3.235,3.259,499600,3.259
2016-03-03,3.256,3.277,3.228,3.274,201500,3.274
2016-03-02,3.285,3.318,3.21,3.252,529600,3.252
2016-03-01,3.176,3.225,3.159,3.215,325700,3.215
2016-02-29,3.19,3.19,3.113,3.167,522200,3.167
2016-02-26,3.169,3.187,3.127,3.16,511800,3.16
2016-02-25,3.10,3.148,3.068,3.127,301800,3.127
