Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,26.32,26.515,25.955,26.18,252500,26.18
2016-10-26,26.45,26.61,26.025,26.375,362100,26.375
2016-10-25,26.00,26.61,25.94,26.445,502700,26.445
2016-10-24,25.91,26.025,25.91,25.935,288400,25.935
2016-10-21,25.77,25.82,25.59,25.755,237500,25.755
2016-10-20,25.65,25.835,25.535,25.66,230500,25.66
2016-10-19,25.85,25.85,25.405,25.635,325000,25.635
2016-10-18,25.345,25.835,25.29,25.815,322900,25.815
2016-10-17,25.62,25.72,25.16,25.195,474100,25.195
2016-10-14,25.46,25.665,25.40,25.625,180100,25.625
2016-10-13,25.41,25.48,25.19,25.335,307300,25.335
2016-10-12,25.785,25.80,25.475,25.505,356600,25.505
2016-10-11,25.585,25.98,25.55,25.86,359700,25.86
2016-10-10,25.40,25.685,25.33,25.67,257200,25.67
2016-10-07,25.65,25.685,25.34,25.415,396400,25.415
2016-10-06,25.905,25.92,25.52,25.615,361100,25.615
2016-10-05,25.96,26.075,25.59,25.785,260600,25.785
2016-10-04,26.00,26.12,25.86,26.08,396400,26.08
2016-10-03,26.025,26.025,26.025,26.025,000,26.025
2016-09-30,25.75,26.045,25.435,26.025,431500,26.025
2016-09-29,26.195,26.195,25.755,25.84,368400,25.84
2016-09-28,26.09,26.28,25.78,25.97,243100,25.97
2016-09-27,26.00,26.03,25.835,26.03,390400,26.03
2016-09-26,26.25,26.29,25.83,26.005,320100,26.005
2016-09-23,26.30,26.505,26.24,26.365,205900,26.365
2016-09-22,26.235,26.495,26.23,26.415,281800,26.415
2016-09-21,26.05,26.285,26.02,26.07,290500,26.07
2016-09-20,25.785,25.91,25.695,25.835,241000,25.835
2016-09-19,25.90,26.03,25.79,25.855,344500,25.855
2016-09-16,25.56,25.85,25.50,25.70,646800,25.70
2016-09-15,25.745,25.745,25.32,25.565,535100,25.565
2016-09-14,25.88,25.965,25.49,25.725,471400,25.725
2016-09-13,26.15,26.26,25.76,25.79,289700,25.79
2016-09-12,26.00,26.205,25.82,26.105,371000,26.105
2016-09-09,26.48,26.57,26.20,26.305,465300,26.305
2016-09-08,26.445,26.51,26.23,26.425,408100,26.425
2016-09-07,26.27,26.51,26.19,26.385,481300,26.385
2016-09-06,26.17,26.25,26.035,26.235,253300,26.235
2016-09-05,26.295,26.365,26.065,26.145,202900,26.145
2016-09-02,25.84,26.22,25.58,26.22,346300,26.22
2016-09-01,25.92,26.08,25.735,25.805,414200,25.805
2016-08-31,26.14,26.47,25.74,25.74,528000,25.74
2016-08-30,26.10,26.365,26.08,26.17,496900,26.17
2016-08-29,26.00,26.18,25.91,26.055,217000,26.055
2016-08-26,25.80,26.28,25.59,26.135,327400,26.135
2016-08-25,25.555,26.00,25.50,25.875,406300,25.875
