Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,17.34,18.035,17.205,17.82,108600,17.82
2016-10-26,17.30,17.385,16.875,17.295,79000,17.295
2016-10-25,17.555,17.765,17.35,17.43,62700,17.43
2016-10-24,17.30,17.685,17.29,17.625,70200,17.625
2016-10-21,17.23,17.335,16.96,17.285,57400,17.285
2016-10-20,17.425,17.44,17.05,17.185,67100,17.185
2016-10-19,17.45,17.64,17.20,17.42,65600,17.42
2016-10-18,17.30,17.70,17.26,17.35,61500,17.35
2016-10-17,17.35,17.36,17.18,17.255,67200,17.255
2016-10-14,17.305,17.655,17.305,17.345,57700,17.345
2016-10-13,17.55,17.565,16.86,17.285,139500,17.285
2016-10-12,17.80,17.86,17.50,17.56,103900,17.56
2016-10-11,18.05,18.07,17.795,17.795,82400,17.795
2016-10-10,17.77,18.18,17.75,18.045,37600,18.045
2016-10-07,18.325,18.325,17.775,17.805,62300,17.805
2016-10-06,18.805,18.865,18.22,18.28,49500,18.28
2016-10-05,18.505,18.735,18.41,18.725,40400,18.725
2016-10-04,18.20,18.67,18.20,18.635,51900,18.635
2016-10-03,18.32,18.32,18.32,18.32,000,18.32
2016-09-30,18.085,18.325,17.845,18.32,51700,18.32
2016-09-29,18.75,18.885,18.17,18.325,40400,18.325
2016-09-28,18.245,18.795,18.24,18.555,74700,18.555
2016-09-27,18.45,18.515,17.75,18.215,83800,18.215
2016-09-26,18.55,18.55,18.26,18.32,55800,18.32
2016-09-23,18.95,18.965,18.57,18.76,42100,18.76
2016-09-22,18.73,19.18,18.73,18.95,36700,18.95
2016-09-21,18.505,18.89,18.49,18.605,46400,18.605
2016-09-20,18.60,18.70,18.38,18.45,27500,18.45
2016-09-19,18.40,18.76,18.305,18.59,45200,18.59
2016-09-16,18.41,18.62,18.28,18.305,45600,18.305
2016-09-15,19.125,19.13,18.38,18.675,73500,18.675
2016-09-14,19.00,19.34,18.84,19.13,46700,19.13
2016-09-13,19.00,19.42,18.90,18.90,86200,18.90
2016-09-12,18.65,18.88,18.20,18.84,82700,18.84
2016-09-09,19.205,19.275,18.765,18.94,95900,18.94
2016-09-08,19.805,19.805,19.25,19.28,41200,19.28
2016-09-07,19.87,19.885,19.505,19.63,42600,19.63
2016-09-06,19.815,19.995,19.725,19.795,38900,19.795
2016-09-05,19.835,19.965,19.685,19.725,43500,19.725
2016-09-02,20.12,20.12,19.38,19.77,56200,19.77
2016-09-01,19.43,20.20,19.43,19.82,88000,19.82
2016-08-31,19.735,19.905,19.385,19.435,61000,19.435
2016-08-30,19.63,20.085,19.545,19.75,139400,19.75
2016-08-29,19.225,19.61,19.11,19.50,42500,19.50
2016-08-26,19.50,19.675,19.155,19.57,57900,19.57
2016-08-25,19.695,19.81,19.40,19.545,65700,19.545
2016-08-24,19.65,19.79,19.50,19.755,63300,19.755
2016-08-23,19.58,19.825,19.455,19.68,65700,19.68
2016-08-22,19.10,19.74,19.02,19.445,102200,19.445
2016-08-19,19.32,19.32,19.05,19.065,45700,19.065
2016-08-18,19.40,19.50,19.205,19.23,55900,19.23
2016-08-17,20.165,20.165,19.015,19.27,139100,19.27
2016-08-16,20.35,20.35,19.905,20.00,82100,20.00
2016-08-15,20.73,20.97,20.36,20.405,62000,20.405
2016-08-12,20.21,20.93,20.12,20.755,105900,20.755
2016-08-11,21.15,21.15,20.21,20.25,108400,20.25
2016-08-10,20.88,21.075,20.58,20.675,97700,20.675
2016-08-09,20.03,20.80,20.03,20.78,59600,20.78
2016-08-08,20.355,20.42,19.845,20.00,68900,20.00
2016-08-05,20.025,20.39,19.925,20.325,46100,20.325
2016-08-04,20.045,20.26,19.855,19.915,59000,19.915
2016-08-03,19.90,20.10,19.68,19.855,82700,19.855
2016-08-02,20.74,20.765,19.755,19.81,121000,19.81
2016-08-01,20.745,21.165,20.44,20.69,154100,20.69
2016-07-29,20.50,20.77,20.355,20.48,132600,20.48
2016-07-28,19.94,20.61,19.65,20.505,185200,20.505
2016-07-27,19.115,19.39,18.86,19.165,89200,19.165
2016-07-26,18.27,18.945,18.20,18.84,110800,18.84
2016-07-25,18.00,18.30,17.85,18.27,78400,18.27
2016-07-22,18.155,18.255,17.855,18.09,63400,18.09
2016-07-21,18.225,18.40,17.88,18.155,81700,18.155
2016-07-20,17.97,18.35,17.835,18.10,183300,18.10
2016-07-19,17.655,17.825,17.55,17.77,39400,17.77
2016-07-18,17.515,17.90,17.50,17.78,76600,17.78
2016-07-15,17.56,17.645,17.18,17.435,67500,17.435
2016-07-14,17.90,17.90,17.45,17.56,82800,17.56
2016-07-13,17.78,17.97,17.655,17.74,70900,17.74
2016-07-12,17.915,18.175,17.61,17.68,113500,17.68
2016-07-11,17.20,17.99,17.095,17.80,151800,17.80
2016-07-08,16.81,17.09,16.69,16.97,133600,16.97
2016-07-07,16.60,17.00,16.58,16.925,157700,16.925
2016-07-06,16.50,16.625,15.985,16.365,215400,16.365
2016-07-05,17.30,17.39,16.685,16.75,119500,16.75
2016-07-04,18.00,18.235,17.27,17.405,107800,17.405
2016-07-01,18.00,18.00,17.46,17.86,104300,17.86
2016-06-30,17.92,18.01,17.675,17.89,129500,17.89
2016-06-29,18.00,18.085,17.56,17.87,136600,17.87
2016-06-28,18.10,18.295,17.49,17.56,154900,17.56
2016-06-27,19.175,19.19,17.54,17.605,314300,17.605
2016-06-24,18.80,19.81,18.33,19.145,600500,19.145
2016-06-23,21.12,21.77,21.025,21.525,102000,21.525
2016-06-22,21.12,21.40,20.84,21.06,110900,21.06
2016-06-21,20.09,21.11,20.03,21.01,128900,21.01
2016-06-20,19.315,20.22,19.315,20.09,144000,20.09
2016-06-17,18.75,19.07,18.625,18.955,98700,18.955
2016-06-16,18.60,19.005,18.40,18.505,137700,18.505
2016-06-15,18.51,19.11,18.51,18.87,108300,18.87
2016-06-14,19.10,19.375,18.15,18.855,139400,18.555
2016-06-13,19.55,19.64,19.235,19.37,164500,19.0618
2016-06-10,20.75,20.855,19.65,19.945,231300,19.6277
2016-06-09,21.05,21.095,20.645,20.83,43300,20.4986
2016-06-08,21.51,21.59,20.92,21.16,99600,20.8233
2016-06-07,21.75,22.11,21.59,21.635,54300,21.2908
2016-06-06,21.70,22.005,21.50,21.81,42800,21.463
2016-06-03,21.38,22.17,21.275,21.57,163800,21.2268
2016-06-02,21.30,21.505,21.125,21.245,38200,20.907
2016-06-01,21.40,21.575,21.23,21.305,32700,20.966
2016-05-31,21.75,21.805,21.20,21.505,73200,21.1628
2016-05-30,21.53,21.81,21.41,21.65,35800,21.3055
2016-05-27,21.035,21.58,20.905,21.485,67000,21.1432
2016-05-26,21.31,21.465,21.12,21.12,36100,20.784
2016-05-25,21.50,21.67,21.355,21.355,47600,21.0152
2016-05-24,21.085,21.39,20.865,21.39,44500,21.0497
2016-05-23,20.86,21.27,20.755,21.14,67200,20.8036
2016-05-20,20.73,20.98,20.57,20.86,71400,20.5281
2016-05-19,21.10,21.105,20.575,20.58,82700,20.2526
2016-05-18,21.48,21.54,21.085,21.25,48400,20.9119
2016-05-17,21.90,22.155,21.665,21.725,42300,21.3793
2016-05-16,21.73,21.73,21.73,21.73,000,21.3843
2016-05-13,21.30,21.90,21.30,21.73,106700,21.3843
2016-05-12,21.60,22.18,21.03,21.28,151500,20.9414
2016-05-11,21.69,21.975,21.26,21.85,82700,21.5023
2016-05-10,21.37,21.645,20.96,21.645,148100,21.3006
2016-05-09,20.99,21.36,20.865,21.10,73500,20.7643
2016-05-06,20.885,21.10,20.83,20.92,36800,20.5871
2016-05-05,20.965,21.14,20.735,20.945,49100,20.6117
2016-05-04,21.28,21.28,20.715,20.875,60400,20.5429
2016-05-03,21.45,21.565,21.075,21.24,46800,20.9021
2016-05-02,21.34,21.77,21.30,21.46,33700,21.1186
2016-04-29,21.585,21.82,21.40,21.41,59000,21.0693
2016-04-28,22.00,22.00,21.515,21.91,40200,21.5614
2016-04-27,21.80,22.29,21.62,22.045,99000,21.6942
2016-04-26,22.125,22.29,21.625,21.80,63700,21.4531
2016-04-25,21.975,22.08,21.64,21.90,73200,21.5516
2016-04-22,21.76,22.26,21.705,21.895,69900,21.5466
2016-04-21,22.435,22.435,21.555,21.965,94300,21.6155
2016-04-20,22.44,22.75,22.095,22.38,69600,22.0239
2016-04-19,22.28,22.815,22.28,22.615,113100,22.2552
2016-04-18,22.42,22.58,22.205,22.23,139100,21.8763
2016-04-15,23.09,23.10,22.51,22.665,67400,22.3044
2016-04-14,22.235,23.10,22.08,22.975,116100,22.6094
2016-04-13,21.505,22.195,21.505,22.10,142700,21.7484
2016-04-12,21.275,21.405,20.51,21.32,67000,20.9808
2016-04-11,21.08,21.50,21.00,21.14,50400,20.8036
2016-04-08,21.25,21.535,20.885,21.23,72900,20.8922
2016-04-07,21.70,22.14,21.04,21.245,64700,20.907
2016-04-06,21.145,21.83,21.125,21.64,74400,21.2957
2016-04-05,21.50,21.55,20.94,21.27,103900,20.9316
2016-04-04,22.30,22.64,21.725,21.80,107200,21.4531
2016-04-01,21.91,22.51,21.67,22.31,80100,21.955
2016-03-31,22.25,22.59,22.17,22.315,53500,21.9599
2016-03-30,21.37,22.51,21.37,22.305,145500,21.9501
2016-03-29,22.00,22.29,21.23,21.345,186200,21.0054
2016-03-28,22.43,22.43,22.43,22.43,000,22.0731
2016-03-25,22.43,22.43,22.43,22.43,000,22.0731
2016-03-24,22.40,23.01,22.365,22.43,66300,22.0731
2016-03-23,22.865,22.88,22.42,22.70,84800,22.3388
2016-03-22,22.055,22.69,21.68,22.545,158400,22.1863
2016-03-21,22.80,22.95,22.105,22.12,141400,21.7681
2016-03-18,22.90,23.06,22.45,22.99,90900,22.6242
2016-03-17,23.60,23.60,22.51,22.545,121400,22.1863
2016-03-16,23.70,23.70,23.305,23.55,55000,23.1753
2016-03-15,23.51,23.60,23.15,23.265,75800,22.8948
2016-03-14,23.045,23.83,22.95,23.615,110500,23.2393
2016-03-11,22.10,22.775,22.055,22.55,125800,22.1912
2016-03-10,22.16,23.45,21.88,22.02,156300,21.6696
2016-03-09,22.50,22.50,21.805,21.935,167100,21.586
2016-03-08,23.30,23.325,22.31,22.415,136200,22.0584
2016-03-07,23.365,23.415,23.01,23.405,101800,23.0326
2016-03-04,23.87,23.87,23.13,23.485,208900,23.1113
2016-03-03,25.16,25.245,23.57,23.91,277200,23.5296
2016-03-02,25.90,25.955,24.115,24.375,176800,23.9872
2016-03-01,23.805,24.69,23.495,24.69,122700,24.2972
2016-02-29,23.37,23.745,22.92,23.59,104300,23.2147
2016-02-26,24.41,24.415,23.24,23.425,106100,23.0523
2016-02-25,23.31,23.70,22.845,23.69,129300,23.3131
2016-02-24,23.51,23.85,22.42,22.86,212200,22.4963
2016-02-23,24.40,24.40,23.51,23.60,128100,23.2245
2016-02-22,24.00,24.48,24.00,24.43,174700,24.0413
2016-02-19,23.635,23.795,22.75,23.32,145600,22.949
2016-02-18,23.845,24.815,23.545,23.695,227500,23.318
2016-02-17,22.54,23.49,22.405,23.35,110800,22.9785
2016-02-16,22.80,22.995,22.06,22.25,164000,21.896
2016-02-15,22.99,23.185,22.64,22.75,174400,22.388
2016-02-12,21.96,22.48,21.80,22.155,158300,21.8025
2016-02-11,21.60,22.17,20.715,21.72,256800,21.3744
2016-02-10,21.98,22.735,21.765,22.215,361700,21.8615
2016-02-09,20.90,21.805,20.11,21.575,680200,21.2317
2016-02-08,24.60,25.00,21.22,21.425,867600,21.0841
2016-02-05,26.50,26.695,25.23,25.35,161200,24.9467
2016-02-04,27.08,27.14,25.915,26.49,142200,26.0685
2016-02-03,27.225,27.36,26.275,26.685,122500,26.2604
2016-02-02,27.75,28.175,27.22,27.65,86700,27.2101
2016-02-01,27.55,27.80,26.955,27.61,95700,27.1707
2016-01-29,26.99,27.61,26.62,27.38,111700,26.9444
2016-01-28,27.60,27.985,26.28,26.33,97100,25.9111
2016-01-27,27.28,27.90,27.085,27.57,99600,27.1313
2016-01-26,26.90,27.61,26.29,27.485,167200,27.0477
2016-01-25,27.04,28.00,27.04,27.73,126300,27.2888
2016-01-22,26.80,27.04,26.335,27.04,125100,26.6098
2016-01-21,25.20,26.39,25.20,25.935,125000,25.5223
2016-01-20,25.70,26.01,25.00,25.415,147700,25.0106
2016-01-19,26.70,27.14,26.15,26.64,144700,26.2161
2016-01-18,25.15,26.33,24.55,25.46,297500,25.0549
2016-01-15,27.575,27.665,25.15,25.50,309700,25.0943
2016-01-14,27.80,27.805,26.99,27.405,142200,26.969
2016-01-13,29.05,29.43,28.01,28.195,130700,27.7464
2016-01-12,27.30,28.935,27.20,28.60,142400,28.1449
2016-01-11,27.10,28.10,26.18,27.09,168300,26.659
2016-01-08,27.985,28.485,27.595,27.615,153000,27.1756
2016-01-07,26.75,28.70,26.26,28.31,349500,27.8596
2016-01-06,29.75,29.75,28.05,28.955,220200,28.4943
2016-01-05,30.60,30.785,29.60,30.13,133600,29.6506
2016-01-04,30.515,30.84,30.00,30.38,108100,29.8966
2016-01-01,31.585,31.585,31.585,31.585,000,31.0825
2015-12-31,31.585,31.585,31.585,31.585,000,31.0825
2015-12-30,31.82,31.88,30.73,31.585,54900,31.0825
2015-12-29,30.71,31.905,30.71,31.685,117800,31.1809
2015-12-28,30.92,30.975,30.245,30.84,61800,30.3493
2015-12-25,30.98,30.98,30.98,30.98,000,30.4871
2015-12-24,30.98,30.98,30.98,30.98,000,30.4871
2015-12-23,30.85,30.98,30.30,30.98,74900,30.4871
2015-12-22,31.17,31.24,29.945,30.22,110600,29.7392
2015-12-21,31.56,31.995,31.01,31.05,88300,30.556
2015-12-18,30.95,31.555,30.605,31.555,109300,31.0529
2015-12-17,31.85,32.245,31.11,31.385,115900,30.8856
2015-12-16,31.13,31.555,30.65,30.92,99500,30.428
2015-12-15,29.15,31.135,29.15,31.135,133500,30.6396
2015-12-14,29.45,29.935,28.33,28.685,175000,28.2286
2015-12-11,30.88,30.88,29.02,29.54,207200,29.07
2015-12-10,30.80,31.35,30.50,30.56,113400,30.0738
2015-12-09,31.50,31.615,30.515,31.085,108000,30.5904
2015-12-08,32.20,32.30,30.91,31.435,176800,30.9348
2015-12-07,31.10,32.70,31.10,32.07,218900,31.5597
2015-12-04,31.01,31.31,29.42,30.65,202700,30.1623
2015-12-03,31.70,32.15,30.32,30.835,216200,30.3444
2015-12-02,30.14,31.82,30.10,31.72,230500,31.2153
2015-12-01,30.08,30.11,29.215,29.50,370000,29.0306
2015-11-30,30.10,30.15,29.925,30.085,209800,29.6063
2015-11-27,30.40,30.495,29.75,30.03,151600,29.5522
2015-11-26,29.80,30.50,29.80,30.245,132900,29.7638
2015-11-25,29.70,29.90,29.205,29.765,124700,29.2914
2015-11-24,29.56,29.85,29.105,29.49,147500,29.0208
2015-11-23,29.00,29.545,28.80,29.49,130000,29.0208
2015-11-20,28.89,29.00,28.55,28.94,81500,28.4795
2015-11-19,28.985,29.00,28.635,28.795,88700,28.3368
2015-11-18,28.985,29.08,28.355,28.50,86100,28.0465
2015-11-17,28.565,29.125,28.505,29.06,104200,28.5976
2015-11-16,28.50,28.76,27.875,28.115,154900,27.6677
2015-11-13,28.895,29.40,28.41,29.015,139400,28.5533
2015-11-12,27.99,29.49,27.00,29.49,248500,29.0208
2015-11-11,28.565,28.63,26.22,27.185,311600,26.7525
2015-11-10,28.505,28.60,27.92,28.23,69100,27.7808
2015-11-09,28.635,28.73,28.075,28.405,108500,27.9531
2015-11-06,27.86,28.71,27.86,28.275,86600,27.8251
2015-11-05,27.85,28.14,27.60,28.00,69100,27.5545
2015-11-04,28.31,28.375,27.45,27.69,159700,27.2494
2015-11-03,28.30,28.56,27.835,28.27,134000,27.8202
2015-11-02,26.85,28.37,26.85,28.33,172900,27.8792
2015-10-30,26.84,26.87,26.405,26.87,53600,26.4425
2015-10-29,26.79,26.79,26.17,26.695,64300,26.2703
2015-10-28,26.545,26.60,26.11,26.545,77200,26.1226
2015-10-27,26.70,26.80,26.20,26.305,79600,25.8865
2015-10-26,26.41,26.76,26.30,26.625,110400,26.2014
2015-10-23,26.15,26.37,25.93,26.185,94500,25.7684
2015-10-22,25.81,26.05,25.64,26.04,83200,25.6257
2015-10-21,25.47,25.89,25.12,25.83,78200,25.419
2015-10-20,25.34,25.48,25.05,25.25,95800,24.8482
2015-10-19,25.25,25.48,25.075,25.34,87100,24.9368
2015-10-16,25.00,25.45,24.805,24.995,124300,24.5973
2015-10-15,24.50,24.93,24.255,24.93,214700,24.5333
2015-10-14,24.755,24.755,24.305,24.335,153300,23.9478
2015-10-13,25.00,25.025,24.42,24.74,85700,24.3464
2015-10-12,24.50,25.005,23.865,25.005,201000,24.6071
2015-10-09,24.35,24.35,23.74,23.965,72300,23.5837
2015-10-08,24.365,24.545,23.91,24.18,91600,23.7953
2015-10-07,24.34,24.60,24.14,24.41,128800,24.0216
2015-10-06,23.30,24.245,23.095,23.98,130500,23.5985
2015-10-05,22.40,23.51,22.40,23.265,151900,22.8948
2015-10-02,22.255,22.565,21.65,21.99,93300,21.6401
2015-10-01,21.94,22.75,21.67,21.94,133700,21.5909
2015-09-30,21.82,21.82,21.47,21.795,82900,21.4482
2015-09-29,21.07,21.655,20.78,21.49,72600,21.1481
2015-09-28,21.50,21.825,21.09,21.495,77800,21.153
2015-09-25,21.285,21.765,20.68,21.545,131000,21.2022
2015-09-24,21.20,21.855,20.59,20.77,87500,20.4395
2015-09-23,20.90,21.46,20.745,21.205,82000,20.8676
2015-09-22,21.89,21.89,20.74,20.99,93000,20.656
2015-09-21,21.40,21.86,21.37,21.75,67800,21.4039
2015-09-18,21.85,21.89,21.25,21.60,77600,21.2563
2015-09-17,21.555,21.95,21.20,21.74,84900,21.3941
2015-09-16,21.51,21.745,21.22,21.29,80800,20.9513
2015-09-15,20.78,21.48,20.675,21.155,81900,20.8184
2015-09-14,20.98,21.16,20.415,20.695,87400,20.3657
2015-09-11,21.005,21.27,20.795,20.975,69900,20.6413
2015-09-10,21.00,21.33,20.795,20.795,72600,20.4641
2015-09-09,21.51,21.59,20.995,21.22,73100,20.8824
2015-09-08,20.785,21.25,20.65,20.77,77200,20.4395
2015-09-07,21.05,21.355,20.40,20.565,96600,20.2378
2015-09-04,21.39,21.39,20.495,20.88,91100,20.5478
2015-09-03,21.40,22.00,21.28,21.65,171900,21.3055
2015-09-02,20.80,21.225,20.49,20.95,112900,20.6167
2015-09-01,20.96,21.045,20.25,20.79,187500,20.4592
2015-08-31,19.65,21.70,19.55,21.635,288000,21.2908
2015-08-28,19.75,19.80,19.13,19.73,144000,19.4161
2015-08-27,19.52,19.70,19.15,19.62,259500,19.3078
2015-08-26,18.76,19.13,18.32,18.52,188200,18.2253
2015-08-25,18.10,19.02,18.10,19.02,308600,18.7174
2015-08-24,17.85,18.22,16.73,17.52,697800,17.2412
2015-08-21,18.67,19.59,18.15,19.09,415900,18.7863
2015-08-20,21.355,21.355,19.15,19.60,400700,19.2881
2015-08-19,21.73,21.815,21.28,21.415,86100,21.0743
2015-08-18,22.39,22.39,21.79,21.955,70600,21.6057
2015-08-17,22.25,22.38,21.60,22.38,116500,22.0239
2015-08-14,22.47,22.56,21.805,22.05,81700,21.6992
2015-08-13,22.38,22.905,21.85,22.48,148500,22.1223
2015-08-12,22.02,22.025,21.185,21.185,152300,20.8479
2015-08-11,22.76,22.85,22.115,22.39,72100,22.0338
2015-08-10,22.22,22.76,22.15,22.60,88300,22.2404
2015-08-07,22.705,22.705,22.00,22.00,81700,21.65
2015-08-06,22.70,22.975,22.51,22.66,62500,22.2995
2015-08-05,22.88,22.995,22.56,22.655,74600,22.2945
2015-08-04,22.86,22.90,22.30,22.795,63200,22.4323
2015-08-03,22.675,22.955,22.19,22.84,147100,22.4766
2015-07-31,22.43,22.59,21.97,22.365,119000,22.0092
