Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,15.90,16.015,15.795,16.005,96500,16.005
2016-10-26,15.97,16.01,15.76,15.99,59400,15.99
2016-10-25,15.95,16.07,15.79,15.905,69100,15.905
2016-10-24,15.735,15.95,15.735,15.91,76100,15.91
2016-10-21,15.81,15.90,15.725,15.785,57600,15.785
2016-10-20,15.97,15.995,15.74,15.78,71900,15.78
2016-10-19,15.83,15.945,15.83,15.895,42900,15.895
2016-10-18,15.80,15.95,15.73,15.87,83100,15.87
2016-10-17,15.81,15.855,15.725,15.76,52700,15.76
2016-10-14,15.66,15.815,15.66,15.74,56900,15.74
2016-10-13,15.80,15.86,15.645,15.705,89800,15.705
2016-10-12,16.30,16.30,15.835,15.90,49100,15.90
2016-10-11,16.00,16.40,15.965,16.30,124900,16.30
2016-10-10,16.09,16.145,15.955,16.03,59300,16.03
2016-10-07,16.175,16.205,15.92,16.01,74800,16.01
2016-10-06,16.36,16.40,16.08,16.09,75600,16.09
2016-10-05,16.19,16.305,16.06,16.265,65700,16.265
2016-10-04,16.135,16.46,16.045,16.35,125800,16.35
2016-10-03,16.27,16.27,16.27,16.27,000,16.27
2016-09-30,16.03,16.27,15.96,16.27,67200,16.27
2016-09-29,16.285,16.42,16.195,16.245,66600,16.245
2016-09-28,16.03,16.29,16.03,16.205,85700,16.205
2016-09-27,16.085,16.12,15.845,15.96,79600,15.96
2016-09-26,15.95,16.12,15.895,15.995,83000,15.995
2016-09-23,16.125,16.125,15.875,15.955,98000,15.955
2016-09-22,15.995,16.165,15.855,16.12,119500,16.12
2016-09-21,16.10,16.125,15.625,15.85,347200,15.85
2016-09-20,16.605,16.83,16.55,16.65,79800,16.65
2016-09-19,16.395,16.57,16.355,16.57,43300,16.57
2016-09-16,16.255,16.39,16.08,16.24,104400,16.24
2016-09-15,16.25,16.435,16.18,16.22,94400,16.22
2016-09-14,16.41,16.52,16.275,16.29,61400,16.29
2016-09-13,16.21,16.635,16.21,16.32,97700,16.32
2016-09-12,15.95,16.205,15.655,16.125,83900,16.125
2016-09-09,16.415,16.425,16.06,16.06,100900,16.06
2016-09-08,16.49,16.655,16.305,16.425,99800,16.425
2016-09-07,16.69,16.785,16.47,16.525,66900,16.525
2016-09-06,16.69,16.70,16.515,16.595,63100,16.595
2016-09-05,16.505,16.82,16.505,16.585,118900,16.585
2016-09-02,16.62,16.63,16.285,16.60,123100,16.60
2016-09-01,16.455,16.575,16.37,16.485,106200,16.485
2016-08-31,16.425,16.45,16.25,16.315,78600,16.315
2016-08-30,16.41,16.69,16.40,16.43,146900,16.43
2016-08-29,16.13,16.44,16.13,16.375,117700,16.375
2016-08-26,15.95,16.35,15.945,16.25,122000,16.25
2016-08-25,16.14,16.14,15.745,15.925,130200,15.925
2016-08-24,15.495,16.18,15.385,16.17,209600,16.17
2016-08-23,15.57,15.57,15.405,15.525,38900,15.525
2016-08-22,15.535,15.69,15.31,15.49,54800,15.49
2016-08-19,15.37,15.58,15.29,15.505,77000,15.505
2016-08-18,15.32,15.475,15.27,15.395,74900,15.395
2016-08-17,15.605,15.705,15.005,15.255,112800,15.255
2016-08-16,15.625,15.715,15.48,15.55,86200,15.55
2016-08-15,15.50,15.90,15.495,15.725,120300,15.725
2016-08-12,15.30,15.49,15.115,15.48,140900,15.48
2016-08-11,15.35,15.45,14.92,15.295,145900,15.295
2016-08-10,15.30,15.515,15.25,15.395,88800,15.395
2016-08-09,15.145,15.485,15.00,15.45,265900,15.45
2016-08-08,15.465,15.50,15.135,15.245,101500,15.245
2016-08-05,15.40,15.425,15.085,15.385,94700,15.385
2016-08-04,15.20,15.49,15.14,15.315,123000,15.315
2016-08-03,15.05,15.38,14.98,15.10,113600,15.10
2016-08-02,15.20,15.20,14.94,15.01,93900,15.01
2016-08-01,15.45,15.55,15.22,15.235,92400,15.235
2016-07-29,15.365,15.405,15.23,15.32,62600,15.32
2016-07-28,15.37,15.465,15.235,15.235,82900,15.235
2016-07-27,15.27,15.395,15.155,15.35,88800,15.35
2016-07-26,15.13,15.30,15.13,15.185,57700,15.185
2016-07-25,14.975,15.23,14.88,15.15,103700,15.15
2016-07-22,14.95,15.18,14.855,14.90,68400,14.90
2016-07-21,15.00,15.145,14.88,14.985,95400,14.985
2016-07-20,14.925,15.00,14.80,14.985,91400,14.985
2016-07-19,14.745,14.965,14.705,14.79,54500,14.79
2016-07-18,14.70,15.38,14.52,14.85,245800,14.85
2016-07-15,14.87,14.87,14.625,14.685,57900,14.685
2016-07-14,14.65,14.85,14.53,14.825,120700,14.825
2016-07-13,14.60,14.655,14.46,14.64,70000,14.64
2016-07-12,14.62,14.72,14.50,14.635,102500,14.635
2016-07-11,14.345,14.67,14.345,14.55,54600,14.55
2016-07-08,14.205,14.435,14.205,14.325,40600,14.325
2016-07-07,14.10,14.365,14.08,14.28,46200,14.28
2016-07-06,14.15,14.35,13.995,14.105,94300,14.105
2016-07-05,14.64,14.72,14.01,14.09,79300,14.09
2016-07-04,14.845,14.905,14.635,14.795,64700,14.795
2016-07-01,14.825,14.94,14.525,14.895,130900,14.895
2016-06-30,14.20,14.845,14.18,14.795,194300,14.795
2016-06-29,14.155,14.21,13.985,14.18,79300,14.18
2016-06-28,13.50,14.045,13.245,14.045,233900,14.045
2016-06-27,13.95,13.985,13.185,13.185,120600,13.185
2016-06-24,13.24,14.10,12.815,13.945,126900,13.945
2016-06-23,14.42,14.595,14.32,14.51,102600,14.51
2016-06-22,14.36,14.525,14.355,14.415,37700,14.415
2016-06-21,14.525,14.54,14.24,14.325,60000,14.325
2016-06-20,14.35,14.65,14.225,14.52,100400,14.52
2016-06-17,13.75,14.075,13.665,14.005,126400,14.005
2016-06-16,13.78,14.045,13.265,13.505,137900,13.505
2016-06-15,14.12,14.275,14.025,14.065,79800,14.065
2016-06-14,14.01,14.09,13.76,13.905,71400,13.905
2016-06-13,13.86,14.10,13.715,13.985,74200,13.985
2016-06-10,14.375,14.455,14.06,14.10,49800,14.10
2016-06-09,14.40,14.515,14.25,14.465,45900,14.465
2016-06-08,14.885,14.885,14.59,14.66,91600,14.66
2016-06-07,14.65,14.90,14.63,14.89,78300,14.89
2016-06-06,14.68,14.735,14.565,14.66,44100,14.66
2016-06-03,14.675,14.81,14.525,14.635,58400,14.635
2016-06-02,14.62,14.765,14.54,14.705,57200,14.705
2016-06-01,14.35,14.64,14.325,14.58,82100,14.58
2016-05-31,14.385,14.385,14.165,14.325,190000,14.325
2016-05-30,14.29,14.375,14.21,14.31,30000,14.31
2016-05-27,14.28,14.42,14.09,14.315,61200,14.315
2016-05-26,14.285,14.45,14.085,14.275,66200,14.275
2016-05-25,14.18,14.33,14.14,14.245,74800,14.245
2016-05-24,13.795,14.195,13.755,14.145,81000,14.145
2016-05-23,13.825,13.975,13.655,13.835,75900,13.835
2016-05-20,13.46,13.89,13.405,13.795,117100,13.795
2016-05-19,13.365,13.505,13.30,13.335,41100,13.335
2016-05-18,13.36,13.525,13.245,13.515,93000,13.515
2016-05-17,13.30,13.325,13.005,13.30,100200,13.30
2016-05-16,13.27,13.27,13.27,13.27,000,13.27
2016-05-13,13.17,13.46,13.17,13.27,76200,13.27
2016-05-12,13.355,13.595,13.245,13.245,99200,13.245
2016-05-11,13.75,13.81,13.03,13.36,215600,13.36
2016-05-10,13.79,13.895,13.66,13.895,67500,13.895
2016-05-09,13.86,13.895,13.705,13.725,39900,13.725
2016-05-06,13.80,13.935,13.685,13.79,43900,13.79
2016-05-05,13.63,13.87,13.545,13.855,48200,13.855
2016-05-04,13.605,13.75,13.485,13.54,101000,13.54
2016-05-03,13.645,13.73,13.425,13.515,108500,13.515
2016-05-02,13.745,13.745,13.51,13.595,69000,13.595
2016-04-29,13.94,13.94,13.655,13.655,55500,13.655
