Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,40.745,41.595,40.405,41.345,98500,41.345
2016-10-26,40.285,41.065,39.70,40.90,114200,40.90
2016-10-25,40.985,41.235,40.20,40.33,70800,40.33
2016-10-24,41.705,42.06,40.66,40.805,111500,40.805
2016-10-21,41.76,41.835,41.155,41.53,88900,41.53
2016-10-20,42.30,42.40,41.30,41.83,105600,41.83
2016-10-19,42.16,42.41,41.37,41.91,97700,41.91
2016-10-18,41.645,42.19,41.25,42.025,108600,42.025
2016-10-17,42.50,42.515,41.00,41.245,128400,41.245
2016-10-14,41.00,41.90,40.93,41.335,96500,41.335
2016-10-13,41.425,41.915,40.56,40.69,135200,40.69
2016-10-12,43.10,43.10,41.62,41.655,141400,41.655
2016-10-11,43.50,43.995,42.905,43.01,81600,43.01
2016-10-10,43.47,44.27,42.60,43.965,134400,43.965
2016-10-07,44.00,44.00,43.15,43.32,152800,43.32
2016-10-06,44.60,44.62,43.315,44.185,200500,44.185
2016-10-05,45.20,45.20,43.04,44.34,315800,44.34
2016-10-04,43.50,46.595,41.55,44.09,602500,44.09
2016-10-03,37.225,37.225,37.225,37.225,000,37.225
2016-09-30,36.86,37.35,36.06,37.225,102600,37.225
2016-09-29,36.50,37.73,36.375,37.365,112700,37.365
2016-09-28,36.33,36.92,36.07,36.07,108400,36.07
2016-09-27,36.86,36.86,35.61,36.21,96800,36.21
2016-09-26,37.00,37.04,36.165,36.475,93800,36.475
2016-09-23,37.30,37.37,36.625,36.93,93200,36.93
2016-09-22,36.34,37.50,35.965,37.23,160900,37.23
2016-09-21,36.44,36.50,35.68,35.90,60300,35.90
2016-09-20,36.215,36.29,35.905,36.00,93200,36.00
2016-09-19,36.10,36.23,35.745,36.205,100100,36.205
2016-09-16,36.075,36.305,35.77,36.145,113000,36.145
2016-09-15,36.35,36.35,35.655,36.145,89900,36.145
2016-09-14,37.005,37.12,36.11,36.245,150100,36.245
2016-09-13,38.00,38.21,37.18,37.215,70300,37.215
2016-09-12,38.01,38.20,37.00,37.69,125100,37.69
2016-09-09,38.80,39.185,37.80,38.905,53400,38.905
2016-09-08,38.995,39.05,38.445,38.935,64500,38.935
2016-09-07,38.935,39.06,38.605,38.97,53400,38.97
2016-09-06,39.45,39.45,38.795,39.00,65500,39.00
2016-09-05,39.00,39.00,38.455,38.945,36900,38.945
2016-09-02,38.275,38.995,37.995,38.985,43300,38.985
2016-09-01,38.59,38.75,37.90,38.045,46200,38.045
2016-08-31,38.90,39.05,38.03,38.24,78300,38.24
2016-08-30,38.84,39.075,38.195,38.865,46600,38.865
2016-08-29,38.195,38.705,37.815,38.675,28000,38.675
2016-08-26,38.535,38.82,37.765,38.39,48100,38.39
2016-08-25,39.385,39.415,38.225,38.70,73400,38.70
2016-08-24,39.10,39.815,39.075,39.53,26000,39.53
2016-08-23,39.28,39.70,39.195,39.40,79200,39.40
2016-08-22,38.19,39.05,37.87,38.995,57300,38.995
2016-08-19,39.00,39.00,37.645,38.05,84400,38.05
2016-08-18,38.78,39.10,38.515,38.895,48500,38.895
2016-08-17,40.05,40.22,38.535,38.72,89100,38.72
2016-08-16,40.03,40.50,39.925,40.10,39200,40.10
2016-08-15,40.50,40.74,39.825,40.20,53200,40.20
2016-08-12,40.00,40.47,39.87,40.41,113300,40.41
2016-08-11,39.99,40.05,39.47,40.04,63900,40.04
2016-08-10,40.00,40.515,39.85,39.925,64600,39.925
2016-08-09,39.995,40.58,39.785,40.50,88000,40.50
2016-08-08,40.49,40.65,39.415,39.865,51300,39.865
2016-08-05,39.80,40.47,39.18,40.15,138700,40.15
2016-08-04,38.49,39.65,37.99,39.50,87500,39.50
2016-08-03,38.38,38.48,37.525,38.41,64100,38.41
2016-08-02,39.835,39.835,37.98,38.20,148900,38.20
2016-08-01,40.09,40.29,39.00,39.735,105900,39.735
2016-07-29,39.64,39.715,39.115,39.60,70000,39.60
2016-07-28,39.435,39.59,39.015,39.40,48300,39.40
2016-07-27,39.515,39.65,39.005,39.44,82100,39.44
2016-07-26,39.66,39.81,39.05,39.415,88600,39.415
2016-07-25,39.28,39.99,38.775,39.55,59700,39.55
2016-07-22,39.125,39.235,38.68,39.14,42500,39.14
2016-07-21,38.90,39.53,38.90,39.525,55300,39.525
2016-07-20,39.31,39.38,38.59,39.14,59800,39.14
2016-07-19,38.80,39.38,38.72,38.97,64100,38.97
2016-07-18,39.13,39.18,38.415,38.95,50300,38.95
2016-07-15,39.28,39.41,38.30,39.19,83800,39.19
2016-07-14,39.345,39.50,38.33,39.195,66600,39.195
2016-07-13,39.25,39.455,38.36,38.92,69300,38.92
