Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,23.78,24.175,23.59,24.165,841900,24.165
2016-10-26,23.95,23.95,23.20,23.685,1054800,23.685
2016-10-25,24.50,24.56,23.945,24.045,669200,24.045
2016-10-24,24.73,24.89,24.585,24.61,333200,24.61
2016-10-21,24.755,24.88,24.42,24.595,622600,24.595
2016-10-20,25.25,25.27,24.65,24.785,475100,24.785
2016-10-19,25.09,25.215,24.90,25.09,342800,25.09
2016-10-18,25.085,25.335,24.93,25.095,346900,25.095
2016-10-17,25.085,25.115,24.88,24.97,291100,24.97
2016-10-14,25.00,25.55,24.65,25.10,623100,25.10
2016-10-13,25.385,25.42,24.42,24.965,1174800,24.965
2016-10-12,25.35,25.72,25.105,25.58,647200,25.58
2016-10-11,25.65,26.07,25.24,25.365,1174300,25.365
2016-10-10,26.15,26.155,25.515,26.05,670700,26.05
2016-10-07,26.94,26.95,25.91,25.97,680800,25.97
2016-10-06,27.05,27.15,26.595,26.885,441800,26.885
2016-10-05,26.815,27.025,26.615,26.81,543400,26.81
2016-10-04,27.04,27.275,26.90,26.985,611600,26.985
2016-10-03,27.04,27.04,27.04,27.04,000,27.04
2016-09-30,26.65,27.135,26.35,27.04,1026500,27.04
2016-09-29,27.10,27.58,26.645,26.925,1238700,26.925
2016-09-28,26.00,26.90,25.45,26.785,1364900,26.785
2016-09-27,26.00,26.00,25.43,25.89,561000,25.89
2016-09-26,25.75,25.85,25.35,25.80,457400,25.80
2016-09-23,26.03,26.08,25.71,25.865,382300,25.865
2016-09-22,25.525,26.03,25.445,26.00,482600,26.00
2016-09-21,25.76,25.80,25.205,25.315,574000,25.315
2016-09-20,25.80,25.92,25.565,25.565,329300,25.565
2016-09-19,25.75,25.955,25.415,25.765,432200,25.765
2016-09-16,25.96,26.045,25.305,25.54,792600,25.54
2016-09-15,26.065,26.155,25.665,25.90,432400,25.90
2016-09-14,26.285,26.555,26.02,26.04,582200,26.04
2016-09-13,26.03,26.69,26.03,26.08,973900,26.08
2016-09-12,25.84,25.90,25.08,25.855,1073600,25.855
2016-09-09,25.60,26.50,25.41,26.40,1638900,26.40
2016-09-08,25.25,25.39,24.885,25.13,539500,25.13
2016-09-07,25.45,25.52,25.18,25.275,377900,25.275
2016-09-06,25.60,25.70,25.25,25.355,364200,25.355
2016-09-05,25.60,25.70,25.445,25.55,302700,25.55
2016-09-02,25.30,25.565,25.18,25.44,632500,25.44
2016-09-01,24.90,25.40,24.645,25.205,820200,25.205
2016-08-31,25.15,25.345,24.805,24.805,495300,24.805
2016-08-30,25.20,25.27,24.95,25.215,488900,25.215
2016-08-29,25.065,25.275,24.74,25.065,388400,25.065
2016-08-26,24.745,25.405,24.70,25.19,838700,25.19
2016-08-25,24.68,24.755,24.21,24.725,615300,24.725
2016-08-24,24.59,24.87,24.50,24.75,478100,24.75
2016-08-23,24.09,24.735,24.075,24.70,837800,24.70
2016-08-22,24.16,24.19,23.915,24.11,722300,24.11
2016-08-19,24.00,24.30,23.785,24.195,698600,24.195
2016-08-18,23.90,24.35,23.60,23.945,881000,23.945
2016-08-17,23.515,23.535,22.80,23.39,727200,23.39
2016-08-16,23.75,23.76,23.50,23.52,467300,23.52
2016-08-15,23.775,24.325,23.665,23.845,585600,23.845
2016-08-12,24.015,24.045,23.60,23.745,617200,23.745
2016-08-11,24.12,24.325,23.88,24.08,579300,24.08
2016-08-10,24.185,24.255,23.86,24.14,665400,24.14
2016-08-09,23.88,24.67,23.88,24.31,760300,24.31
2016-08-08,24.425,24.47,23.78,23.91,736800,23.91
2016-08-05,24.405,24.50,24.035,24.355,725300,24.355
2016-08-04,23.55,24.61,23.53,24.365,1265100,24.365
2016-08-02,23.72,23.86,22.74,23.24,1409800,23.24
2016-08-01,24.975,25.00,23.155,23.80,1936900,23.80
2016-07-29,25.975,25.975,24.54,24.72,1682500,24.72
2016-07-28,27.90,27.90,25.27,25.605,1912400,25.605
2016-07-27,26.32,27.37,26.32,26.98,690000,26.98
2016-07-26,25.84,26.325,25.70,26.08,382200,26.08
2016-07-25,25.78,26.065,25.55,25.81,417400,25.81
2016-07-22,25.50,25.89,25.45,25.80,411200,25.80
2016-07-21,25.805,25.94,25.56,25.70,279600,25.70
2016-07-20,25.745,25.935,25.52,25.78,446000,25.78
2016-07-19,25.255,25.715,25.175,25.555,488800,25.555
2016-07-18,25.27,25.72,25.08,25.265,470100,25.265
2016-07-15,25.535,25.555,24.955,25.155,349400,25.155
2016-07-14,25.80,26.05,25.51,25.545,486000,25.545
2016-07-13,25.85,25.895,25.51,25.55,641200,25.55
2016-07-12,25.76,25.98,25.59,25.885,359100,25.885
2016-07-11,25.655,25.90,25.485,25.725,403500,25.725
2016-07-08,24.26,25.53,24.10,25.315,567700,25.315
2016-07-07,24.39,24.865,24.35,24.405,372000,24.405
2016-07-06,24.645,24.645,23.825,24.025,697100,24.025
2016-07-05,25.40,25.445,24.675,24.94,473300,24.94
2016-07-04,25.615,25.98,25.325,25.425,500400,25.425
2016-07-01,25.60,25.80,25.135,25.62,480600,25.62
2016-06-30,25.09,25.765,24.95,25.425,737600,25.425
2016-06-29,25.26,25.415,24.545,25.255,743400,25.255
2016-06-28,24.69,25.005,23.93,24.815,1092600,24.815
2016-06-27,25.71,25.815,23.80,24.035,935900,24.035
2016-06-24,22.90,25.98,22.045,25.57,1402100,25.57
2016-06-23,26.975,27.625,26.88,27.355,792200,27.355
2016-06-22,26.76,27.135,26.58,26.94,518000,26.94
2016-06-21,26.58,26.875,26.15,26.53,496900,26.53
2016-06-20,25.80,26.575,25.665,26.415,613600,26.415
2016-06-17,24.91,25.70,24.87,25.375,668400,25.375
2016-06-16,24.99,25.11,24.39,24.615,547400,24.615
2016-06-15,25.115,25.705,25.10,25.335,595200,25.335
2016-06-14,25.25,25.80,24.86,25.06,866600,25.06
2016-06-13,25.60,26.50,25.235,26.195,939300,26.195
2016-06-10,27.45,27.50,26.13,26.725,857800,26.725
2016-06-09,27.845,27.895,27.475,27.74,424400,27.74
2016-06-08,28.10,28.15,27.645,27.97,439800,27.97
2016-06-07,27.67,28.45,27.65,28.155,598600,28.155
2016-06-06,27.79,27.805,27.325,27.525,342800,27.525
2016-06-03,28.11,28.28,27.265,27.89,615300,27.89
2016-06-02,27.90,28.38,27.71,28.085,1093300,28.085
2016-06-01,26.38,27.80,26.205,27.73,2120800,27.73
2016-05-31,25.745,25.745,25.41,25.55,371100,25.55
2016-05-30,25.685,25.87,25.53,25.66,264900,25.66
2016-05-27,25.535,25.865,25.24,25.555,505400,25.555
2016-05-26,25.535,25.84,25.535,25.545,322000,25.545
2016-05-25,25.60,25.765,25.44,25.645,580900,25.645
2016-05-24,25.00,25.47,24.76,25.305,453200,25.305
2016-05-23,26.15,26.25,24.49,24.955,1206000,24.955
2016-05-20,24.855,25.60,24.855,25.375,609300,25.375
2016-05-19,24.425,24.94,24.26,24.695,357800,24.695
2016-05-18,24.60,24.645,24.30,24.615,335800,24.615
2016-05-17,24.75,25.13,24.40,24.76,518600,24.76
2016-05-16,24.535,24.535,24.535,24.535,000,24.535
2016-05-13,24.00,24.62,23.99,24.535,448800,24.535
2016-05-12,24.60,24.925,24.06,24.165,698100,24.165
2016-05-11,24.29,25.075,24.29,24.71,608800,24.71
2016-05-10,23.80,24.51,23.795,24.415,568400,24.415
2016-05-09,24.345,24.59,23.91,24.055,546700,24.055
2016-05-06,23.36,24.32,23.30,24.105,606000,24.105
2016-05-05,23.50,24.02,23.40,23.42,262700,23.42
2016-05-04,23.37,23.695,22.90,23.445,385400,23.445
2016-05-03,24.03,24.05,23.305,23.40,367900,23.40
2016-05-02,24.51,24.60,24.04,24.115,572900,24.115
2016-04-29,23.455,24.625,23.45,24.45,1093300,24.45
