Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,56.12,56.53,55.44,56.39,28300,56.39
2016-10-26,57.61,57.62,56.00,56.61,27100,56.61
2016-10-25,57.73,58.05,57.14,57.59,23700,57.59
2016-10-24,58.08,58.32,57.80,57.91,9300,57.91
2016-10-21,57.90,58.25,57.81,58.00,23000,58.00
2016-10-20,58.17,58.17,57.67,57.90,23500,57.90
2016-10-19,57.93,57.93,57.50,57.83,18000,57.83
2016-10-18,57.52,58.31,57.32,57.90,20100,57.90
2016-10-17,57.64,57.95,56.96,57.07,24500,57.07
2016-10-14,57.32,57.69,57.20,57.35,22800,57.35
2016-10-13,57.39,57.60,57.00,57.04,32800,57.04
2016-10-12,57.86,58.15,57.31,57.67,32500,57.67
2016-10-11,58.56,59.42,57.90,58.03,54300,58.03
2016-10-10,55.19,59.50,54.97,58.51,112300,58.51
2016-10-07,55.80,55.80,54.50,54.71,62300,54.71
2016-10-06,55.00,55.12,54.53,54.82,13600,54.82
2016-10-05,55.16,55.16,54.47,54.68,30400,54.68
2016-10-04,54.69,55.89,54.53,55.35,27900,55.35
2016-10-03,54.55,54.55,54.55,54.55,000,54.55
2016-09-30,53.75,54.58,53.60,54.55,29600,54.55
2016-09-29,54.90,55.11,54.00,54.36,17900,54.36
2016-09-28,54.26,54.73,54.13,54.52,16500,54.52
2016-09-27,54.20,54.28,53.80,54.08,23000,54.08
2016-09-26,53.90,54.24,53.69,54.16,16400,54.16
2016-09-23,54.40,54.40,53.69,53.95,13100,53.95
2016-09-22,53.60,54.70,53.29,54.46,45500,54.46
2016-09-21,53.00,53.37,52.98,53.04,31100,53.04
2016-09-20,53.23,53.72,52.29,52.96,46800,52.96
2016-09-19,53.77,53.87,53.25,53.60,21900,53.60
2016-09-16,54.08,54.41,53.19,53.19,57500,53.19
2016-09-15,54.00,54.51,53.43,54.35,19000,54.35
2016-09-14,54.19,54.99,53.86,54.18,23700,54.18
2016-09-13,53.80,54.20,53.49,53.71,27900,53.71
2016-09-12,52.36,53.73,51.55,53.52,60000,53.52
2016-09-09,54.51,55.06,52.59,53.38,36400,53.38
2016-09-08,55.22,55.34,54.79,54.80,41500,54.80
2016-09-07,54.15,55.41,54.07,55.06,47600,55.06
2016-09-06,54.33,54.85,53.69,54.10,28200,54.10
2016-09-05,53.62,55.32,53.62,54.84,27000,54.84
2016-09-02,54.18,54.60,53.64,54.15,29500,54.15
2016-09-01,53.30,54.70,53.20,54.50,53700,54.50
2016-08-31,54.01,54.49,53.20,53.36,26400,53.36
2016-08-30,54.53,55.20,54.44,54.53,28800,54.53
2016-08-29,54.45,54.70,53.85,54.60,12700,54.60
2016-08-26,54.00,55.19,53.67,54.73,31800,54.73
2016-08-25,54.50,54.86,54.20,54.21,20900,54.21
2016-08-24,55.08,55.09,54.56,54.63,16500,54.63
2016-08-23,55.00,55.81,54.89,55.25,36500,55.25
2016-08-22,55.05,55.47,54.30,54.89,20800,54.89
2016-08-19,55.39,55.39,54.51,54.96,18300,54.96
2016-08-18,55.01,55.50,54.65,54.91,21900,54.91
2016-08-17,55.75,55.79,54.17,54.49,34000,54.49
2016-08-16,55.62,55.99,55.03,55.70,51600,55.70
2016-08-15,55.00,55.92,54.66,55.86,38800,55.86
2016-08-12,54.73,55.33,54.63,55.00,38000,55.00
2016-08-11,55.28,55.62,54.53,55.00,29900,55.00
2016-08-10,55.50,56.00,54.37,54.90,47900,54.90
2016-08-09,54.88,55.63,54.52,55.56,33300,55.56
2016-08-08,56.24,56.24,54.12,54.60,33400,54.60
2016-08-05,56.02,56.05,55.41,55.86,33300,55.86
2016-08-04,53.62,55.83,53.54,55.83,57100,55.83
2016-08-03,55.60,55.85,53.51,53.54,105000,53.54
2016-08-02,57.94,57.94,56.78,57.15,25300,57.15
2016-08-01,56.39,57.91,56.36,57.71,49900,57.71
2016-07-29,57.90,57.90,55.52,56.26,81300,56.26
2016-07-28,56.60,57.20,56.01,57.20,42700,57.20
2016-07-27,56.05,56.84,55.95,56.58,48100,56.58
2016-07-26,55.00,56.31,55.00,55.51,45200,55.51
2016-07-25,53.30,54.78,53.29,54.78,41600,54.78
2016-07-22,53.20,53.61,52.60,53.52,31700,53.52
2016-07-21,53.80,53.80,52.70,53.22,28600,53.22
2016-07-20,52.03,53.92,51.87,53.49,27700,53.49
2016-07-19,51.42,51.83,50.42,51.51,29900,51.51
2016-07-18,50.55,51.63,50.04,51.34,18700,51.34
2016-07-15,51.51,51.67,49.145,50.11,42300,50.11
2016-07-14,51.14,52.86,50.84,51.54,70400,51.54
2016-07-13,50.00,50.92,49.68,50.85,30400,50.85
2016-07-12,50.80,50.80,50.04,50.09,23200,50.09
2016-07-11,48.86,50.88,48.86,50.48,37700,50.48
2016-07-08,48.255,48.89,48.005,48.62,32700,48.62
2016-07-07,47.73,48.68,47.73,48.295,40000,48.295
2016-07-06,47.95,48.125,47.23,47.745,35600,47.745
2016-07-05,48.80,49.125,47.90,48.245,33400,48.245
2016-07-04,49.78,49.78,48.70,48.995,26900,48.995
