Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,185.05,188.40,185.05,188.40,2900,188.40
2016-10-26,185.45,188.10,184.65,186.60,8300,186.60
2016-10-25,186.65,188.40,185.25,187.15,5100,187.15
2016-10-24,184.50,186.15,182.05,184.95,3900,184.95
2016-10-21,180.60,183.75,180.55,183.75,2800,183.75
2016-10-20,181.95,181.95,178.80,181.30,3700,181.30
2016-10-19,181.65,182.00,180.30,181.90,3300,181.90
2016-10-18,182.00,184.70,182.00,183.70,4300,183.70
2016-10-17,182.70,182.95,179.25,181.55,3000,181.55
2016-10-14,179.15,183.70,179.15,183.05,3600,183.05
2016-10-13,180.25,180.65,179.05,179.95,3400,179.95
2016-10-12,182.25,182.80,180.95,181.35,1500,181.35
2016-10-11,182.30,183.30,181.40,183.30,2300,183.30
2016-10-10,185.00,185.00,182.00,183.25,2400,183.25
2016-10-07,185.55,185.70,182.00,182.05,5400,182.05
2016-10-06,185.00,186.10,184.00,184.75,3400,184.75
2016-10-05,185.75,185.80,184.00,185.00,2400,185.00
2016-10-04,188.75,188.80,185.80,187.10,2800,187.10
2016-10-03,187.05,187.05,187.05,187.05,000,187.05
2016-09-30,184.40,187.05,182.05,187.05,4100,187.05
2016-09-29,189.95,189.95,184.35,186.20,2400,186.20
2016-09-28,187.50,189.70,186.75,188.35,3200,188.35
2016-09-27,188.60,188.60,184.10,187.50,3300,187.50
2016-09-26,190.00,190.00,185.45,187.20,6500,187.20
2016-09-23,192.00,192.00,187.95,189.20,5200,189.20
2016-09-22,189.00,192.05,188.10,191.20,5600,191.20
2016-09-21,190.00,191.15,187.50,188.15,5500,188.15
2016-09-20,193.95,193.95,189.30,189.95,6900,189.95
2016-09-19,189.00,195.00,188.70,194.95,18000,194.95
2016-09-16,184.50,187.55,183.35,185.00,4700,185.00
2016-09-15,185.00,186.50,183.35,185.60,4600,185.60
2016-09-14,185.60,186.95,184.50,185.75,6300,185.75
2016-09-13,181.80,189.70,181.20,184.60,7500,184.60
2016-09-12,181.25,181.80,177.30,181.80,4300,181.80
2016-09-09,181.00,182.20,179.70,179.70,3300,179.70
2016-09-08,183.50,183.85,180.00,181.90,3400,181.90
2016-09-07,181.80,182.90,181.45,182.90,1500,182.90
2016-09-06,182.15,183.30,181.55,182.10,3800,182.10
2016-09-05,183.35,183.80,181.55,181.85,2800,181.85
2016-09-02,181.50,181.95,179.90,181.95,2800,181.95
2016-09-01,180.90,182.00,180.00,181.00,2900,181.00
2016-08-31,182.60,183.80,179.85,180.60,4100,180.60
2016-08-30,183.90,186.00,183.45,183.95,4000,183.95
2016-08-29,185.00,185.15,181.40,185.15,4500,185.15
2016-08-26,183.55,186.05,183.40,185.55,3600,185.55
2016-08-25,186.00,186.05,183.15,185.60,5500,185.60
2016-08-24,188.60,188.60,186.00,186.45,5600,186.45
2016-08-23,188.55,189.70,187.05,188.50,4300,188.50
2016-08-22,190.55,190.55,187.75,189.30,5000,189.30
2016-08-19,190.50,191.50,189.75,190.05,6600,190.05
2016-08-18,187.50,191.85,186.95,190.55,5800,190.55
2016-08-17,190.00,190.00,185.40,185.90,3600,185.90
2016-08-16,192.75,193.20,188.60,189.55,6000,189.55
2016-08-15,190.00,196.70,189.45,194.40,11000,194.40
2016-08-12,189.65,189.70,186.55,189.15,7300,189.15
2016-08-11,189.50,189.65,186.70,189.60,4500,189.60
2016-08-10,183.70,190.95,183.45,188.05,11500,188.05
2016-08-09,180.80,184.55,180.80,183.85,6700,183.85
2016-08-08,179.00,181.75,178.35,180.85,7700,180.85
2016-08-05,178.15,178.15,174.10,177.80,3500,177.80
2016-08-04,173.60,177.20,173.15,176.90,4100,176.90
2016-08-03,177.25,178.00,172.95,175.10,4200,175.10
2016-08-02,178.05,178.40,175.15,177.70,4300,177.70
2016-08-01,180.45,180.45,177.70,179.20,3600,179.20
2016-07-29,177.65,179.70,177.10,178.55,4900,178.55
2016-07-28,177.25,179.90,176.85,177.25,3400,177.25
2016-07-27,177.20,179.80,176.85,178.60,4100,178.60
2016-07-26,176.50,179.35,175.75,177.25,6800,177.25
2016-07-25,174.50,180.00,173.70,177.75,11800,177.75
2016-07-22,170.80,174.10,169.35,174.05,5600,174.05
2016-07-21,174.90,174.90,171.00,172.70,2600,172.70
2016-07-20,171.05,175.30,171.05,173.95,6900,173.95
2016-07-19,171.00,173.40,171.00,172.25,2900,172.25
2016-07-18,170.85,173.45,170.85,171.85,3600,171.85
2016-07-15,173.80,173.85,168.55,170.85,5500,170.85
2016-07-14,174.80,175.25,171.75,173.80,4000,173.80
2016-07-13,172.25,173.40,170.55,173.20,2800,173.20
2016-07-12,175.15,175.55,170.60,172.25,8300,172.25
2016-07-11,170.15,175.35,169.25,174.55,12400,174.55
2016-07-08,167.20,168.35,165.30,167.75,10400,167.75
2016-07-07,165.70,168.15,164.00,167.35,9900,167.35
2016-07-06,167.20,168.25,162.05,163.50,8300,163.50
2016-07-05,171.25,172.25,167.20,168.90,4800,168.90
2016-07-04,173.15,173.15,168.45,171.95,5500,171.95
2016-07-01,171.10,173.55,170.25,173.55,13200,173.55
2016-06-30,172.00,172.10,166.40,170.75,9500,170.75
2016-06-29,166.80,174.70,166.80,171.35,12200,171.35
2016-06-28,160.90,166.45,160.60,165.30,9300,165.30
2016-06-27,166.45,168.00,158.70,158.70,11900,158.70
2016-06-24,160.60,173.90,160.60,167.90,9900,167.90
2016-06-23,174.50,178.75,172.90,177.10,9100,177.10
2016-06-22,173.50,175.40,172.30,173.60,5700,173.60
2016-06-21,167.95,174.75,167.95,171.80,8200,171.80
2016-06-20,166.90,170.05,165.95,169.25,7200,169.25
2016-06-17,166.25,169.90,163.10,165.80,8400,165.80
2016-06-16,168.00,169.55,164.50,164.85,8800,164.85
2016-06-15,173.75,175.00,168.85,169.55,10200,169.55
2016-06-14,172.45,178.15,170.30,172.05,16200,172.05
2016-06-13,161.50,189.90,160.10,173.25,51100,173.25
2016-06-10,169.95,170.45,166.50,166.75,3400,166.75
