Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,3.82,3.82,3.614,3.621,3470000,3.621
2016-10-26,3.76,3.80,3.672,3.76,3254800,3.76
2016-10-25,3.625,3.738,3.625,3.667,2345600,3.667
2016-10-24,3.638,3.646,3.61,3.617,1991800,3.617
2016-10-21,3.594,3.71,3.588,3.638,3000700,3.638
2016-10-20,3.608,3.612,3.531,3.591,2341500,3.591
2016-10-19,3.592,3.604,3.555,3.592,2798700,3.592
2016-10-18,3.579,3.595,3.558,3.591,1660100,3.591
2016-10-17,3.574,3.603,3.537,3.541,2026500,3.541
2016-10-14,3.512,3.586,3.49,3.58,1851600,3.58
2016-10-13,3.45,3.493,3.421,3.487,2556600,3.487
2016-10-12,3.523,3.546,3.471,3.474,1601200,3.474
2016-10-11,3.533,3.598,3.528,3.534,1768100,3.534
2016-10-10,3.505,3.561,3.476,3.546,2321400,3.546
2016-10-07,3.53,3.534,3.478,3.503,2893600,3.503
2016-10-06,3.605,3.606,3.52,3.534,2571700,3.534
2016-10-05,3.57,3.617,3.561,3.601,2574700,3.601
2016-10-04,3.56,3.612,3.53,3.61,3630600,3.61
2016-10-03,3.581,3.581,3.581,3.581,000,3.581
2016-09-30,3.551,3.596,3.517,3.581,2996200,3.581
2016-09-29,3.591,3.641,3.57,3.595,2122900,3.595
2016-09-28,3.653,3.68,3.579,3.59,2337800,3.59
2016-09-27,3.718,3.718,3.616,3.632,3072500,3.632
2016-09-26,3.716,3.743,3.65,3.692,2779600,3.692
2016-09-23,3.80,3.845,3.773,3.788,2001600,3.788
2016-09-22,3.725,3.879,3.719,3.829,4498200,3.829
2016-09-21,3.55,3.71,3.549,3.70,4407700,3.70
2016-09-20,3.467,3.518,3.46,3.48,1498900,3.48
2016-09-19,3.49,3.501,3.458,3.477,1869600,3.477
2016-09-16,3.436,3.497,3.427,3.49,3657200,3.49
2016-09-15,3.404,3.443,3.373,3.44,2569000,3.44
2016-09-14,3.472,3.478,3.371,3.418,3352000,3.418
2016-09-13,3.47,3.535,3.457,3.466,2039700,3.466
2016-09-12,3.427,3.465,3.379,3.463,2566900,3.463
2016-09-09,3.503,3.519,3.454,3.46,1643700,3.46
2016-09-08,3.475,3.532,3.423,3.524,4176300,3.524
2016-09-07,3.60,3.60,3.46,3.475,3674500,3.475
2016-09-06,3.573,3.63,3.56,3.599,3069300,3.599
2016-09-05,3.674,3.693,3.638,3.65,1315400,3.65
2016-09-02,3.645,3.659,3.583,3.656,2288800,3.656
2016-09-01,3.654,3.683,3.604,3.622,2176900,3.622
2016-08-31,3.665,3.72,3.665,3.684,2570000,3.684
2016-08-30,3.666,3.70,3.662,3.662,1487400,3.662
2016-08-29,3.653,3.678,3.607,3.671,819700,3.671
2016-08-26,3.666,3.70,3.646,3.684,862900,3.684
2016-08-25,3.674,3.698,3.643,3.674,1192700,3.674
2016-08-24,3.706,3.707,3.669,3.69,1364700,3.69
2016-08-23,3.669,3.708,3.662,3.70,946800,3.70
2016-08-22,3.656,3.681,3.638,3.659,2065700,3.659
2016-08-19,3.686,3.706,3.636,3.65,1066700,3.65
2016-08-18,3.717,3.717,3.652,3.701,1830900,3.701
2016-08-17,3.74,3.775,3.672,3.677,1717200,3.677
2016-08-16,3.785,3.788,3.73,3.739,2195500,3.739
2016-08-15,3.78,3.83,3.773,3.813,1486600,3.813
2016-08-12,3.825,3.825,3.754,3.784,2437600,3.784
2016-08-11,3.82,3.829,3.76,3.825,1604400,3.825
2016-08-10,3.773,3.80,3.756,3.78,1732800,3.78
2016-08-09,3.677,3.792,3.677,3.784,2551300,3.784
2016-08-08,3.681,3.695,3.65,3.671,1250900,3.671
2016-08-05,3.662,3.692,3.646,3.656,1927200,3.656
2016-08-04,3.688,3.705,3.63,3.648,2077400,3.648
2016-08-03,3.639,3.67,3.59,3.654,1877500,3.654
2016-08-02,3.688,3.697,3.619,3.636,1794200,3.636
2016-08-01,3.66,3.726,3.647,3.696,2013400,3.696
2016-07-29,3.74,3.749,3.62,3.65,2712700,3.65
2016-07-28,3.839,3.85,3.631,3.717,4760500,3.717
2016-07-27,3.67,3.864,3.67,3.83,5039700,3.83
2016-07-26,3.61,3.633,3.581,3.597,2035100,3.597
2016-07-25,3.615,3.664,3.585,3.598,2467500,3.598
2016-07-22,3.512,3.651,3.508,3.617,2737500,3.617
2016-07-21,3.496,3.547,3.45,3.528,2543000,3.528
2016-07-20,3.573,3.578,3.448,3.488,2859500,3.488
2016-07-19,3.66,3.66,3.541,3.541,3184900,3.541
2016-07-18,3.65,3.686,3.603,3.614,1758200,3.614
2016-07-15,3.595,3.645,3.58,3.645,2187700,3.645
2016-07-14,3.615,3.63,3.537,3.591,2307700,3.591
2016-07-13,3.61,3.629,3.57,3.591,2006900,3.591
2016-07-12,3.651,3.662,3.597,3.605,2945800,3.605
2016-07-11,3.679,3.698,3.624,3.647,2499200,3.647
2016-07-08,3.526,3.668,3.526,3.629,3083900,3.629
2016-07-07,3.437,3.564,3.328,3.545,3663200,3.545
2016-07-06,3.468,3.512,3.398,3.418,3558700,3.418
2016-07-05,3.534,3.557,3.478,3.49,2975000,3.49
2016-07-04,3.615,3.635,3.54,3.542,2353700,3.542
2016-07-01,3.64,3.665,3.477,3.602,5197400,3.602
2016-06-30,3.756,3.796,3.685,3.693,4033300,3.693
2016-06-29,3.679,3.773,3.665,3.757,3187200,3.757
2016-06-28,3.669,3.72,3.636,3.639,3882600,3.639
2016-06-27,3.641,3.68,3.584,3.604,3261400,3.604
2016-06-24,3.577,3.708,3.521,3.677,4440000,3.677
2016-06-23,3.699,3.765,3.686,3.765,1952100,3.765
2016-06-22,3.709,3.733,3.652,3.701,2859000,3.701
2016-06-21,3.713,3.732,3.677,3.679,2450600,3.679
2016-06-20,3.676,3.743,3.673,3.699,2989700,3.699
2016-06-17,3.709,3.759,3.621,3.621,7147000,3.621
2016-06-16,3.70,3.722,3.639,3.669,2911000,3.669
2016-06-15,3.73,3.772,3.713,3.749,3178500,3.749
2016-06-14,3.762,3.787,3.71,3.723,3542200,3.723
2016-06-13,3.791,3.81,3.755,3.786,3607900,3.786
2016-06-10,3.896,3.897,3.794,3.831,2531500,3.831
2016-06-09,3.982,3.982,3.878,3.91,2828800,3.91
2016-06-08,3.95,4.001,3.93,3.989,2939800,3.989
2016-06-07,3.976,3.977,3.933,3.953,2236100,3.953
2016-06-06,4.005,4.038,3.878,3.961,3629200,3.961
2016-06-03,4.027,4.048,3.984,4.005,2667900,4.005
2016-06-02,4.05,4.055,3.998,4.025,2605200,4.025
2016-06-01,4.054,4.064,4.00,4.058,3432100,4.058
2016-05-31,4.119,4.119,4.019,4.019,6093700,4.019
2016-05-30,4.122,4.136,4.102,4.12,884700,4.12
2016-05-27,4.217,4.222,4.10,4.112,2842800,4.112
2016-05-26,4.193,4.237,4.18,4.214,1876600,4.214
2016-05-25,4.09,4.194,4.074,4.179,3389200,4.179
2016-05-24,4.072,4.132,4.041,4.092,2802400,4.092
2016-05-23,4.22,4.257,4.08,4.084,3605000,4.084
2016-05-20,4.309,4.355,4.20,4.203,4005900,4.203
2016-05-19,4.545,4.629,4.486,4.53,3741800,4.29
2016-05-18,4.69,4.726,4.616,4.689,3013300,4.44058
2016-05-17,4.72,4.748,4.688,4.729,3057400,4.47846
2016-05-16,4.698,4.698,4.698,4.698,000,4.4491
2016-05-13,4.602,4.698,4.589,4.698,3161300,4.4491
2016-05-12,4.558,4.648,4.515,4.621,1855500,4.37618
2016-05-11,4.534,4.574,4.502,4.567,1789100,4.32504
2016-05-10,4.564,4.571,4.489,4.523,1861900,4.28337
2016-05-09,4.473,4.571,4.458,4.543,2508800,4.30231
2016-05-06,4.406,4.441,4.36,4.423,2443500,4.18867
2016-05-05,4.406,4.442,4.355,4.408,1786600,4.17446
2016-05-04,4.455,4.455,4.365,4.381,3067400,4.14889
2016-05-03,4.409,4.454,4.356,4.446,3583500,4.21045
2016-05-02,4.473,4.476,4.397,4.425,2335900,4.19056
2016-04-29,4.492,4.492,4.307,4.434,4827100,4.19909
2016-04-28,4.824,4.83,4.501,4.511,4023800,4.27201
2016-04-27,4.76,4.829,4.75,4.826,1895200,4.57032
2016-04-26,4.729,4.76,4.685,4.75,2068200,4.49834
2016-04-25,4.72,4.72,4.645,4.677,1584800,4.42921
2016-04-22,4.733,4.763,4.686,4.704,2001400,4.45478
2016-04-21,4.77,4.782,4.71,4.739,1868400,4.48793
2016-04-20,4.722,4.792,4.722,4.76,2110200,4.50781
2016-04-19,4.621,4.726,4.621,4.716,3183700,4.46615
2016-04-18,4.58,4.617,4.535,4.616,2252500,4.37144
2016-04-15,4.665,4.689,4.616,4.639,2399300,4.39323
2016-04-14,4.713,4.749,4.646,4.665,3520800,4.41785
2016-04-13,4.734,4.75,4.661,4.692,3387700,4.44342
2016-04-12,4.655,4.687,4.601,4.686,1690800,4.43774
2016-04-11,4.64,4.662,4.596,4.633,2141200,4.38754
2016-04-08,4.575,4.643,4.575,4.633,1250000,4.38754
