Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,84.56,85.90,84.18,84.50,20100,84.50
2016-10-26,84.20,84.80,83.60,84.80,17900,84.80
2016-10-25,84.50,84.50,83.80,84.00,23900,84.00
2016-10-24,85.82,86.08,84.03,84.35,25200,84.35
2016-10-21,85.00,85.71,84.70,85.37,15600,85.37
2016-10-20,86.00,86.00,84.74,85.24,21100,85.24
2016-10-19,86.00,86.01,83.80,85.50,39300,85.50
2016-10-18,84.81,86.80,84.80,85.65,45700,85.65
2016-10-17,83.87,84.52,83.74,84.28,19900,84.28
2016-10-14,84.10,84.42,83.94,84.05,23100,84.05
2016-10-13,84.36,85.50,84.05,84.53,24500,84.53
2016-10-12,84.20,85.39,84.05,84.98,27800,84.98
2016-10-11,84.30,84.86,83.60,84.49,33200,84.49
2016-10-10,84.76,84.76,83.92,84.25,22100,84.25
2016-10-07,84.45,86.80,83.99,83.99,28100,83.99
2016-10-06,85.92,85.92,83.94,84.30,32100,84.30
2016-10-05,85.76,86.13,84.90,85.00,32200,85.00
2016-10-04,84.60,86.20,84.51,86.16,24400,86.16
2016-10-03,84.60,84.60,84.60,84.60,000,84.60
2016-09-30,84.00,84.91,83.20,84.60,30900,84.60
2016-09-29,84.70,85.50,84.00,84.02,36700,84.02
2016-09-28,83.72,84.79,83.72,84.42,26800,84.42
2016-09-27,85.07,85.07,83.02,84.26,38000,84.26
2016-09-26,85.27,85.27,84.00,84.17,35500,84.17
2016-09-23,85.82,86.30,85.00,85.43,20300,85.43
2016-09-22,86.44,86.84,85.02,86.52,22000,86.52
2016-09-21,85.13,86.14,84.90,85.11,22800,85.11
2016-09-20,84.62,85.81,84.62,84.91,12900,84.91
2016-09-19,85.76,86.56,84.86,85.30,13000,85.30
2016-09-16,84.68,85.42,84.11,85.11,41600,85.11
2016-09-15,84.76,85.20,84.30,85.11,42900,85.11
2016-09-14,84.34,84.92,84.01,84.76,35400,84.76
2016-09-13,84.92,85.46,84.27,84.35,24700,84.35
2016-09-12,84.60,84.73,83.65,84.71,29800,84.71
2016-09-09,87.26,87.45,85.23,85.59,40600,85.59
2016-09-08,87.05,87.56,86.37,87.21,30700,87.21
2016-09-07,87.00,87.51,86.30,86.50,24800,86.50
2016-09-06,85.30,87.07,85.25,87.00,33300,87.00
2016-09-05,85.25,85.82,84.81,85.08,34100,85.08
2016-09-02,84.39,85.19,84.25,84.78,28600,84.78
2016-09-01,84.38,85.31,84.31,84.60,27900,84.60
2016-08-31,85.00,85.00,84.28,84.61,31200,84.61
2016-08-30,84.91,85.17,84.26,84.77,26000,84.77
2016-08-29,84.82,84.99,84.25,84.90,6200,84.90
2016-08-26,83.78,85.36,83.50,84.80,27600,84.80
2016-08-25,85.35,85.35,84.00,84.10,18800,84.10
2016-08-24,84.90,86.12,84.80,85.55,30100,85.55
2016-08-23,84.87,85.80,84.50,85.41,20500,85.41
2016-08-22,84.23,85.29,83.77,84.30,15800,84.30
2016-08-19,85.13,85.13,83.67,84.17,15400,84.17
2016-08-18,85.00,85.66,84.65,84.88,15900,84.88
2016-08-17,84.94,84.94,83.69,83.91,18600,83.91
2016-08-16,84.60,85.48,84.38,84.60,23700,84.60
2016-08-15,85.32,85.57,84.71,85.05,16600,85.05
2016-08-12,84.77,86.15,84.62,85.15,21900,85.15
2016-08-11,85.20,85.32,84.50,85.15,23500,85.15
2016-08-10,84.45,85.03,83.87,84.71,27700,84.71
2016-08-09,83.79,84.74,83.21,84.50,29400,84.50
2016-08-08,83.86,84.50,83.57,83.82,34800,83.82
2016-08-05,83.36,84.06,82.60,83.69,62100,83.69
2016-08-04,83.98,85.34,83.80,84.56,43000,84.56
2016-08-03,87.51,87.55,82.97,83.90,71500,83.90
2016-08-02,88.92,91.14,86.11,87.51,99700,87.51
2016-08-01,91.22,92.67,91.10,91.43,38500,91.43
2016-07-29,92.00,92.48,90.90,92.48,25300,92.48
2016-07-28,91.44,92.35,91.14,92.01,23700,92.01
2016-07-27,91.58,91.77,91.15,91.77,20100,91.77
2016-07-26,91.02,91.53,90.79,91.10,25200,91.10
2016-07-25,90.51,91.98,89.85,91.23,38200,91.23
2016-07-22,90.31,90.62,88.45,90.50,18800,90.50
2016-07-21,90.31,90.96,88.98,90.25,55600,90.25
2016-07-20,87.76,91.32,87.02,89.90,117100,89.90
2016-07-19,85.87,85.87,84.25,84.91,29500,84.91
2016-07-18,85.10,86.62,85.10,85.90,17000,85.90
2016-07-15,86.10,86.15,84.30,85.07,13400,85.07
2016-07-14,85.07,86.25,84.43,86.00,33100,86.00
2016-07-13,84.81,85.18,84.30,84.57,15200,84.57
2016-07-12,84.96,85.50,84.18,85.08,18900,85.08
2016-07-11,83.06,85.28,83.06,85.28,17900,85.28
2016-07-08,82.15,83.15,81.98,82.45,14700,82.45
2016-07-07,81.14,82.77,81.14,82.60,21900,82.60
2016-07-06,80.70,80.90,79.32,80.28,45400,80.28
2016-07-05,84.15,84.50,80.22,80.92,37500,80.92
2016-07-04,85.90,86.90,83.50,83.99,18400,83.99
2016-07-01,84.93,85.52,83.63,85.42,19200,85.42
2016-06-30,84.99,85.70,83.73,84.16,28000,84.16
2016-06-29,83.50,84.02,82.03,84.02,22000,84.02
2016-06-28,82.99,83.13,82.04,82.25,29500,82.25
2016-06-27,85.63,85.63,80.33,80.48,46500,80.48
2016-06-24,84.50,85.93,81.25,85.41,40700,85.41
2016-06-23,87.30,88.84,87.00,87.41,18200,87.41
2016-06-22,89.50,89.50,87.58,88.25,25600,88.25
2016-06-21,88.39,89.83,87.01,89.07,51600,89.07
2016-06-20,84.10,88.28,82.98,88.08,61200,88.08
2016-06-17,80.43,81.85,79.72,81.85,33300,81.85
2016-06-16,81.02,81.85,79.09,79.29,27500,79.29
2016-06-15,82.21,82.22,80.84,81.16,21600,81.16
2016-06-14,82.22,82.63,80.50,81.10,32000,81.10
2016-06-13,85.55,85.90,82.10,82.37,42700,82.37
2016-06-10,85.55,86.47,85.25,86.34,30300,86.34
2016-06-09,86.40,86.40,84.86,85.73,43500,85.73
2016-06-08,86.35,86.97,86.10,86.47,13000,86.47
2016-06-07,86.99,87.92,86.07,86.56,17700,86.56
2016-06-06,86.35,86.71,85.25,86.52,17000,86.52
2016-06-03,85.33,86.98,85.25,86.01,29300,86.01
2016-06-02,86.38,86.39,85.00,85.51,14000,85.51
2016-06-01,85.35,86.55,85.20,85.79,22700,85.79
2016-05-31,84.00,85.76,83.40,85.49,61500,85.49
2016-05-30,84.94,84.94,83.39,83.84,12600,83.84
2016-05-27,84.97,85.37,83.77,84.47,15800,84.47
2016-05-26,85.87,85.90,84.36,84.83,17800,84.83
2016-05-25,85.75,85.86,84.57,85.77,36700,85.77
2016-05-24,87.10,88.09,86.73,86.80,26000,83.60
2016-05-23,88.61,88.99,86.74,87.60,20200,84.37
2016-05-20,85.48,88.38,84.70,88.38,30400,85.12
2016-05-19,85.45,85.78,83.18,84.46,31300,81.35
2016-05-18,86.50,87.93,85.41,85.67,21500,82.51
2016-05-17,86.42,87.43,85.67,86.82,18700,83.62
2016-05-16,86.39,86.39,86.39,86.39,000,83.21
2016-05-13,88.35,88.59,85.41,86.39,36100,83.21
2016-05-12,88.76,90.05,88.23,88.36,26400,85.10
2016-05-11,89.12,89.55,88.39,89.11,18800,85.82
2016-05-10,89.25,89.25,88.17,88.60,17700,85.33
2016-05-09,91.00,91.00,88.35,88.75,18000,85.48
2016-05-06,88.35,90.35,88.35,89.67,21400,86.36
2016-05-05,88.56,89.16,88.18,88.42,18500,85.16
2016-05-04,90.18,90.65,88.35,89.40,36200,86.10
2016-05-03,92.70,93.50,88.15,88.35,53600,85.09
2016-05-02,94.86,96.44,94.25,95.21,7400,91.70
2016-04-29,94.05,94.60,92.52,93.86,20300,90.40
2016-04-28,96.33,96.41,93.06,94.23,21100,90.76
2016-04-27,95.84,96.73,95.84,96.38,8500,92.83
2016-04-26,98.00,98.00,95.92,97.05,13000,93.47
2016-04-25,97.80,97.80,96.21,97.13,11500,93.55
2016-04-22,94.23,97.50,93.97,96.00,30300,92.46
2016-04-21,96.50,96.50,93.41,94.06,17100,90.59
2016-04-20,96.58,96.65,95.84,96.50,16900,92.94
2016-04-19,96.60,96.70,95.60,96.51,18300,92.95
2016-04-18,94.00,96.40,93.10,95.82,11500,92.29
2016-04-15,96.21,96.60,93.51,94.18,49100,90.71
2016-04-14,96.57,96.67,95.64,96.60,17000,93.04
2016-04-13,97.58,98.12,96.13,96.70,13200,93.14
2016-04-12,97.58,97.58,96.00,97.00,11400,93.42
2016-04-11,96.35,97.40,96.01,97.00,12600,93.42
2016-04-08,96.20,96.97,95.44,96.84,6200,93.27
2016-04-07,96.20,96.46,94.69,95.17,10500,91.66
2016-04-06,97.06,97.06,95.19,96.20,11700,92.65
2016-04-05,95.88,96.46,95.08,96.00,13300,92.46
2016-04-04,98.92,99.14,95.95,97.01,26600,93.43
2016-04-01,98.26,99.30,97.35,99.07,11900,95.42
2016-03-31,99.01,99.06,96.68,98.57,51800,94.94
2016-03-30,99.55,99.63,97.86,98.83,30000,95.19
2016-03-29,102.00,102.45,98.06,98.69,38800,95.05
2016-03-28,102.80,102.80,102.80,102.80,000,99.01
2016-03-25,102.80,102.80,102.80,102.80,000,99.01
2016-03-24,100.05,103.45,98.82,102.80,40000,99.01
2016-03-23,95.40,101.35,94.80,100.95,80800,97.23
2016-03-22,91.23,92.79,89.63,92.79,16400,89.37
2016-03-21,91.90,92.70,90.47,91.38,19600,88.01
2016-03-18,90.00,92.02,89.30,92.00,43300,88.61
2016-03-17,91.40,91.40,88.50,90.61,24700,87.27
2016-03-16,90.52,91.36,89.57,90.35,14100,87.02
2016-03-15,91.80,91.80,88.97,89.91,16800,86.60
2016-03-14,89.50,91.79,89.50,91.60,23400,88.22
2016-03-11,88.80,89.83,87.82,89.02,17600,85.74
2016-03-10,89.49,89.49,86.53,86.91,37500,83.71
2016-03-09,87.63,89.58,86.77,89.10,52200,85.82
2016-03-08,89.00,89.26,87.01,87.91,33700,84.67
2016-03-07,88.83,89.22,88.29,89.21,24700,85.92
2016-03-04,89.22,89.26,87.85,88.56,20200,85.30
2016-03-03,90.47,90.47,87.68,88.52,26800,85.26
2016-03-02,88.56,90.63,87.18,89.46,63200,86.16
2016-03-01,83.48,86.10,83.30,85.82,39700,82.66
2016-02-29,80.96,83.30,80.76,82.90,22500,79.84
2016-02-26,82.63,83.70,81.45,82.26,19900,79.23
2016-02-25,82.80,82.80,81.50,81.97,18200,78.95
2016-02-24,82.00,82.16,80.36,81.53,31900,78.52
2016-02-23,82.45,84.19,81.01,82.09,28700,79.06
2016-02-22,88.36,89.69,82.14,82.14,64400,79.11
2016-02-19,82.01,87.70,82.01,87.00,60600,83.79
2016-02-18,82.26,82.26,80.43,81.12,11900,78.13
2016-02-17,77.60,81.34,77.60,81.13,25800,78.14
2016-02-16,79.30,79.30,76.41,77.49,32300,74.63
2016-02-15,77.89,78.71,77.03,77.79,36600,74.92
2016-02-12,76.01,77.20,75.62,76.51,21800,73.69
2016-02-11,78.16,78.16,75.28,75.74,36400,72.95
2016-02-10,79.00,81.79,78.45,78.55,26100,75.65
2016-02-09,78.39,78.77,76.37,78.17,37000,75.29
2016-02-08,82.63,82.71,77.10,77.78,45800,74.91
2016-02-05,82.02,83.49,81.51,81.97,23000,78.95
2016-02-04,81.95,83.61,81.08,82.37,34300,79.33
2016-02-03,82.12,82.72,80.15,80.97,30300,77.98
2016-02-02,82.99,83.33,81.72,82.57,13200,79.53
2016-02-01,84.39,84.49,82.30,83.15,26900,80.08
2016-01-29,84.83,85.71,83.28,84.50,22500,81.38
2016-01-28,84.52,86.08,82.95,83.33,32100,80.26
2016-01-27,85.74,85.81,83.45,84.99,34700,81.86
2016-01-26,81.60,85.67,81.19,85.52,44500,82.37
2016-01-25,83.66,83.98,82.26,83.00,39300,79.94
2016-01-22,81.99,83.99,81.68,82.59,41500,79.55
2016-01-21,80.13,80.32,78.85,79.90,48900,76.95
2016-01-20,79.90,81.18,78.87,79.50,45700,76.57
2016-01-19,78.90,81.72,78.49,81.30,47900,78.30
2016-01-18,78.04,79.64,77.20,77.20,63200,74.35
2016-01-15,83.15,83.15,77.69,78.47,80500,75.58
2016-01-14,85.00,85.00,81.75,82.95,83800,79.89
2016-01-13,88.10,88.90,85.48,85.48,34600,82.33
2016-01-12,88.20,89.22,87.80,87.80,46500,84.56
2016-01-11,90.52,90.52,88.00,88.31,46700,85.05
2016-01-08,92.58,92.63,90.21,90.38,41900,87.05
2016-01-07,90.00,92.70,89.10,92.00,56200,88.61
2016-01-06,91.54,92.15,91.25,92.01,22100,88.62
2016-01-05,90.85,92.98,90.45,92.22,33000,88.82
2016-01-04,93.08,93.38,87.19,90.86,78800,87.51
2016-01-01,93.55,93.55,93.55,93.55,000,90.10
2015-12-31,93.55,93.55,93.55,93.55,000,90.10
2015-12-30,92.81,94.03,92.62,93.55,4600,90.10
2015-12-29,93.20,94.49,92.97,93.54,22400,90.09
2015-12-28,93.49,93.75,93.02,93.50,11100,90.05
2015-12-25,93.70,93.70,93.70,93.70,000,90.25
2015-12-24,93.70,93.70,93.70,93.70,000,90.25
2015-12-23,93.88,93.93,93.00,93.70,16700,90.25
2015-12-22,94.00,94.15,92.77,93.36,23200,89.92
2015-12-21,92.39,94.10,92.00,92.83,27500,89.41
2015-12-18,94.00,95.43,92.06,92.14,71400,88.74
2015-12-17,95.00,95.81,94.35,94.60,37100,91.11
2015-12-16,94.11,94.76,93.76,94.16,25300,90.69
2015-12-15,93.56,95.20,93.33,93.64,67200,90.19
2015-12-14,95.52,96.70,92.50,92.81,44900,89.39
2015-12-11,97.59,97.59,95.10,96.07,28800,92.53
2015-12-10,100.05,100.65,97.08,97.42,39900,93.83
2015-12-09,101.75,102.70,100.10,101.10,18500,97.37
2015-12-08,103.55,103.55,101.20,101.95,38300,98.19
2015-12-07,102.60,104.00,102.00,102.75,28400,98.96
2015-12-04,100.45,102.75,99.52,101.55,34500,97.81
2015-12-03,103.55,104.30,100.55,101.20,40800,97.47
2015-12-02,103.80,104.50,103.20,103.75,13700,99.93
2015-12-01,104.00,105.95,103.35,103.35,33600,99.54
2015-11-30,102.80,104.95,102.80,104.20,41000,100.36
2015-11-27,105.05,105.05,101.50,103.00,27100,99.20
2015-11-26,103.50,104.75,103.40,104.20,14700,100.36
2015-11-25,103.50,104.65,103.40,103.95,20600,100.12
2015-11-24,105.45,105.45,103.30,103.75,20700,99.93
2015-11-23,105.60,105.60,104.15,104.90,19100,101.03
2015-11-20,105.40,107.05,104.85,105.00,41500,101.13
2015-11-19,106.45,106.60,104.75,105.45,22100,101.56
2015-11-18,108.10,108.20,105.10,105.40,31300,101.51
2015-11-17,106.80,108.90,106.80,108.85,31900,104.84
2015-11-16,104.10,107.35,103.85,106.80,22000,102.86
2015-11-13,105.45,106.55,104.00,105.25,43800,101.37
2015-11-12,106.25,106.90,105.15,106.50,37100,102.57
2015-11-11,106.40,107.65,105.95,106.70,27800,102.77
2015-11-10,106.65,107.70,104.95,105.90,45600,102.00
2015-11-09,107.40,107.50,105.20,106.00,77100,102.09
2015-11-06,103.75,109.30,103.30,108.35,82200,104.36
2015-11-05,102.15,107.20,101.25,104.05,109100,100.21
2015-11-04,104.90,105.10,101.65,102.00,93400,98.24
2015-11-03,112.95,112.95,103.55,104.40,111500,100.55
2015-11-02,114.00,114.25,112.00,113.00,71200,108.83
2015-10-30,115.00,115.00,112.85,113.40,49200,109.22
2015-10-29,115.00,115.50,114.05,114.45,42700,110.23
2015-10-28,113.70,114.85,113.70,114.45,43000,110.23
2015-10-27,114.50,114.90,113.70,114.00,30800,109.80
2015-10-26,115.00,115.55,114.00,114.75,36400,110.52
2015-10-23,114.95,115.20,114.35,114.95,40300,110.71
2015-10-22,114.45,114.45,113.00,113.70,66600,109.51
2015-10-21,114.75,115.00,113.15,113.90,58900,109.70
2015-10-20,112.00,115.60,112.00,114.00,62100,109.80
2015-10-19,112.00,112.55,111.40,111.90,40600,107.77
2015-10-16,110.75,111.90,110.70,111.70,51400,107.58
2015-10-15,105.60,110.75,104.90,110.50,100200,106.43
2015-10-14,106.00,106.30,104.75,105.50,45600,101.61
2015-10-13,108.85,108.85,105.95,106.60,48000,102.67
2015-10-12,108.70,110.35,108.35,108.60,53300,104.60
2015-10-09,109.00,109.40,107.65,108.70,49300,104.69
2015-10-08,105.75,109.65,105.65,109.00,86100,104.98
2015-10-07,107.25,107.25,105.40,105.75,44800,101.85
2015-10-06,104.95,107.15,104.25,106.85,61200,102.91
2015-10-05,105.15,105.45,103.80,104.55,96000,100.70
2015-10-02,104.90,104.90,102.40,104.10,75800,100.26
2015-10-01,103.90,107.00,101.90,104.75,106700,100.89
2015-09-30,103.80,105.05,102.25,103.20,157000,99.40
2015-09-29,98.94,103.40,97.86,103.00,162600,99.20
2015-09-28,96.80,100.55,95.85,99.80,83200,96.12
2015-09-25,94.00,100.75,94.00,97.30,108400,93.71
2015-09-24,94.79,95.44,92.73,93.17,38000,89.74
2015-09-23,94.01,95.61,93.16,94.96,20900,91.46
2015-09-22,96.76,96.76,94.00,94.13,21700,90.66
2015-09-21,96.00,96.38,94.86,96.00,20600,92.46
2015-09-18,96.13,96.77,94.54,96.23,36200,92.68
2015-09-17,96.80,96.80,95.50,96.11,26900,92.57
2015-09-16,96.48,97.20,96.27,96.80,29300,93.23
2015-09-15,96.76,96.91,95.89,96.33,40000,92.78
2015-09-14,98.31,98.95,96.08,96.24,56600,92.69
2015-09-11,95.49,99.90,95.00,99.90,147800,96.22
2015-09-10,95.30,95.70,94.90,95.38,23500,91.86
2015-09-09,96.50,96.60,95.15,95.52,37200,92.00
2015-09-08,94.22,95.98,94.22,95.31,25600,91.80
2015-09-07,93.85,94.53,93.50,94.35,23100,90.87
2015-09-04,95.16,95.49,92.93,93.49,38600,90.04
2015-09-03,93.60,97.56,92.87,95.98,56200,92.44
2015-09-02,93.37,93.70,92.32,93.33,26300,89.89
2015-09-01,94.00,94.39,92.23,92.73,86400,89.31
2015-08-31,93.86,95.00,93.01,94.44,138700,90.96
