Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,22.745,23.485,22.62,22.95,483500,22.95
2016-10-26,23.035,23.095,22.795,22.89,349000,22.89
2016-10-25,23.795,23.92,23.085,23.135,363300,23.135
2016-10-24,23.71,23.85,23.545,23.685,254200,23.685
2016-10-21,23.815,23.855,23.655,23.71,145000,23.71
2016-10-20,23.72,23.905,23.46,23.805,220300,23.805
2016-10-19,23.86,23.88,23.675,23.75,177800,23.75
2016-10-18,23.78,23.955,23.63,23.81,261100,23.81
2016-10-17,23.625,23.67,23.435,23.555,332800,23.555
2016-10-14,23.41,23.76,23.305,23.585,297400,23.585
2016-10-13,23.35,23.53,23.17,23.39,361800,23.39
2016-10-12,23.99,23.99,23.60,23.63,371700,23.63
2016-10-11,24.19,24.705,23.94,24.375,544800,24.375
2016-10-10,24.465,24.695,24.35,24.655,266600,24.655
2016-10-07,24.455,24.485,24.23,24.435,426300,24.435
2016-10-06,24.66,24.66,24.33,24.505,199500,24.505
2016-10-05,24.33,24.595,24.135,24.52,191000,24.52
2016-10-04,24.48,24.65,24.35,24.49,476500,24.49
2016-10-03,24.505,24.505,24.505,24.505,000,24.505
2016-09-30,23.765,24.505,23.58,24.505,448100,24.505
2016-09-29,24.20,24.335,23.97,23.97,278900,23.97
2016-09-28,24.165,24.26,23.95,24.10,377800,24.10
2016-09-27,23.45,24.05,23.21,24.00,446700,24.00
2016-09-26,23.67,23.67,23.235,23.365,241100,23.365
2016-09-23,23.90,23.905,23.59,23.77,216500,23.77
2016-09-22,23.58,23.78,23.49,23.735,225100,23.735
2016-09-21,23.76,23.76,23.475,23.495,276900,23.495
2016-09-20,23.465,23.825,23.44,23.665,292100,23.665
2016-09-19,23.88,23.98,23.51,23.665,273400,23.665
2016-09-16,23.225,23.655,23.17,23.635,598600,23.635
2016-09-15,23.095,23.17,22.755,23.105,391400,23.105
2016-09-14,22.96,23.295,22.865,23.025,387100,23.025
2016-09-13,22.995,23.19,22.90,22.94,334400,22.94
2016-09-12,22.75,22.92,22.11,22.92,642500,22.92
2016-09-09,23.675,23.725,23.43,23.54,250300,23.54
2016-09-08,24.00,24.115,23.695,23.80,208600,23.80
2016-09-07,23.975,24.145,23.91,24.01,292400,24.01
2016-09-06,24.19,24.33,23.985,24.075,336400,24.075
2016-09-05,23.91,24.275,23.90,24.195,227000,24.195
2016-09-02,23.64,24.03,23.64,24.005,340100,24.005
2016-09-01,23.715,23.845,23.53,23.62,362800,23.62
2016-08-31,23.905,23.92,23.68,23.74,432800,23.74
2016-08-30,23.92,24.065,23.805,23.92,333400,23.92
2016-08-29,23.69,23.87,23.63,23.87,163600,23.87
2016-08-26,23.57,23.77,23.43,23.755,195700,23.755
2016-08-25,23.725,23.90,23.315,23.805,356700,23.805
2016-08-24,24.23,24.405,24.155,24.39,279300,24.39
