Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,12.155,12.21,11.75,11.95,94900,11.95
2016-10-26,12.53,12.53,12.005,12.125,129500,12.125
2016-10-25,12.155,12.65,12.09,12.41,251700,12.41
2016-10-24,11.98,12.17,11.98,12.055,102900,12.055
2016-10-21,11.85,12.05,11.815,11.905,84100,11.905
2016-10-20,11.97,11.97,11.70,11.80,64900,11.80
2016-10-19,12.00,12.00,11.735,11.915,61600,11.915
2016-10-18,11.70,12.015,11.70,11.89,175700,11.89
2016-10-17,11.60,11.77,11.56,11.625,120900,11.625
2016-10-14,11.49,11.82,11.485,11.61,178000,11.61
2016-10-13,11.215,11.49,10.955,11.47,287600,11.47
2016-10-12,11.035,11.25,10.955,11.18,117000,11.18
2016-10-11,11.16,11.225,10.935,11.005,76400,11.005
2016-10-10,11.075,11.305,11.00,11.17,89600,11.17
2016-10-07,11.095,11.14,10.99,11.09,80000,11.09
2016-10-06,11.15,11.155,10.88,11.065,54900,11.065
2016-10-05,11.00,11.25,10.995,11.105,87700,11.105
2016-10-04,10.95,11.325,10.95,11.105,139800,11.105
2016-10-03,10.96,10.96,10.96,10.96,000,10.96
2016-09-30,10.60,11.02,10.55,10.96,142500,10.96
2016-09-29,11.00,11.135,10.70,10.70,98300,10.70
2016-09-28,11.25,11.295,10.99,10.99,78900,10.99
2016-09-27,11.09,11.245,10.89,11.17,121300,11.17
2016-09-26,11.18,11.18,11.00,11.145,42300,11.145
2016-09-23,11.10,11.155,11.04,11.15,68400,11.15
2016-09-22,10.84,11.13,10.83,11.045,129500,11.045
2016-09-21,10.88,10.975,10.75,10.75,61400,10.75
2016-09-20,10.86,10.945,10.75,10.85,64200,10.85
2016-09-19,10.84,11.09,10.76,10.845,55400,10.845
2016-09-16,11.16,11.19,10.77,10.78,174100,10.78
2016-09-15,10.88,11.19,10.86,11.12,183100,11.12
2016-09-14,10.65,11.20,10.65,10.95,229100,10.95
2016-09-13,11.05,11.595,10.61,10.65,347100,10.65
2016-09-12,10.25,11.25,10.135,11.09,619400,11.09
2016-09-09,9.65,10.07,9.603,9.94,160200,9.94
2016-09-08,9.31,9.80,9.306,9.562,145600,9.562
2016-09-07,9.361,9.416,9.30,9.30,80600,9.30
2016-09-06,9.30,9.457,9.246,9.37,56400,9.37
2016-09-05,9.357,9.374,9.221,9.298,38600,9.298
2016-09-02,9.336,9.336,9.174,9.321,52400,9.321
2016-09-01,9.252,9.455,9.251,9.281,57000,9.281
2016-08-31,9.322,9.39,9.239,9.38,79100,9.38
2016-08-30,9.465,9.687,9.302,9.394,56300,9.394
2016-08-29,9.30,9.457,9.167,9.407,59000,9.407
2016-08-26,9.30,9.397,9.21,9.33,65900,9.33
2016-08-25,9.51,9.514,9.22,9.40,109400,9.40
2016-08-24,9.52,9.641,9.50,9.51,30100,9.51
2016-08-23,9.575,9.708,9.52,9.545,33500,9.545
2016-08-22,9.727,9.727,9.50,9.575,39500,9.575
2016-08-19,9.597,9.72,9.505,9.72,33800,9.72
2016-08-18,9.701,9.701,9.524,9.578,41300,9.578
2016-08-17,9.763,9.763,9.476,9.699,93600,9.699
