Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,23.10,23.195,22.235,23.00,320200,23.00
2016-10-26,23.20,23.44,22.50,23.20,276300,23.20
2016-10-25,23.50,24.59,23.055,23.525,280900,23.525
2016-10-24,27.43,28.65,23.00,24.00,613100,24.00
2016-10-21,27.585,27.785,27.365,27.675,58500,27.675
2016-10-20,28.00,28.145,27.30,27.52,166200,27.52
2016-10-19,28.085,28.19,28.00,28.10,69600,28.10
2016-10-18,28.055,28.49,28.00,28.05,100000,28.05
2016-10-17,27.545,28.14,27.15,27.785,143900,27.785
2016-10-14,27.40,28.135,27.15,27.575,104700,27.575
2016-10-13,27.95,28.28,27.43,27.495,152500,27.495
2016-10-12,28.25,28.355,27.95,27.97,83400,27.97
2016-10-11,28.175,28.95,27.95,28.37,129800,28.37
2016-10-10,28.175,28.665,27.71,28.11,109700,28.11
2016-10-07,28.50,28.685,28.00,28.255,73300,28.255
2016-10-06,29.09,29.165,28.365,28.515,106600,28.515
2016-10-05,28.68,29.18,28.585,28.885,106900,28.885
2016-10-04,28.37,29.315,28.365,28.75,211500,28.75
2016-10-03,28.39,28.39,28.39,28.39,000,28.39
2016-09-30,28.23,28.71,27.875,28.39,193400,28.39
2016-09-29,27.775,29.00,27.775,28.60,275700,28.60
2016-09-28,27.36,28.70,27.36,27.405,219000,27.405
2016-09-27,28.00,28.00,27.245,27.28,115300,27.28
2016-09-26,28.00,28.17,27.35,27.77,115500,27.77
2016-09-23,28.45,28.45,27.80,28.00,185100,28.00
2016-09-22,28.265,28.665,27.82,28.54,196800,28.54
2016-09-21,28.815,29.14,28.08,28.14,143700,28.14
2016-09-20,29.00,29.245,28.185,28.565,250900,28.565
2016-09-19,30.50,30.50,28.94,28.96,345600,28.96
2016-09-16,30.00,31.18,29.80,31.18,167300,31.18
2016-09-15,29.45,30.42,29.40,30.065,178200,30.065
2016-09-14,30.60,30.60,29.62,29.63,93500,29.63
2016-09-13,30.60,30.995,29.70,30.265,88600,30.265
2016-09-12,30.30,30.63,30.00,30.355,60100,30.355
2016-09-09,30.70,30.965,30.24,30.935,92900,30.935
2016-09-08,31.10,31.10,30.335,30.86,150000,30.86
2016-09-07,31.40,31.49,30.70,31.115,191300,31.115
2016-09-06,31.785,31.80,31.405,31.51,70400,31.51
2016-09-05,31.39,31.715,31.205,31.585,68300,31.585
2016-09-02,31.195,31.535,30.73,31.235,77300,31.235
2016-09-01,31.615,31.615,30.58,31.03,146700,31.03
2016-08-31,32.26,32.495,30.85,31.42,241900,31.42
2016-08-30,32.57,33.48,32.25,32.305,255300,32.305
2016-08-29,31.805,32.59,31.71,32.37,87800,32.37
2016-08-26,32.085,32.37,31.60,31.95,127400,31.95
