Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,57.44,57.44,53.70,54.69,25800,54.69
2016-10-26,57.88,58.00,57.39,57.80,10300,57.80
2016-10-25,58.00,58.50,57.45,57.75,6600,57.75
2016-10-24,57.00,57.84,56.22,57.79,3200,57.79
2016-10-21,56.87,57.51,56.12,57.19,6100,57.19
2016-10-20,56.24,57.00,55.32,56.95,4600,56.95
2016-10-19,55.29,56.89,55.12,56.20,6500,56.20
2016-10-18,55.55,55.55,54.99,55.46,1400,55.46
2016-10-17,54.29,55.51,54.29,55.27,2100,55.27
2016-10-14,53.76,55.51,53.40,54.96,11000,54.96
2016-10-13,54.53,55.30,53.34,53.34,3500,53.34
2016-10-12,55.20,55.20,53.99,54.70,2800,54.70
2016-10-11,54.10,55.52,54.10,55.09,7000,55.09
2016-10-10,53.02,55.15,53.02,54.06,6900,54.06
2016-10-07,52.65,53.27,52.53,53.27,3200,53.27
2016-10-06,52.80,52.86,52.40,52.80,1200,52.80
2016-10-05,53.40,53.96,52.10,52.97,5300,52.97
2016-10-04,50.80,53.45,50.65,53.45,15600,53.45
2016-10-03,51.30,51.30,51.30,51.30,000,51.30
2016-09-30,49.065,51.30,48.295,51.30,9800,51.30
2016-09-29,50.20,50.60,49.265,49.305,8200,49.305
2016-09-28,51.23,51.23,50.23,50.23,2100,50.23
2016-09-27,51.25,51.72,50.76,51.15,3000,51.15
2016-09-26,52.36,52.36,50.76,51.16,2900,51.16
2016-09-23,52.11,52.75,52.11,52.36,2200,52.36
2016-09-22,53.20,53.28,52.40,52.40,3900,52.40
2016-09-21,53.40,54.00,52.50,52.83,7000,52.83
2016-09-20,53.77,53.80,52.66,52.66,3900,52.66
2016-09-19,54.98,54.98,53.61,53.90,2800,53.90
2016-09-16,55.00,55.60,54.30,54.30,6200,54.30
2016-09-15,55.00,55.19,54.80,55.00,4100,55.00
2016-09-14,55.60,55.60,55.00,55.00,1300,55.00
2016-09-13,54.25,55.65,54.25,55.01,4500,55.01
2016-09-12,54.30,54.68,54.20,54.20,4900,54.20
2016-09-09,55.00,55.51,54.21,54.70,4200,54.70
2016-09-08,55.79,55.79,55.00,55.00,1700,55.00
2016-09-07,55.20,55.90,55.02,55.90,3300,55.90
2016-09-06,55.00,55.30,55.00,55.00,1900,55.00
2016-09-05,55.93,55.93,55.00,55.00,2800,55.00
2016-09-02,55.52,55.93,55.26,55.93,4600,55.93
2016-09-01,55.95,56.00,55.00,55.01,5000,55.01
2016-08-31,55.06,55.85,55.00,55.85,2800,55.85
2016-08-30,55.15,55.78,55.12,55.12,2000,55.12
2016-08-29,54.51,55.26,54.51,54.80,1700,54.80
2016-08-26,55.00,55.15,54.80,54.80,4800,54.80
2016-08-25,55.00,55.40,54.77,55.01,3400,55.01
2016-08-24,55.00,55.41,54.84,54.94,2800,54.94
2016-08-23,55.23,55.73,55.13,55.13,2300,55.13
2016-08-22,55.56,55.74,54.83,55.52,6300,55.52
2016-08-19,53.93,55.16,53.71,54.96,2300,54.96
2016-08-18,54.20,54.45,54.00,54.45,2000,54.45
2016-08-17,54.05,54.20,53.94,53.95,3800,53.95
2016-08-16,53.96,54.48,53.80,54.00,6200,54.00
2016-08-15,55.29,55.40,54.41,54.41,6100,54.41
2016-08-12,55.99,56.00,55.00,55.10,5000,55.10
2016-08-11,53.65,55.52,53.50,55.52,8400,55.52
2016-08-10,54.70,55.29,53.84,53.84,11400,53.84
2016-08-09,52.60,55.44,52.60,55.00,9300,55.00
2016-08-08,52.30,52.84,52.00,52.57,3600,52.57
2016-08-05,52.28,52.72,52.28,52.44,1800,52.44
2016-08-04,52.48,52.89,52.01,52.45,3200,52.45
2016-08-03,51.82,52.17,51.40,52.10,4600,52.10
2016-08-02,51.85,52.28,51.85,51.91,2100,51.91
2016-08-01,51.50,52.36,51.50,51.79,2000,51.79
2016-07-29,51.55,51.57,51.00,51.30,3500,51.30
2016-07-28,51.59,51.60,51.01,51.60,2900,51.60
2016-07-27,52.43,52.95,51.17,51.88,3600,51.88
2016-07-26,52.46,52.93,52.30,52.31,2800,52.31
2016-07-25,52.48,52.91,52.24,52.70,2600,52.70
2016-07-22,53.00,53.00,52.50,53.00,1300,53.00
2016-07-21,52.05,53.00,52.03,53.00,4500,53.00
2016-07-20,51.50,51.99,51.17,51.51,4000,51.51
2016-07-19,51.75,52.29,51.51,51.51,2800,51.51
2016-07-18,51.90,52.42,51.49,52.42,5100,52.42
2016-07-15,51.70,52.24,51.15,51.15,3800,51.15
2016-07-14,51.75,51.99,51.25,51.97,5700,51.97
2016-07-13,52.32,52.49,52.00,52.10,1300,52.10
2016-07-12,51.37,52.05,51.06,52.00,3900,52.00
2016-07-11,52.00,52.00,51.19,51.75,3500,51.75
2016-07-08,51.55,51.99,51.08,51.99,600,51.99
2016-07-07,51.21,52.49,51.18,51.91,1800,51.91
2016-07-06,51.70,51.70,51.18,51.18,1800,51.18
2016-07-05,52.35,52.35,51.50,52.15,1500,52.15
2016-07-04,52.47,52.54,51.79,52.18,7200,52.18
2016-07-01,52.48,52.60,51.80,52.49,3600,52.49
2016-06-30,53.00,53.01,51.36,51.99,8300,51.99
2016-06-29,52.71,53.09,52.67,52.90,3700,52.90
2016-06-28,52.69,52.69,51.30,51.99,8900,51.99
2016-06-27,53.00,53.00,51.67,52.15,11200,52.15
2016-06-24,52.51,53.00,51.00,52.73,4700,52.73
2016-06-23,54.55,55.49,54.05,54.83,11700,54.83
2016-06-22,54.77,55.09,53.46,54.38,9200,54.38
2016-06-21,54.03,54.45,53.95,53.95,3900,53.95
2016-06-20,54.00,54.90,53.83,54.26,6500,54.26
2016-06-17,51.00,53.04,51.00,52.31,12600,52.31
2016-06-16,50.50,51.63,50.50,51.01,6800,51.01
2016-06-15,50.72,51.57,50.60,51.10,4700,51.10
2016-06-14,50.00,50.50,49.60,50.02,12300,50.02
2016-06-13,50.01,50.57,50.00,50.00,11100,50.00
2016-06-10,50.29,50.69,50.26,50.60,11000,50.60
2016-06-09,50.76,51.37,50.76,50.81,5000,50.06
2016-06-08,50.53,51.85,50.22,50.90,10100,50.149
2016-06-07,50.05,51.09,50.05,50.85,2400,50.099
2016-06-06,50.00,50.44,49.88,50.33,10700,49.587
2016-06-03,50.50,50.73,50.08,50.08,3700,49.341
2016-06-02,50.00,50.48,50.00,50.40,2400,49.656
2016-06-01,50.20,50.50,50.05,50.30,3100,49.558
2016-05-31,50.46,50.46,49.98,50.00,12700,49.262
2016-05-30,50.11,50.60,50.04,50.60,2800,49.853
