Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,6.46,6.477,6.375,6.42,58500,6.42
2016-10-26,6.45,6.50,6.421,6.45,24800,6.45
2016-10-25,6.452,6.545,6.43,6.472,106400,6.472
2016-10-24,6.499,6.537,6.45,6.45,57700,6.45
2016-10-21,6.464,6.533,6.45,6.45,30300,6.45
2016-10-20,6.597,6.597,6.47,6.47,82400,6.47
2016-10-19,6.687,6.69,6.546,6.546,47800,6.546
2016-10-18,6.57,6.663,6.56,6.60,29700,6.60
2016-10-17,6.699,6.738,6.579,6.579,25800,6.579
2016-10-14,6.58,6.715,6.556,6.69,74300,6.69
2016-10-13,6.595,6.595,6.50,6.529,36200,6.529
2016-10-12,6.523,6.60,6.50,6.57,42500,6.57
2016-10-11,6.70,6.70,6.514,6.514,110600,6.514
2016-10-10,6.60,6.71,6.563,6.68,52900,6.68
2016-10-07,6.717,6.717,6.546,6.568,70500,6.568
2016-10-06,6.709,6.709,6.576,6.61,65300,6.61
2016-10-05,6.698,6.748,6.60,6.653,69400,6.653
2016-10-04,6.608,6.709,6.60,6.646,82900,6.646
2016-10-03,6.571,6.571,6.571,6.571,000,6.571
2016-09-30,6.49,6.571,6.45,6.571,169700,6.571
2016-09-29,6.485,6.53,6.46,6.475,101000,6.475
2016-09-28,6.32,6.426,6.32,6.426,55400,6.426
2016-09-27,6.463,6.493,6.236,6.30,187800,6.30
2016-09-26,6.619,6.641,6.403,6.518,111100,6.518
2016-09-23,6.65,6.72,6.579,6.669,88700,6.669
2016-09-22,6.60,6.737,6.556,6.719,176100,6.719
2016-09-21,6.32,6.599,6.32,6.528,428500,6.528
2016-09-20,6.165,6.255,6.03,6.253,122600,6.253
2016-09-19,6.00,6.132,5.997,6.087,115900,6.087
2016-09-16,6.111,6.214,5.92,5.953,322200,5.953
2016-09-15,6.186,6.217,6.07,6.105,104500,6.105
2016-09-14,6.225,6.25,6.087,6.187,117000,6.187
2016-09-13,6.248,6.42,6.145,6.161,349200,6.161
2016-09-12,6.101,6.171,6.02,6.171,148600,6.171
2016-09-09,6.208,6.209,6.066,6.167,160000,6.167
2016-09-08,6.255,6.342,6.148,6.221,125300,6.221
2016-09-07,6.329,6.383,6.204,6.218,154900,6.218
2016-09-06,6.183,6.31,6.183,6.305,184000,6.305
2016-09-05,6.27,6.27,6.183,6.234,56900,6.234
2016-09-02,6.296,6.296,6.17,6.253,97800,6.253
2016-09-01,6.276,6.325,6.203,6.273,181900,6.273
2016-08-31,6.28,6.281,6.178,6.234,161000,6.234
2016-08-30,6.245,6.276,6.199,6.216,201800,6.216
2016-08-29,6.21,6.233,6.117,6.149,89300,6.149
2016-08-26,6.22,6.276,6.17,6.255,85500,6.255
