Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,33.09,33.585,32.795,32.945,244800,32.945
2016-10-26,33.385,33.57,32.98,33.155,276100,33.155
2016-10-25,33.02,33.84,32.845,33.38,312400,33.38
2016-10-24,33.92,34.115,33.54,33.59,190500,33.59
2016-10-21,33.445,33.92,33.44,33.815,195300,33.815
2016-10-20,33.99,33.99,33.31,33.475,333200,33.475
2016-10-19,33.50,33.91,33.30,33.84,205200,33.84
2016-10-18,33.26,33.74,33.095,33.57,395100,33.57
2016-10-17,33.30,33.74,33.06,33.21,510900,33.21
2016-10-14,34.15,34.57,32.63,33.80,1245100,33.80
2016-10-13,36.785,37.41,36.56,37.025,150100,37.025
2016-10-12,37.065,37.335,36.99,37.125,177600,37.125
2016-10-11,37.30,37.41,37.015,37.175,111500,37.175
2016-10-10,37.05,37.37,36.905,37.27,92200,37.27
2016-10-07,37.23,37.385,36.705,36.875,162600,36.875
2016-10-06,37.385,37.76,37.065,37.36,202200,37.36
2016-10-05,38.88,38.88,37.085,37.175,276600,37.175
2016-10-04,37.795,39.32,37.715,38.88,574800,38.88
2016-10-03,37.715,37.715,37.715,37.715,000,37.715
2016-09-30,37.165,37.715,36.78,37.715,162800,37.715
2016-09-29,37.515,37.68,37.27,37.42,131300,37.42
2016-09-28,37.16,37.45,37.06,37.405,101800,37.405
2016-09-27,37.20,37.21,36.575,37.175,88900,37.175
2016-09-26,37.35,37.42,36.82,36.895,91500,36.895
2016-09-23,37.50,37.53,37.20,37.35,84300,37.35
2016-09-22,36.825,37.60,36.75,37.525,169900,37.525
2016-09-21,36.96,36.98,36.365,36.37,94500,36.37
2016-09-20,36.245,36.88,36.245,36.61,63600,36.61
2016-09-19,36.66,36.66,35.865,36.345,94300,36.345
2016-09-16,36.265,36.615,36.195,36.405,112600,36.405
2016-09-15,36.34,36.475,35.945,36.385,96700,36.385
2016-09-14,36.15,36.685,36.135,36.25,97700,36.25
2016-09-13,36.01,36.50,35.93,36.08,95600,36.08
2016-09-12,35.35,35.945,35.185,35.805,118300,35.805
2016-09-09,35.98,36.24,35.70,35.755,116400,35.755
2016-09-08,36.15,36.725,36.15,36.25,152700,36.25
2016-09-07,37.20,37.28,36.75,36.935,135200,36.935
2016-09-06,36.76,37.47,36.76,36.98,155800,36.98
2016-09-05,37.00,37.005,36.54,36.925,172000,36.925
2016-09-02,36.00,37.20,36.00,36.68,203300,36.68
2016-09-01,35.555,36.32,35.30,36.02,249600,36.02
2016-08-31,36.01,36.025,35.525,35.62,127200,35.62
2016-08-30,36.17,36.47,36.09,36.125,87800,36.125
2016-08-29,36.25,36.25,35.945,36.095,61100,36.095
2016-08-26,35.705,36.15,35.59,36.06,110400,36.06
2016-08-25,35.50,36.09,35.34,35.685,81900,35.685
2016-08-24,35.715,35.935,35.70,35.755,59300,35.755
2016-08-23,35.875,36.215,35.875,35.955,64800,35.955
2016-08-22,36.08,36.26,35.68,35.865,92300,35.865
2016-08-19,36.00,36.265,35.865,36.075,64000,36.075
2016-08-18,35.855,36.24,35.76,36.055,131400,36.055
2016-08-17,36.00,36.005,35.51,35.67,157200,35.67
2016-08-16,36.36,36.675,36.165,36.165,133000,36.165
2016-08-15,36.395,36.795,36.345,36.665,163500,36.665
2016-08-12,36.355,36.52,36.275,36.445,110900,36.445
2016-08-11,35.865,36.55,35.41,36.47,227100,36.47
2016-08-10,36.315,36.335,35.775,35.80,138000,35.80
2016-08-09,35.68,36.365,35.575,36.29,161600,36.29
2016-08-08,35.79,35.89,35.585,35.625,80100,35.625
2016-08-05,35.59,35.775,35.355,35.61,177900,35.61
2016-08-04,35.455,35.805,35.27,35.535,134500,35.535
2016-08-03,36.05,36.05,35.345,35.45,133500,35.45
2016-08-02,36.04,36.30,35.79,35.88,187500,35.88
2016-08-01,36.13,36.445,35.945,36.07,210900,36.07
2016-07-29,35.62,36.26,35.465,36.07,236600,36.07
2016-07-28,34.88,35.765,34.805,35.405,238300,35.405
2016-07-27,34.805,35.66,34.715,35.02,260000,35.02
2016-07-26,33.855,34.61,33.855,34.515,216700,34.515
2016-07-25,33.57,34.15,33.50,33.995,154800,33.995
2016-07-22,33.40,33.785,33.10,33.70,175900,33.70
2016-07-21,33.84,33.85,33.085,33.50,215100,33.50
2016-07-20,33.415,34.395,33.40,33.845,267400,33.845
2016-07-19,33.135,33.27,32.625,33.27,301600,33.27
2016-07-18,33.305,33.61,33.15,33.27,130000,33.27
2016-07-15,33.30,33.405,32.80,33.175,225800,33.175
2016-07-14,32.85,33.88,32.345,33.355,558300,33.355
2016-07-13,31.02,31.635,30.96,31.19,176500,31.19
2016-07-12,31.585,31.725,30.995,31.13,190300,31.13
2016-07-11,31.34,31.80,31.28,31.62,115600,31.62
2016-07-08,30.40,31.30,30.315,31.17,134600,31.17
2016-07-07,30.715,31.14,30.45,30.58,180600,30.58
2016-07-06,30.38,30.95,30.25,30.55,237100,30.55
2016-07-05,30.485,30.60,30.27,30.50,141500,30.50
2016-07-04,31.005,31.045,30.39,30.61,156600,30.61
2016-07-01,30.715,31.045,30.535,31.045,194000,31.045
2016-06-30,30.85,30.85,30.095,30.545,367600,30.545
2016-06-29,29.37,29.745,28.74,29.745,247400,29.745
2016-06-28,28.99,29.55,28.87,28.99,272400,28.99
2016-06-27,30.185,30.47,28.68,28.71,341600,28.71
2016-06-24,30.00,31.02,29.18,30.42,443900,30.42
2016-06-23,32.18,32.41,31.88,32.235,107200,32.235
2016-06-22,31.93,32.09,31.60,31.92,112200,31.92
2016-06-21,32.05,32.335,31.51,31.775,154200,31.775
2016-06-20,31.41,32.265,31.41,32.20,215300,32.20
2016-06-17,30.94,31.79,30.80,31.79,639000,31.79
2016-06-16,30.75,31.18,30.695,30.695,420400,30.695
2016-06-15,32.125,32.46,31.18,31.20,300000,31.20
2016-06-14,32.35,32.625,32.10,32.14,179700,32.14
2016-06-13,33.03,33.25,32.52,32.585,284400,32.585
2016-06-10,33.68,33.885,33.40,33.475,120000,33.475
2016-06-09,33.785,34.01,33.53,33.825,143700,33.825
2016-06-08,33.955,34.055,33.685,33.955,138900,33.955
2016-06-07,34.16,34.245,33.815,34.20,123100,34.20
2016-06-06,34.235,34.63,34.025,34.025,136600,34.025
2016-06-03,34.95,34.95,34.135,34.28,153500,34.28
2016-06-02,34.255,34.85,34.215,34.81,156800,34.81
2016-06-01,34.70,34.91,34.25,34.405,231700,34.405
2016-05-31,34.72,34.91,34.44,34.90,179100,34.35
2016-05-30,34.365,34.70,34.365,34.57,38200,34.0252
2016-05-27,34.395,34.78,34.275,34.455,117200,33.91202
2016-05-26,34.30,34.53,34.11,34.47,98900,33.92678
2016-05-25,34.465,34.465,34.055,34.12,147500,33.58229
2016-05-24,34.345,34.385,34.11,34.145,174900,33.6069
2016-05-23,34.60,34.76,34.415,34.415,126700,33.87264
2016-05-20,34.425,34.56,34.275,34.50,126600,33.9563
2016-05-19,34.10,34.36,33.935,34.185,100600,33.64627
2016-05-18,34.17,34.41,34.015,34.23,86500,33.69056
2016-05-17,33.99,34.615,33.99,34.415,157900,33.87264
2016-05-16,33.955,33.955,33.955,33.955,000,33.4199
2016-05-13,33.745,34.065,33.695,33.955,269700,33.4199
2016-05-12,33.79,34.295,33.70,33.88,226700,33.34608
2016-05-11,33.73,34.195,33.73,33.87,135500,33.33623
2016-05-10,33.85,33.88,33.575,33.735,176700,33.20336
2016-05-09,33.78,33.955,33.505,33.755,142900,33.22305
2016-05-06,33.415,33.72,33.32,33.50,173500,32.97206
2016-05-05,33.595,33.825,33.445,33.55,180700,33.02128
2016-05-04,33.505,33.755,33.40,33.645,119400,33.11478
2016-05-03,33.50,33.75,33.305,33.675,145900,33.14431
2016-05-02,33.50,33.95,33.50,33.70,131600,33.16891
2016-04-29,33.50,33.61,32.96,33.37,453500,32.84411
2016-04-28,33.135,33.615,32.99,33.52,241200,32.99175
2016-04-27,32.25,33.46,32.25,33.22,217300,32.69648
2016-04-26,33.90,33.99,32.425,32.815,233000,32.29786
2016-04-25,33.28,33.73,33.28,33.50,146900,32.97206
2016-04-22,33.33,33.82,33.27,33.585,212500,33.05572
2016-04-21,33.72,33.72,33.33,33.54,209000,33.01143
2016-04-20,33.64,33.955,33.385,33.51,425000,32.9819
2016-04-19,34.015,34.105,33.68,33.84,221800,33.30671
2016-04-18,33.585,33.94,33.23,33.78,247800,33.24765
2016-04-15,33.50,33.91,33.415,33.495,276800,32.96714
2016-04-14,33.615,33.92,32.73,33.50,360500,32.97206
2016-04-13,33.625,36.70,33.56,34.045,902400,33.50847
2016-04-12,33.51,33.80,33.35,33.64,221400,33.10986
2016-04-11,33.80,33.98,33.39,33.465,243400,32.93762
2016-04-08,34.135,34.225,33.475,33.905,179800,33.37068
2016-04-07,34.795,34.795,34.065,34.14,147500,33.60198
2016-04-06,34.71,34.815,34.14,34.63,109800,34.08426
2016-04-05,34.205,35.005,34.075,34.565,224400,34.02028
2016-04-04,34.31,35.03,34.31,34.705,159200,34.15808
2016-04-01,33.795,34.67,33.72,34.415,228600,33.87264
2016-03-31,34.855,35.06,34.205,34.355,233300,33.81359
2016-03-30,33.95,35.05,33.915,34.885,254300,34.33524
2016-03-29,33.585,33.95,33.305,33.87,158800,33.33623
2016-03-28,33.26,33.26,33.26,33.26,000,32.73584
2016-03-25,33.26,33.26,33.26,33.26,000,32.73584
2016-03-24,33.56,33.805,33.26,33.26,141700,32.73584
2016-03-23,33.90,33.95,33.585,33.84,138800,33.30671
2016-03-22,33.105,33.725,32.45,33.725,154200,33.19352
2016-03-21,33.165,33.485,33.035,33.135,88000,32.61281
2016-03-18,33.18,33.43,32.96,33.255,239400,32.73093
2016-03-17,33.60,33.70,33.05,33.25,235800,32.726
2016-03-16,32.80,33.53,32.80,33.45,222000,32.92285
2016-03-15,32.555,32.82,32.24,32.72,178800,32.20436
2016-03-14,32.59,33.26,32.59,32.835,179500,32.31754
2016-03-11,32.23,32.685,32.22,32.315,189200,31.80574
2016-03-10,32.21,32.30,31.455,31.855,460100,31.35299
2016-03-09,32.80,32.80,31.725,31.90,368000,31.39728
2016-03-08,32.03,32.585,31.885,32.30,270200,31.79097
2016-03-07,32.50,32.75,32.025,32.105,201000,31.59905
2016-03-04,32.45,32.875,32.165,32.50,184800,31.98782
2016-03-03,32.43,32.475,31.70,32.18,200100,31.67287
2016-03-02,33.085,33.085,31.96,32.185,277900,31.67779
2016-03-01,32.48,33.00,32.39,32.745,163100,32.22896
2016-02-29,32.295,32.79,32.00,32.565,277300,32.0518
2016-02-26,32.98,33.385,32.39,32.635,149900,32.12069
2016-02-25,32.07,32.70,32.065,32.62,293600,32.10593
2016-02-24,32.335,32.50,31.27,31.60,317400,31.10201
2016-02-23,32.03,32.445,31.815,32.185,226700,31.67779
2016-02-22,32.00,32.79,31.915,32.10,311400,31.59413
2016-02-19,31.655,32.05,31.545,31.765,314100,31.26441
2016-02-18,31.335,32.135,31.335,31.83,320100,31.32838
2016-02-17,30.24,31.44,30.145,31.23,415900,30.73784
2016-02-16,30.40,30.42,29.79,30.16,280000,29.6847
2016-02-15,29.555,30.41,29.40,30.105,208500,29.63057
2016-02-12,30.155,30.305,29.605,29.785,250900,29.31561
2016-02-11,30.955,31.00,29.57,29.795,422800,29.32545
2016-02-10,29.27,30.46,29.00,30.14,349400,29.66501
2016-02-09,28.85,29.585,28.77,29.05,396200,28.59219
2016-02-08,30.58,30.795,28.895,29.155,417700,28.69554
2016-02-05,31.225,31.49,30.59,30.72,242500,30.23587
2016-02-04,31.55,31.72,31.33,31.395,276500,30.90024
2016-02-03,31.85,32.00,31.38,31.45,340100,30.95437
2016-02-02,31.02,32.09,30.91,31.81,379600,31.3087
2016-02-01,31.07,31.29,30.815,31.005,239300,30.51638
2016-01-29,31.20,31.35,30.675,31.05,245700,30.56067
2016-01-28,30.43,31.285,30.25,30.76,393700,30.27524
2016-01-27,29.705,30.685,29.33,30.56,278600,30.0784
2016-01-26,29.935,30.33,29.505,30.055,264700,29.58135
2016-01-25,29.15,30.50,29.15,30.245,400800,29.76836
2016-01-22,28.865,29.275,28.64,28.98,577000,28.5233
2016-01-21,27.745,29.31,27.745,28.415,603400,27.9672
2016-01-20,28.235,28.415,27.315,27.755,514700,27.3176
2016-01-19,27.90,29.905,27.90,28.955,1020800,28.49869
2016-01-18,26.115,26.365,25.49,25.72,129500,25.31467
2016-01-15,26.55,26.69,25.93,26.10,284100,25.68868
2016-01-14,26.78,26.78,26.075,26.475,390200,26.05777
