Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,72.75,73.48,71.25,73.20,93500,73.20
2016-10-26,72.31,72.85,70.36,72.70,100500,72.70
2016-10-25,75.12,75.21,71.91,72.29,126400,72.29
2016-10-24,80.02,80.18,74.25,74.69,170800,74.69
2016-10-21,80.41,80.70,79.18,79.85,64800,79.85
2016-10-20,80.08,80.08,78.98,79.51,38900,79.51
2016-10-19,79.16,80.19,78.64,79.85,50800,79.85
2016-10-18,78.29,79.26,78.23,79.02,41200,79.02
2016-10-17,79.15,79.15,77.51,78.00,39800,78.00
2016-10-14,78.14,79.58,77.53,78.95,73400,78.95
2016-10-13,76.63,77.69,76.28,77.69,61400,77.69
2016-10-12,77.70,78.33,76.74,76.99,57900,76.99
2016-10-11,76.60,77.90,76.60,77.90,80700,77.90
2016-10-10,75.01,76.74,74.35,76.60,45800,76.60
2016-10-07,74.64,74.98,73.94,74.62,42400,74.62
2016-10-06,74.95,75.01,74.07,74.50,33100,74.50
2016-10-05,74.35,74.80,73.76,74.80,34300,74.80
2016-10-04,74.15,74.86,73.82,74.86,80400,74.86
2016-10-03,74.08,74.08,74.08,74.08,000,74.08
2016-09-30,73.13,74.08,72.57,74.08,57400,74.08
2016-09-29,74.40,74.89,73.23,73.73,32800,73.73
2016-09-28,73.86,74.45,73.69,74.16,43900,74.16
2016-09-27,73.99,74.10,72.64,73.31,47900,73.31
2016-09-26,75.35,75.35,73.46,73.53,50600,73.53
2016-09-23,75.93,76.05,74.76,75.25,36000,75.25
2016-09-22,75.17,76.46,74.95,75.79,57300,75.79
2016-09-21,75.58,75.74,74.19,74.53,76200,74.53
2016-09-20,75.60,75.65,74.79,74.87,55400,74.87
2016-09-19,75.50,75.81,74.42,75.43,67200,75.43
2016-09-16,73.88,74.78,73.31,74.71,152800,74.71
2016-09-15,72.61,74.07,72.00,73.90,48300,73.90
2016-09-14,71.43,72.96,71.20,72.64,67200,72.64
2016-09-13,70.84,72.12,70.60,71.00,62800,71.00
2016-09-12,70.26,70.83,69.80,70.83,35700,70.83
2016-09-09,71.72,71.99,71.18,71.45,35300,71.45
2016-09-08,72.43,72.82,71.39,71.62,35600,71.62
2016-09-07,72.36,72.50,71.86,72.29,29600,72.29
2016-09-06,72.72,73.32,72.13,72.40,50900,72.40
2016-09-05,72.49,73.60,72.07,72.79,45500,72.79
2016-09-02,71.19,72.41,71.00,72.38,42900,72.38
2016-09-01,71.18,72.36,70.77,70.85,58300,70.85
2016-08-31,71.79,71.85,70.91,70.92,54600,70.92
2016-08-30,71.26,71.83,70.93,71.58,35800,71.58
2016-08-29,70.32,70.82,69.11,70.79,27000,70.79
2016-08-26,70.69,70.87,69.64,70.54,32500,70.54
2016-08-25,71.90,71.91,70.52,70.72,33800,70.72
2016-08-24,71.82,72.21,71.37,72.09,25700,72.09
2016-08-23,72.50,72.51,71.49,72.07,36000,72.07
2016-08-22,71.16,72.42,70.84,71.98,51100,71.98
2016-08-19,70.73,71.06,69.83,70.95,38900,70.95
2016-08-18,71.10,71.10,69.75,70.43,39600,70.43
2016-08-17,71.73,71.73,70.47,70.59,40900,70.59
2016-08-16,71.77,71.97,71.16,71.43,39900,71.43
2016-08-15,71.66,72.36,71.48,72.07,44600,72.07
2016-08-12,72.03,72.22,71.29,71.75,45700,71.75
2016-08-11,71.48,72.04,70.40,72.04,48000,72.04
2016-08-10,70.43,71.51,70.20,71.29,71600,71.29
2016-08-09,70.00,70.60,69.69,70.46,81300,70.46
2016-08-08,70.60,70.64,69.04,69.81,63300,69.81
2016-08-05,70.28,70.60,69.55,70.24,70400,70.24
2016-08-04,69.38,70.40,69.23,70.31,76200,70.31
2016-08-03,69.78,69.85,68.94,69.44,58800,69.44
2016-08-02,69.99,70.56,68.92,69.42,76500,69.42
2016-08-01,72.28,72.28,70.22,70.79,64200,70.79
2016-07-29,72.25,72.25,70.56,71.48,70600,71.48
2016-07-28,71.50,72.90,71.50,72.30,72600,72.30
2016-07-27,72.70,73.31,70.63,71.58,110400,71.58
2016-07-26,71.22,74.28,70.46,73.23,147700,73.23
2016-07-25,70.61,72.19,69.33,70.96,115500,70.96
2016-07-22,68.58,69.52,67.93,69.07,41300,69.07
2016-07-21,67.76,69.42,67.06,68.56,76500,68.56
2016-07-20,65.97,68.09,65.11,67.81,67100,67.81
2016-07-19,65.33,65.48,64.85,65.40,40600,65.40
2016-07-18,65.02,65.98,64.90,65.72,38700,65.72
2016-07-15,64.95,64.95,63.04,64.60,44100,64.60
2016-07-14,65.36,65.36,63.52,64.87,47800,64.87
2016-07-13,63.99,64.58,62.89,64.36,54600,64.36
2016-07-12,65.76,65.91,63.72,64.07,56400,64.07
2016-07-11,64.39,65.81,63.71,65.58,54800,65.58
2016-07-08,63.60,63.73,62.73,63.35,70200,63.35
