Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,38.09,38.44,37.575,37.65,368400,37.65
2016-10-26,38.125,38.38,37.53,37.995,262400,37.995
2016-10-25,38.005,38.10,37.775,38.03,312100,38.03
2016-10-24,37.76,38.60,37.725,37.815,347000,37.815
2016-10-21,37.995,38.245,37.455,37.55,351800,37.55
2016-10-20,38.335,38.40,37.765,37.895,275200,37.895
2016-10-19,38.20,38.32,37.885,38.20,267800,38.20
2016-10-18,37.85,38.55,37.745,38.165,324200,38.165
2016-10-17,37.80,37.945,37.43,37.67,354800,37.67
2016-10-14,37.66,38.155,37.60,37.805,269800,37.805
2016-10-13,37.60,37.775,37.485,37.68,270400,37.68
2016-10-12,38.00,38.135,37.705,37.78,269300,37.78
2016-10-11,37.84,38.38,37.84,38.005,309500,38.005
2016-10-10,37.78,38.115,37.67,38.055,287500,38.055
2016-10-07,38.175,38.19,37.605,37.605,466700,37.605
2016-10-06,39.035,39.035,38.14,38.24,315700,38.24
2016-10-05,38.82,39.145,38.665,38.765,355600,38.765
2016-10-04,39.315,39.625,39.04,39.04,421500,39.04
2016-10-03,39.385,39.385,39.385,39.385,000,39.385
2016-09-30,39.04,39.43,38.745,39.385,407400,39.385
2016-09-29,39.695,39.755,39.30,39.375,171700,39.375
2016-09-28,39.70,40.045,39.445,39.525,176500,39.525
2016-09-27,39.80,39.86,39.07,39.37,348200,39.37
2016-09-26,39.435,39.755,39.29,39.65,389600,39.65
2016-09-23,39.90,39.90,39.58,39.60,192500,39.60
2016-09-22,39.715,40.10,39.52,39.99,333300,39.99
2016-09-21,39.36,39.75,39.275,39.30,349100,39.30
2016-09-20,39.095,39.42,39.095,39.11,332300,39.11
2016-09-19,39.84,40.00,39.11,39.20,511400,39.20
2016-09-16,39.20,39.78,39.195,39.78,684000,39.78
2016-09-15,38.415,39.405,38.365,39.31,573100,39.31
2016-09-14,38.695,38.82,38.39,38.635,688100,38.635
2016-09-13,37.745,38.71,37.745,38.60,693600,38.60
2016-09-12,37.25,37.69,37.07,37.595,577500,37.595
2016-09-09,37.805,38.04,37.47,37.69,455300,37.69
2016-09-08,37.585,38.02,37.505,37.84,693000,37.84
2016-09-07,37.75,37.915,37.33,37.81,612300,37.81
2016-09-06,37.77,37.89,37.46,37.69,463700,37.69
2016-09-05,37.71,38.095,37.57,37.70,632700,37.70
2016-09-02,37.285,37.705,36.94,37.595,399500,37.595
2016-09-01,36.83,37.535,36.77,37.185,508300,37.185
2016-08-31,36.85,37.25,36.755,36.86,617600,36.86
2016-08-30,36.67,37.13,36.625,36.905,509800,36.905
2016-08-29,36.315,36.625,36.16,36.545,239600,36.545
2016-08-26,36.25,36.58,35.92,36.385,346900,36.385
2016-08-25,36.15,36.305,35.71,36.25,515300,36.25
2016-08-24,35.90,36.495,35.69,36.26,556300,36.26
2016-08-23,36.11,36.24,35.915,36.15,470600,36.15
2016-08-22,35.775,36.27,35.70,35.855,627100,35.855
2016-08-19,35.93,36.225,35.42,35.65,511400,35.65
2016-08-18,35.52,36.27,34.855,36.05,1021500,36.05
2016-08-17,37.46,37.49,35.425,35.48,1416100,35.48
2016-08-16,38.89,38.895,37.38,37.59,562400,37.59
2016-08-15,38.80,39.28,38.73,38.92,416500,38.92
2016-08-12,40.24,40.305,38.62,38.80,589900,38.80
2016-08-11,41.00,41.01,38.85,40.435,767100,40.435
2016-08-10,40.00,40.63,39.805,40.615,545500,40.615
2016-08-09,39.095,39.785,39.005,39.735,283700,39.735
2016-08-08,39.12,39.365,38.89,39.045,170600,39.045
2016-08-05,38.895,39.17,38.475,39.045,288300,39.045
2016-08-04,38.765,39.08,38.565,38.755,205800,38.755
2016-08-03,39.015,39.055,38.24,38.52,323800,38.52
2016-08-02,39.50,39.53,38.90,39.005,224700,39.005
2016-08-01,39.56,40.16,39.39,39.535,251000,39.535
2016-07-29,39.84,39.87,39.25,39.54,322300,39.54
2016-07-28,39.375,39.86,39.26,39.735,276100,39.735
2016-07-27,39.38,39.745,39.235,39.365,296400,39.365
2016-07-26,39.26,39.345,38.86,39.125,300900,39.125
2016-07-25,39.45,39.54,39.015,39.365,368900,39.365
2016-07-22,39.525,39.64,39.20,39.64,222700,39.64
2016-07-21,39.775,39.78,39.25,39.535,316200,39.535
2016-07-20,39.51,39.96,39.265,39.805,379400,39.805
2016-07-19,39.415,39.55,39.03,39.235,502100,39.235
2016-07-18,38.635,39.91,38.55,39.67,579500,39.67
2016-07-15,38.86,38.90,38.38,38.52,359800,38.52
2016-07-14,38.86,39.00,38.525,38.885,417000,38.885
2016-07-13,38.65,38.72,37.895,38.48,389600,38.48
2016-07-12,38.915,39.22,38.54,38.54,347400,38.54
2016-07-11,38.30,38.675,37.95,38.675,352800,38.675
2016-07-08,37.10,38.21,36.93,37.96,457000,37.96
2016-07-07,36.20,37.385,36.20,37.045,344700,37.045
2016-07-06,36.555,36.865,35.73,35.89,521200,35.89
2016-07-05,37.825,38.01,36.71,36.89,412300,36.89
2016-07-04,38.56,38.64,37.87,38.025,452400,38.025
2016-07-01,37.68,38.645,37.085,38.265,672100,38.265
2016-06-30,36.45,37.49,36.08,37.20,787200,37.20
2016-06-29,37.605,37.615,36.39,36.425,555900,36.425
2016-06-28,36.445,37.47,36.40,36.905,466400,36.905
2016-06-27,37.74,37.845,35.605,35.795,616400,35.795
2016-06-24,36.01,38.575,35.50,38.055,836800,38.055
2016-06-23,39.49,39.785,38.97,39.77,428100,39.77
2016-06-22,39.09,39.50,38.505,39.20,385200,39.20
2016-06-21,38.79,38.945,38.42,38.68,226400,38.68
2016-06-20,38.20,39.11,37.975,38.755,368700,38.755
2016-06-17,37.75,37.905,37.07,37.355,489700,37.355
2016-06-16,36.98,37.42,36.61,37.20,331900,37.20
2016-06-15,37.81,38.105,37.20,37.20,440300,37.20
2016-06-14,37.90,38.29,37.525,37.675,419300,37.675
2016-06-13,38.80,38.86,37.785,38.48,486100,38.48
2016-06-10,40.20,40.335,39.175,39.33,367700,39.33
2016-06-09,40.80,40.85,40.16,40.45,300300,40.45
2016-06-08,41.475,41.56,40.60,40.88,481800,40.88
2016-06-07,41.25,41.56,40.59,41.54,436100,41.54
2016-06-06,41.065,41.23,40.885,41.10,197900,41.10
2016-06-03,41.895,42.115,40.83,41.07,286400,41.07
2016-06-02,42.20,42.28,41.815,41.875,220100,41.875
2016-06-01,42.30,42.545,41.865,41.995,305200,41.995
2016-05-31,42.845,42.865,42.215,42.39,391700,42.39
2016-05-30,42.85,43.015,42.675,42.88,118100,42.88
2016-05-27,42.46,42.825,42.305,42.825,257900,42.825
2016-05-26,42.965,43.07,42.36,42.485,257800,42.485
2016-05-25,43.90,43.90,42.80,42.91,300600,42.91
2016-05-24,43.43,43.78,43.11,43.61,339400,43.61
2016-05-23,43.97,44.18,43.555,43.555,264600,43.555
2016-05-20,43.76,44.06,43.505,43.94,352400,43.94
2016-05-19,45.12,45.31,44.455,44.455,360700,43.755
2016-05-18,45.10,45.79,45.00,45.465,491800,44.7491
2016-05-17,43.63,45.57,43.605,45.39,552900,44.67528
2016-05-16,43.165,43.165,43.165,43.165,000,42.48531
2016-05-13,43.00,43.23,42.60,43.165,378500,42.48531
