Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,27.93,29.31,27.765,28.70,173500,28.70
2016-10-26,27.00,28.00,26.75,27.27,137400,27.27
2016-10-25,25.24,26.765,25.15,26.40,159700,26.40
2016-10-24,24.40,25.285,23.90,25.08,72300,25.08
2016-10-21,23.85,24.865,23.85,24.775,73400,24.775
2016-10-20,23.30,24.185,23.30,23.49,160000,23.49
2016-10-19,22.40,22.82,22.24,22.70,41900,22.70
2016-10-18,22.90,22.905,21.87,22.445,84800,22.445
2016-10-17,23.505,23.515,22.42,22.63,116300,22.63
2016-10-14,23.825,23.93,23.25,23.49,30300,23.49
2016-10-13,24.40,24.555,23.41,23.70,75000,23.70
2016-10-12,25.00,25.595,24.39,24.50,58100,24.50
2016-10-11,25.98,26.10,24.85,24.99,55900,24.99
2016-10-10,25.82,26.22,25.74,25.925,47700,25.925
2016-10-07,25.95,26.115,25.60,25.65,63900,25.65
2016-10-06,26.26,26.46,25.61,26.115,63200,26.115
2016-10-05,24.52,26.275,24.52,25.70,96600,25.70
2016-10-04,23.825,24.985,23.695,24.51,84900,24.51
2016-10-03,23.515,23.515,23.515,23.515,000,23.515
2016-09-30,23.20,23.73,22.405,23.515,76200,23.515
2016-09-29,24.185,24.185,23.11,23.63,21500,23.63
2016-09-28,24.64,24.75,23.81,24.00,44500,24.00
2016-09-27,24.76,25.425,24.30,24.45,69700,24.45
2016-09-26,23.35,24.55,22.965,24.55,100200,24.55
2016-09-23,23.095,23.475,22.96,23.30,20500,23.30
2016-09-22,22.82,23.315,22.535,23.07,24400,23.07
2016-09-21,22.36,22.57,22.225,22.465,14000,22.465
2016-09-20,22.855,22.855,21.82,22.20,31700,22.20
2016-09-19,23.03,23.255,22.52,23.005,21600,23.005
2016-09-16,22.49,23.325,22.35,23.16,43600,23.16
2016-09-15,21.985,22.635,21.415,22.495,19600,22.495
2016-09-14,21.145,22.285,21.11,21.905,28200,21.905
2016-09-13,22.77,22.795,20.80,21.415,73700,21.415
2016-09-12,22.58,22.945,22.07,22.23,38600,22.23
2016-09-09,23.80,23.82,22.22,23.00,56800,23.00
2016-09-08,23.075,25.80,22.705,23.64,206600,23.64
2016-09-07,20.98,22.97,20.805,22.305,97800,22.305
2016-09-06,19.61,20.70,19.50,20.50,57100,20.50
2016-09-05,19.31,19.70,19.135,19.605,13400,19.605
2016-09-02,18.925,19.595,18.925,19.195,29400,19.195
2016-09-01,18.71,19.06,18.20,18.895,27600,18.895
2016-08-31,18.735,19.275,18.19,19.275,7600,19.275
2016-08-30,18.20,18.705,18.20,18.45,8200,18.45
2016-08-29,18.285,18.40,18.08,18.105,8400,18.105
2016-08-26,17.895,18.335,17.65,18.215,9900,18.215
2016-08-25,17.94,18.23,17.795,17.795,12100,17.795
2016-08-24,18.15,18.33,17.20,17.99,43700,17.99
2016-08-23,17.75,18.64,17.60,17.93,31100,17.93
2016-08-22,18.00,18.715,17.615,17.615,41100,17.615
2016-08-19,17.50,18.445,17.39,18.445,76100,18.445
2016-08-18,16.50,18.38,16.50,18.10,151500,18.10
2016-08-17,16.09,16.10,16.00,16.085,8700,16.085
2016-08-16,16.27,16.27,16.00,16.005,5000,16.005
2016-08-15,15.67,16.265,15.67,16.265,5000,16.265
2016-08-12,15.565,15.76,15.565,15.69,2300,15.69
2016-08-11,16.10,16.10,15.51,15.545,11200,15.545
2016-08-10,16.175,16.27,16.00,16.10,16800,16.10
2016-08-09,16.30,16.30,16.03,16.185,6300,16.185
2016-08-08,15.93,16.30,15.93,15.96,9800,15.96
2016-08-05,15.42,15.95,15.42,15.80,23500,15.80
2016-08-04,15.20,15.465,15.15,15.205,6600,15.205
2016-08-02,15.80,16.135,15.405,15.90,20000,15.90
2016-08-01,15.79,15.795,15.575,15.795,13600,15.795
2016-07-29,15.75,15.75,15.395,15.595,16100,15.595
2016-07-28,15.40,15.79,15.145,15.74,23600,15.74
2016-07-27,14.805,15.345,14.61,15.345,22900,15.345
2016-07-26,14.84,14.85,14.51,14.845,7700,14.845
2016-07-25,15.03,15.045,14.42,14.645,16100,14.645
2016-07-22,15.03,15.03,14.845,14.975,7800,14.975
2016-07-21,14.945,15.175,14.895,14.90,16700,14.90
2016-07-20,14.95,14.95,14.775,14.88,4200,14.88
2016-07-19,14.62,14.955,14.62,14.70,6500,14.70
2016-07-18,15.00,15.18,14.50,14.505,42600,14.505
2016-07-15,14.90,15.18,14.65,14.79,12800,14.79
2016-07-14,14.45,15.18,14.445,14.805,29000,14.805
2016-07-13,14.15,14.405,14.15,14.34,2600,14.34
2016-07-12,14.125,14.46,14.00,14.145,16300,14.145
2016-07-11,14.39,14.39,14.015,14.08,6800,14.08
2016-07-08,14.23,14.365,13.91,14.365,5700,14.365
2016-07-07,14.095,14.25,13.885,14.25,10900,14.25
2016-07-06,13.855,14.295,13.65,14.295,11700,14.295
2016-07-05,14.45,14.45,13.91,13.935,2400,13.935
2016-07-04,14.50,14.50,14.04,14.49,8800,14.49
2016-07-01,14.475,14.475,13.83,14.00,17000,14.00
2016-06-30,14.505,14.505,14.01,14.50,32800,14.50
2016-06-29,14.09,14.67,13.75,13.95,9500,13.95
2016-06-28,14.695,14.695,13.625,13.85,21000,13.85
2016-06-27,14.785,14.98,14.485,14.485,14600,14.485
2016-06-24,13.50,14.685,13.50,14.595,26600,14.595
2016-06-23,15.095,15.10,14.405,15.00,12700,15.00
2016-06-22,15.02,15.09,14.865,15.00,2500,15.00
2016-06-21,15.05,15.225,14.74,14.91,6300,14.91
2016-06-20,15.415,15.415,14.915,14.915,5900,14.915
2016-06-17,15.00,15.005,14.425,15.00,32700,15.00
2016-06-16,14.00,14.545,14.00,14.40,10000,14.40
2016-06-15,14.07,14.65,14.07,14.15,8000,14.15
2016-06-14,14.10,14.10,13.85,14.00,7200,14.00
2016-06-13,14.55,14.725,13.825,14.05,33300,14.05
2016-06-10,15.12,15.12,14.69,14.69,3700,14.69
2016-06-09,15.45,15.45,14.94,14.945,14100,14.945
2016-06-08,15.41,15.49,15.165,15.40,35500,15.40
2016-06-07,15.205,15.33,15.075,15.075,3000,15.075
2016-06-06,15.30,15.365,14.90,14.90,7900,14.90
2016-06-03,15.25,15.35,15.225,15.30,23900,15.30
2016-06-02,15.15,15.16,14.90,14.90,12700,14.90
2016-06-01,15.30,15.545,14.84,14.84,32900,14.84
2016-05-31,15.81,15.905,15.435,15.435,10000,15.435
2016-05-30,16.48,16.48,15.70,15.81,9100,15.81
2016-05-27,16.235,16.315,15.93,16.125,5500,16.125
2016-05-26,16.135,16.30,16.065,16.20,22600,16.20
2016-05-25,16.385,16.48,15.825,16.21,18500,16.21
2016-05-24,15.455,16.435,15.455,16.30,9800,16.30
2016-05-23,14.98,15.50,14.98,15.50,1700,15.50
2016-05-20,14.805,15.035,14.805,14.88,7500,14.88
2016-05-19,14.80,15.035,14.65,14.75,13800,14.75
2016-05-18,15.05,15.24,14.72,14.80,11300,14.80
2016-05-17,15.60,15.75,15.15,15.21,10400,15.21
2016-05-16,15.725,15.725,15.725,15.725,000,15.725
2016-05-13,15.80,16.005,15.60,15.725,15900,15.725
2016-05-12,16.55,16.56,15.805,15.805,9900,15.805
2016-05-11,16.555,16.605,16.50,16.55,2100,16.55
2016-05-10,16.615,16.84,16.60,16.60,3600,16.60
2016-05-09,16.69,16.885,16.60,16.60,3400,16.60
2016-05-06,16.64,16.97,16.60,16.60,6300,16.60
2016-05-05,16.60,16.66,16.55,16.60,8700,16.60
2016-05-04,16.50,16.955,16.50,16.685,12000,16.685
2016-05-03,16.96,16.96,16.50,16.72,8700,16.72
2016-05-02,17.08,17.08,16.645,16.93,7200,16.93
2016-04-29,16.70,17.075,16.375,17.075,31600,17.075
2016-04-28,17.65,17.65,16.515,16.90,56200,16.90
2016-04-27,17.40,17.895,17.395,17.85,1400,17.85
2016-04-26,17.405,17.56,16.795,17.50,9100,17.50
2016-04-25,17.00,17.20,17.00,17.05,2400,17.05
2016-04-22,17.33,17.62,17.015,17.05,12300,17.05
2016-04-21,17.65,17.65,17.32,17.40,6000,17.40
2016-04-20,17.36,17.96,17.19,17.46,18000,17.46
2016-04-19,17.94,17.94,17.28,17.28,12500,17.28
2016-04-18,17.60,18.25,17.125,17.805,36900,17.805
2016-04-15,16.40,17.90,16.36,17.50,30000,17.50
2016-04-14,16.75,16.855,16.40,16.48,11100,16.48
2016-04-13,17.295,17.295,16.685,16.75,11800,16.75
2016-04-12,17.395,17.59,16.76,16.85,38700,16.85
2016-04-11,16.75,18.075,16.415,17.00,47800,17.00
