Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,43.25,43.635,42.875,43.26,290900,43.26
2016-10-26,43.51,44.05,41.72,43.265,695500,43.265
2016-10-25,44.33,44.365,43.62,43.62,232600,43.62
2016-10-24,44.20,44.525,44.09,44.205,316100,44.205
2016-10-21,44.04,44.18,43.725,44.00,272500,44.00
2016-10-20,44.215,44.26,43.59,43.93,307800,43.93
2016-10-19,43.93,44.03,43.77,44.00,339800,44.00
2016-10-18,43.505,43.97,43.32,43.85,256100,43.85
2016-10-17,43.86,44.035,42.775,43.17,372200,43.17
2016-10-14,43.935,44.245,43.64,43.85,231400,43.85
2016-10-13,43.80,43.96,43.305,43.715,291200,43.715
2016-10-12,44.24,44.875,43.765,43.965,373200,43.965
2016-10-11,44.25,44.40,43.945,44.135,301900,44.135
2016-10-10,44.555,44.72,43.925,44.325,465800,44.325
2016-10-07,45.455,45.625,44.54,44.62,393900,44.62
2016-10-06,46.05,46.265,45.285,45.525,262000,45.525
2016-10-05,46.00,46.355,45.665,46.05,338400,46.05
2016-10-04,46.50,47.205,46.12,46.15,993200,46.15
2016-10-03,46.25,46.25,46.25,46.25,000,46.25
2016-09-30,45.69,46.39,45.40,46.25,475100,46.25
2016-09-29,46.87,46.965,46.115,46.235,422000,46.235
2016-09-28,45.86,46.975,45.86,46.345,416200,46.345
2016-09-27,46.38,46.38,45.24,45.59,439900,45.59
2016-09-26,46.65,47.00,45.945,46.12,407400,46.12
2016-09-23,46.01,46.995,45.985,46.77,720500,46.77
2016-09-22,45.33,46.205,45.30,46.19,619700,46.19
2016-09-21,45.37,45.43,44.84,45.075,263000,45.075
2016-09-20,44.99,45.42,44.845,45.14,220200,45.14
2016-09-19,45.055,45.45,44.625,44.925,308800,44.925
2016-09-16,45.44,45.615,44.755,44.87,544400,44.87
2016-09-15,45.185,45.53,44.79,45.465,261400,45.465
2016-09-14,45.31,45.50,44.82,45.135,324400,45.135
2016-09-13,45.385,45.995,45.035,45.205,404800,45.205
2016-09-12,44.365,45.27,42.415,45.075,746200,45.075
2016-09-09,45.40,45.62,45.085,45.315,399200,45.315
2016-09-08,46.09,46.31,45.55,45.635,392300,45.635
2016-09-07,45.81,46.32,45.46,46.025,449300,46.025
2016-09-06,45.315,45.76,45.14,45.56,296500,45.56
2016-09-05,46.075,46.40,45.105,45.26,610500,45.26
2016-09-02,44.745,46.07,44.55,45.86,990300,45.86
2016-09-01,44.52,45.12,44.425,44.525,514900,44.525
2016-08-31,44.32,45.545,44.30,44.37,1032000,44.37
2016-08-30,44.50,45.78,44.28,44.28,1427200,44.28
2016-08-29,42.96,43.15,42.425,42.97,244400,42.97
2016-08-26,42.85,43.135,42.605,43.04,413300,43.04
2016-08-25,42.67,43.005,41.97,42.865,597300,42.865
2016-08-24,42.20,42.915,42.00,42.915,441300,42.915
2016-08-23,41.50,42.50,41.255,42.385,595900,42.385
2016-08-22,41.00,41.67,40.90,41.295,426900,41.295
